Palabras asociadas con el miedo al delito:,,,
 Secuestro* + Bogot*, Secuestro*,Bogot*,
 Secuestro* + miedo, Secuestro*,miedo,
Abuso de autoridad  +  Adolescen*,Abuso de autoridad , Adolescen*,
Abuso de autoridad  +  Bogota*,Abuso de autoridad , Bogota*,
Abuso de autoridad  +  Estudiante*,Abuso de autoridad , Estudiante*,
Abuso de autoridad  +  Funcionario*,Abuso de autoridad , Funcionario*,
Abuso de autoridad  +  Gay,Abuso de autoridad , Gay,
Abuso de autoridad  +  Lesbiana,Abuso de autoridad , Lesbiana,
Abuso de autoridad  +  Lgbt,Abuso de autoridad , Lgbt,
Abuso de autoridad  +  Mujer*,Abuso de autoridad , Mujer*,
Abuso de autoridad  +  Policia,Abuso de autoridad , Policia,
Abuso de autoridad  + Trans*,Abuso de autoridad ,Trans*,
Atentado* + Bogot*,Atentado*,Bogot*,
Atentado* + vida*,Atentado*,vida*,
Atentado* + emergencia,Atentado*,emergencia,
Cacerolazo  +  Barrio,Cacerolazo , Barrio,
Cacerolazo  +  Caracas,Cacerolazo , Caracas,
Cacerolazo  +  Colegio*,Cacerolazo , Colegio*,
Cacerolazo  +  Comunidades,Cacerolazo , Comunidades,
Cacerolazo  +  Conjunto residencial,Cacerolazo , Conjunto residencial,
Cacerolazo  +  Conjuntos residenciales,Cacerolazo , Conjuntos residenciales,
Cacerolazo  +  Educacion,Cacerolazo , Educacion,
Cacerolazo  +  Estudiante*,Cacerolazo , Estudiante*,
Cacerolazo  +  Gobierno,Cacerolazo , Gobierno,
Cacerolazo  +  Lgbt,Cacerolazo , Lgbt,
Cacerolazo  +  Parque*,Cacerolazo , Parque*,
Cacerolazo  +  Plaza de Bolivar,Cacerolazo , Plaza de Bolivar,
Cacerolazo  +  Servicios,Cacerolazo , Servicios,
Cacerolazo  +  Universidad*,Cacerolazo , Universidad*,
Cacerolazo  + Delito,Cacerolazo ,Delito,
Cacerolazo  + Inseguridad,Cacerolazo ,Inseguridad,
Cacerolazo  + Miedo,Cacerolazo ,Miedo,
Cacerolazo  +  Urbanizacion,Cacerolazo , Urbanizacion,
Cacerolazo  +  Vecino*,Cacerolazo , Vecino*,
Cacerolazo  +  Vendedor*,Cacerolazo , Vendedor*,
Vandal* + Bogot*,Vandal*,Bogot*,
Miedo + Bogot*,Miedo,Bogot*,
Inseguridad  + Bogot*,Inseguridad ,Bogot*,
Carcel* + Vandalismo,Carcel*,Vandalismo,
Carcel* + Inseguridad,Carcel*,Inseguridad,
Codigo de Policia  +  Abuso*,Codigo de Policia , Abuso*,
Codigo de Policia  +  Bogota*,Codigo de Policia , Bogota*,
Codigo de Policia  +  Distrital,Codigo de Policia , Distrital,
Codigo de Policia  +  Distrito*,Codigo de Policia , Distrito*,
Codigo de Policia  +  Incumplimiento*,Codigo de Policia , Incumplimiento*,
Codigo de Policia  +  Infraccion*,Codigo de Policia , Infraccion*,
Codigo de Policia  +  Localidad,Codigo de Policia , Localidad,
Codigo de Policia  +  Multa*,Codigo de Policia , Multa*,
Codigo de Policia  + Inseguridad,Codigo de Policia ,Inseguridad,
Conflicto + Bogot*,Conflicto,Bogot*,
Cosquilleo  +  Apartamento*,Cosquilleo , Apartamento*,
Cosquilleo  +  Bicicleta*,Cosquilleo , Bicicleta*,
Cosquilleo  +  Billetera*,Cosquilleo , Billetera*,
Cosquilleo  +  Buses,Cosquilleo , Buses,
Cosquilleo  +  Calle*,Cosquilleo , Calle*,
Cosquilleo  +  Casas,Cosquilleo , Casas,
Cosquilleo  +  Celular*,Cosquilleo , Celular*,
Cosquilleo  +  Colegio*,Cosquilleo , Colegio*,
Cosquilleo  +  Moto,Cosquilleo , Moto,
Cosquilleo  +  Parque*,Cosquilleo , Parque*,
Cosquilleo  +  SITP,Cosquilleo , SITP,
Cosquilleo  +  Taxi,Cosquilleo , Taxi,
Cosquilleo  +  TM,Cosquilleo , TM,
Cosquilleo  +  Transmilenio,Cosquilleo , Transmilenio,
Cosquilleo  +  Transporte publico,Cosquilleo , Transporte publico,
Cosquilleo  +  Universidad*,Cosquilleo , Universidad*,
Cosquilleo  +  Vehiculo*,Cosquilleo , Vehiculo*,
Delincuent* + Bogot*,Delincuent*,Bogot*,
Crimen + Bogot*,Crimen,Bogot*,
Delitos* + Bogot*,Delitos*,Bogot*,
Espacio Publico  +  Altercado,Espacio Publico , Altercado,
Espacio Publico  +  Multa,Espacio Publico , Multa,
Espacio Publico  +  pelea,Espacio Publico , pelea,
Espacio Publico  +  Riña,Espacio Publico , Riña,
Espacio Publico  +  TM,Espacio Publico , TM,
Espacio Publico  +  Transmilenio,Espacio Publico , Transmilenio,
Explosion  +  Barrio,Explosion , Barrio,
Explosion  +  Bogota*,Explosion , Bogota*,
Explosion  +  Localidad,Explosion , Localidad,
Fleteo  +  Banco,Fleteo , Banco,
Fleteo  +  Barrio,Fleteo , Barrio,
Fleteo  +  Calle*,Fleteo , Calle*,
Fleteo  +  carro,Fleteo , carro,
Fleteo  +  Colegio*,Fleteo , Colegio*,
Fleteo  +  Conductor,Fleteo , Conductor,
Fleteo  +  moto,Fleteo , moto,
Fleteo  +  Policia + Bogot*,Fleteo , Policia,Bogot*
Hacinamiento*  + Bogot*,Hacinamiento* ,Bogot*,
Hacinamiento*  +  CAI,Hacinamiento* , CAI,
Hacinamiento*  +  CTP,Hacinamiento* , CTP,
Hacinamiento*  +  Unidad Permanente de Justicia,Hacinamiento* , Unidad Permanente de Justicia,
Hacinamiento*  +  UPJ,Hacinamiento* , UPJ,
Hurto  +  Apartamento*,Hurto , Apartamento*,
Hurto  +  Bicicleta*,Hurto , Bicicleta*,
Hurto  +  Billetera*,Hurto , Billetera*,
Hurto  +  Buses,Hurto , Buses,
Hurto  +  Calle*,Hurto , Calle*,
Hurto  +  Casas,Hurto , Casas,
Hurto  +  Celular*,Hurto , Celular*,
Hurto  +  Colegio*,Hurto , Colegio*,
Hurto  +  Moto,Hurto , Moto,
Hurto  +  Parque*,Hurto , Parque*,
Hurto  +  SITP,Hurto , SITP,
Hurto  +  Taxi,Hurto , Taxi,
Hurto  +  TM,Hurto , TM,
Hurto  +  Transmilenio,Hurto , Transmilenio,
Hurto  +  Transporte publico,Hurto , Transporte publico,
Hurto  +  Universidad*,Hurto , Universidad*,
Hurto  +  Vehiculo*,Hurto , Vehiculo*,
Hurto  + Ciudad,Hurto ,Ciudad,
Hurto  + Localidad,Hurto ,Localidad,
Hurto  + Asesinato,Hurto ,Asesinato,
Hurto  + Bogot*,Hurto ,Bogot*,
