,feature1,feature2,feature3,feature4,feature5
0,"('paz', -0.05926320091928749)","('ano', -0.028955121077608524)","('mujer', -0.027372597062215894)","('erradicacion', 0.013219348371881089)","('corporacion', 0.013165705432554643)"
1,"('asi', 0.06906621810350262)","('igual', -0.048617299221783726)","('nos', -0.007853702475962317)","('tema', -0.0007758172026778179)","('es', 0.000764787217664252)"
2,"('ciudad', -0.04182573642086169)","('garzon', 0.024640651571675606)","('asco', 0.017068849625383214)","('aqui', -0.016883694046445914)","('hpta', -0.01424408874028952)"
3,"('pero', 1.1756035335010062e-31)","('esto', 4.60604094945265e-32)","('prohibido', 8.073665803513423e-33)","('normas', 5.1862938050502924e-33)","('esta', 2.9836929579969723e-33)"
4,"('bus', 0.0844959778760325)","('mal', 0.03408021663365478)","('nivel', -0.011786823255536072)","('indignacion', -0.010737061357052399)","('bien', -0.007598256638242391)"
5,"('ano', -0.09677203710201251)","('lo', -7.016457327270837e-06)","('del', -1.16443405817153e-06)","('en', 1.1360315273593566e-06)","('corrido', -3.543826926738803e-08)"
6,"('los', 0.011197521750252034)","('mas', 0.010835665124923134)","('tribunal', -0.008279461069582284)","('ramon', -0.008206450564410836)","('superior', -0.005317458868488354)"
7,"('corrupcion', 0.04416438066585634)","('mujer', -0.04275672482962514)","('capital', 0.010494709902664271)","('no', -0.0011676136167896951)","('de', 0.0007950547049285589)"
8,"('favor', -0.09015280052518995)","('ningun', 0.07955649286025555)","('nos', -0.004557645779499614)","('varias', 0.001176421938173021)","('cuentan', -0.001172657791575382)"
9,"('son', -0.07082706669183525)","('grafitis', 0.027576598355437777)","('dan', 0.017522227603043238)","('asco', 0.014981913027671274)","('cai', 0.007462129704558856)"
10,"('que', 0.0)","('joyitas', 0.0)","('comerciante', 0.0)","('denuncia', 0.0)","('fleteo', 0.0)"
11,"('anos', 0.03812458712354193)","('sexual', 0.035775151029646325)","('los', -0.01643379394035723)","('presentaron', 0.0006317438320837164)","('y', 0.0004682633667277831)"
12,"('son', -0.05088404584295807)","('asi', 0.04448083305560892)","('lugar', 0.029973098948439865)","('plan', 0.01906434754376201)","('capital', -0.0022728072833647635)"
13,"('dia', -0.043447286936875495)","('mujer', -0.04307537284694102)","('los', 0.03112363717553109)","('mas', 0.012002623978582741)","('rodriguez', 0.003429986241574463)"
14,"('los', 0.0514590168216476)","('atencion', -0.05032200883112322)","('fontibon', -0.00990283266970256)","('persecucion', 0.008007737015370232)","('a', -0.0011563707686151007)"
15,"('militar', 0.07525714183059834)","('unal', -0.05281074459853583)","('anos', 0.02790913895774587)","('vez', 0.012232478554385008)","('ahi', -0.009072132362877523)"
16,"('favor', -0.03127051247948261)","('mas', 0.019376239620423116)","('inclusion', -0.017009336973562227)","('los', 0.01699132407954827)","('uneb', -0.010327341138765801)"
17,"('vias', -0.08648132274441009)","('los', 0.05164500754306557)","('normas', -0.0009782462444991587)","('ninos', 0.0009271604167307505)","('programa', -0.0007659731845488816)"
18,"('dic', 0.09245520793478681)","('concejal', -0.07249202882615621)","('nov', 0.018396167171935773)","('loc', 0.0020792229128005547)","('sigue', 0.001143256411249797)"
19,"('celular', -0.1024425282361497)","('feliz', -0.03045317084183906)","('hdp', -0.006877712200060014)","('no', -0.001582526705031945)","('el', 0.0011967572665439327)"
