,feature1,feature2,feature3,feature4,feature5
0,"('mujer', -0.11625114886214516)","('paz', 0.09786342589304044)","('eje', 0.03784671167992871)","('alli', -0.019515301044788155)","('ano', 0.011127618054317959)"
1,"('asi', -0.13457322693442542)","('igual', 0.12077614426555613)","('nos', -0.004369569305809587)","('afecta', 0.002737801469332333)","('bogota', -0.0021541285223308734)"
2,"('ciudad', 0.1774931190171764)","('garzon', -0.0762876020059021)","('luis', -0.06354665921878115)","('asco', -0.05571826297740202)","('desorden', -0.03463892489517101)"
3,"('pero', 0.0)","('esto', 0.0)","('esta', 0.0)","('prohibido', 0.0)","('normas', 0.0)"
4,"('bus', -0.09103509152641029)","('ser', -0.03831927413541709)","('nivel', 0.03619120116881253)","('bien', -0.025846294747879854)","('indignacion', 0.013283286494589593)"
5,"('ano', 0.04331992834107506)","('del', 5.320915173787154e-06)","('lo', 4.664240794019658e-06)","('corrido', 3.29978619803724e-06)","('en', 7.543540287975134e-07)"
6,"('los', -0.013129173181743366)","('tribunal', -0.006828718229487253)","('ramon', -0.006801316176689233)","('mas', -0.0066273227281666855)","('superior', -0.006411715876088084)"
7,"('capital', -0.10739644971598938)","('mujer', -0.06810698858948665)","('corrupcion', 0.06461067242281235)","('violencia', 0.0016116697198147525)","('un', 0.0014881520078856394)"
8,"('ningun', -0.19076905191166102)","('favor', 0.15402218711651666)","('nos', 0.0052580687441755045)","('localidades', 0.0016195097361802798)","('varias', -0.0012063550863579998)"
9,"('son', 0.20891588709838108)","('grafitis', -0.10544469343697481)","('asco', -0.06561279476820632)","('dan', 0.03914482672496496)","('los', -0.01895215516143386)"
10,"('fleteo', 2.1572125272503785e-32)","('que', 2.1305894240580038e-32)","('denuncia', 2.0961854276122988e-32)","('comerciante', 7.625429089357752e-33)","('joyitas', -5.497308451079443e-33)"
11,"('sexual', -0.14031788579262963)","('los', 0.029314078300385463)","('anos', -0.015367473370586335)","('y', -0.0011312741624353567)","('a', -0.0011184883371814407)"
12,"('son', 0.13148199095362778)","('plan', -0.09569960230949438)","('capital', -0.07441366937858339)","('asi', -0.05797332904615326)","('lugar', -0.018668375261390938)"
13,"('dia', 0.1459569876695763)","('mujer', -0.13076068307206057)","('rodriguez', -0.08315578698451694)","('los', -0.020043726870925732)","('mas', -0.010388406813840423)"
14,"('atencion', -0.07191956996086317)","('persecucion', -0.031089660332291526)","('los', 0.029688742156018435)","('fontibon', 0.0208555433701669)","('mucha', -0.0016657086279749436)"
15,"('militar', -0.21329105005907023)","('unal', 0.14934490983154297)","('ahi', 0.04549444061181932)","('vez', -0.030327150915401665)","('anos', -0.025514570236211766)"
16,"('inclusion', -0.07203875295469715)","('favor', 0.06370459343466814)","('mundial', -0.03281830799212042)","('mas', -0.016326937638744186)","('uneb', -0.012096079947691098)"
17,"('vias', 0.10542699452543255)","('los', -0.061611161841696814)","('resultados', 0.0006833874927327459)","('de', 0.00047555378892817407)","('febrero', 0.0004003122195822828)"
18,"('concejal', 0.17813458118238634)","('dic', -0.16976654131805582)","('nov', -0.07570932858827693)","('loc', 0.05757874634721236)","('ninos', 0.002791578356954125)"
19,"('hdp', 0.12394470814119483)","('celular', 0.10881280431879156)","('feliz', 0.027361255925280114)","('porque', 0.0035547807381550666)","('triste', 0.0034082229486025735)"
20,"('alcohol', 0.15394846962614903)","('drogas', -0.04844681546010084)","('eloina', 0.0010182130909830195)","('la', 0.0008593356737532377)","('s', 0.0008265807470407003)"
21,"('ciudad', 0.18378473356062833)","('fin', -0.14018531984193455)","('los', -0.03558400720505432)","('van', -0.007296791857416334)","('manosear', 0.0023552831772296235)"
22,"('veo', -0.01914014932618653)","('buses', -3.587706294108375e-06)","('en', -3.439986006561086e-06)","('esos', -3.1481242683237346e-06)","('mismos', -2.8828935826215347e-06)"
23,"('dia', 0.19345265425621386)","('lideres', -0.05659209032350146)","('kennedy', 0.014652748207255303)","('pan', 0.004566641611181545)","('denuncian', 0.0017538681206856934)"
24,"('son', 0.11947545791309892)","('farc', -0.11468420858987288)","('cartel', -0.034270522109602554)","('ver', 0.028130467257573892)","('estas', -0.023740456286639913)"
25,"('bus', -0.21927194310045814)","('celular', 0.21860711241152941)","('hombre', -0.02572395174764368)","('jodio', 0.0027485250758578104)","('las', -0.002043164024919129)"
26,"('mujer', -0.062135100455305244)","('veo', 0.017008868317556818)","('mas', -0.009090167460110623)","('los', 0.0057821780651638715)","('en', -0.0008147687378927571)"
