ID,SentimentSimple,SentimentPolarity
0,2,2
1,2,2
2,3,3
3,3,3
4,2,2
5,2,2
6,3,3
7,3,3
8,2,2
9,2,3
10,4,3
11,2,3
12,2,2
13,2,2
14,2,2
15,1,2
16,3,3
17,3,3
18,3,3
19,2,2
20,2,2
21,1,2
22,2,2
23,3,3
24,4,3
25,2,2
26,3,3
27,3,3
28,5,4
29,4,3
30,2,2
31,2,2
32,3,3
33,1,2
34,1,2
35,4,3
36,4,3
37,5,3
38,4,3
39,4,3
40,4,3
41,5,3
42,5,3
43,4,3
44,5,3
45,5,3
46,2,2
47,4,3
48,5,3
49,5,3
50,5,3
51,2,2
52,5,3
53,5,3
54,4,3
55,4,3
56,5,3
57,4,3
58,5,3
59,5,3
60,5,3
61,3,3
62,4,3
63,4,3
64,3,3
65,5,3
66,2,2
67,5,3
68,4,3
69,3,3
70,4,3
71,2,2
72,3,3
73,2,2
74,3,3
75,3,3
76,1,1
77,2,2
78,2,2
79,2,2
80,3,3
81,2,2
82,2,2
83,5,3
84,2,2
85,2,2
86,4,3
87,1,2
88,2,2
89,3,3
90,2,2
91,2,2
92,3,3
93,3,3
94,5,3
95,4,3
96,2,2
97,2,2
98,3,3
99,3,3
100,3,3
101,4,3
102,5,3
103,4,3
104,2,2
105,3,3
106,2,2
107,3,2
108,3,3
109,2,2
110,4,3
111,2,2
112,3,3
113,2,2
114,3,3
115,2,3
116,1,2
117,2,2
118,4,3
119,3,2
120,2,2
121,2,2
122,2,3
123,2,2
124,1,2
125,4,3
126,3,2
127,2,3
128,2,2
129,2,2
130,4,3
131,1,2
132,3,3
133,4,3
134,2,2
135,4,3
136,2,2
137,4,3
138,4,3
139,1,1
140,2,2
141,3,2
142,2,2
143,3,3
144,2,2
145,2,2
146,2,2
147,2,2
148,1,2
149,1,2
150,2,2
151,2,2
152,4,3
153,3,3
154,4,3
155,1,2
156,2,2
157,2,2
158,2,2
159,2,3
160,2,2
161,4,3
162,4,3
163,4,3
164,2,2
165,2,2
166,2,2
167,3,3
168,2,2
169,2,2
170,2,2
171,3,3
172,2,2
173,2,2
174,1,2
175,2,2
176,3,3
177,2,2
178,2,2
179,3,3
180,1,2
181,2,2
182,3,2
183,3,3
184,2,2
185,2,2
186,3,3
187,4,3
188,2,3
189,2,2
190,2,2
191,3,3
192,1,2
193,4,3
194,3,3
195,2,2
196,1,2
197,2,2
198,2,3
199,2,2
200,2,2
201,2,2
202,3,3
203,2,2
204,2,2
205,2,2
206,2,2
207,2,2
208,1,2
209,2,2
210,1,2
211,2,2
212,4,3
213,3,3
214,1,2
215,2,2
216,2,2
217,2,2
218,1,1
219,2,3
220,2,2
221,1,2
222,1,2
223,4,3
224,1,2
225,2,2
226,5,3
227,3,3
228,4,3
229,5,3
230,3,3
231,5,4
232,3,3
233,3,3
234,4,3
235,3,3
236,4,3
237,4,3
238,3,3
239,4,3
240,4,3
241,5,3
242,3,3
243,4,3
244,2,2
245,4,3
246,3,2
247,4,3
248,4,3
249,5,4
250,4,3
251,2,2
252,4,3
253,2,2
254,4,3
255,4,3
256,3,3
257,4,3
258,2,2
259,2,2
260,3,3
261,4,3
262,2,2
263,4,3
264,2,2
265,4,3
266,4,3
267,4,3
268,3,3
269,4,3
270,2,2
271,4,3
272,3,3
273,3,3
274,5,3
275,4,3
276,2,2
277,4,3
278,4,3
279,4,3
280,3,3
281,4,3
282,4,3
283,4,3
284,4,3
285,4,3
286,2,2
287,3,3
288,2,2
289,4,3
290,3,3
291,4,3
292,5,3
293,3,3
294,2,2
295,3,3
296,2,2
297,4,3
298,4,3
299,4,3
300,3,3
301,3,3
302,2,3
303,4,3
304,4,3
305,4,3
306,5,3
307,4,3
308,4,3
309,1,2
