Date,SentimentPolarity
3/18/19,3
3/18/19,2
3/18/19,3
3/18/19,2
3/18/19,3
3/18/19,2
3/18/19,3
3/18/19,3
3/18/19,2
3/18/19,3
3/18/19,2
3/18/19,2
3/18/19,3
3/18/19,2
3/18/19,2
3/18/19,3
3/18/19,2
3/18/19,2
3/18/19,2
3/18/19,3
3/18/19,3
3/18/19,2
3/18/19,2
3/18/19,2
3/18/19,2
3/18/19,3
3/18/19,2
3/18/19,2
3/18/19,2
3/18/19,2
3/18/19,3
3/18/19,2
3/18/19,2
3/18/19,2
3/18/19,2
3/18/19,3
3/18/19,2
3/18/19,2
3/18/19,3
3/18/19,3
3/18/19,1
3/18/19,2
3/18/19,2
3/18/19,2
3/18/19,3
3/18/19,3
3/18/19,3
3/18/19,2
3/18/19,3
3/18/19 Average,2.367346939
3/22/19,2
3/22/19,2
3/22/19,2
3/22/19,3
3/22/19,2
3/22/19 Average,2.2
3/23/19,2
3/23/19,2
3/23/19,2
3/23/19,3
3/23/19,2
3/23/19,3
3/23/19 Average,2.333333333
3/24/19,2
3/24/19,2
3/24/19,2
3/24/19 Average,2
3/25/19,2
3/25/19,2
3/25/19,3
3/25/19,2
3/25/19 Average,2.25
3/26/19,3
3/26/19,3
3/26/19,3
3/26/19,2
3/26/19,2
3/26/19,3
3/26/19,2
3/26/19,2
3/26/19,3
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,3
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,3
3/26/19,2
3/26/19,2
3/26/19,1
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,3
3/26/19,2
3/26/19,3
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19,2
3/26/19 Average,2.16
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,3
3/27/19,3
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,3
3/27/19,2
3/27/19,3
3/27/19,3
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,3
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,1
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,3
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19,2
3/27/19 Average,2.257861635
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,4
3/28/19,3
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19,3
3/28/19,3
3/28/19,2
3/28/19,3
3/28/19,3
3/28/19,3
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,3
3/28/19,3
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,3
3/28/19,3
3/28/19,3
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,1
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19,3
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,2
3/28/19,1
3/28/19,2
3/28/19,2
3/28/19,3
3/28/19 Average,2.258992806
3/29/19,2
3/29/19,2
3/29/19,2
