ID,Tweet,Sentiment
0,"Comparto nuestro aliado estrategico para la Escuela de Paz: CORPORACION CASA DE LA MUJER DE SUBA. Apoyo Eje tematico:Comunidad, Paz y Equidad de Genero. Alli llevo siendo tallerista voluntaria, por la erradicacion de todo tipo de violencia hacia la mujer desde el año 2017",5
1,"@FREDYGUERRAHERR @consigliererojo @ClaudiaLopez @TransMilenio @NoticiasCaracol @PoliciaBogota Si se permite esto, se acaba la seguridad en Bogota, no es tema de izquierda ni derecha, es algo que nos afecta a todos por igual, asi que es momento de pensar en las consecuencias.",3
2,"@FREDYGUERRAHERR @adelve3 @ClaudiaLopez @TransMilenio @NoticiasCaracol @PoliciaBogota Que hpta desorden de ciudad, ya aqui todos hacen lo que se les viene en gana y ni hablar en las calles: vendedores ambulantes, expendedores de drogas, desaseo, inseguridad, un asco de ciudad y todo empezo desde el gobierno de Luis Eduardo Garzon y los siguientes, no hicieron ni m",1
3,"@luciabastidasu @TransMilenio Pero esto esta prohibido normas de convivencia fumar marihuana en espacio cerrado es un delito,  pero como la policia brilla por su ausencia y como ciudadanos no denunciamos si no permitimos Esto ellos hacen lo que quieran",2
4,"Lo del bus de TM y la marihuana no esta nada bien, pero ojala tuviera el mismo nivel de indignacion cuando roban, acosan o violentan a las personas en TM, lo que esta mal no se puede categorizar. Todo esta mal, no puede ser que unas cosas las denunciemos y otras las normalicemos",2
5,En lo corrido del año han robado 554 carros en #Bogota #NotiCentro1CMI,1
6,"Segun el Tribunal Superior de Bogota, el Frente Ramon Danilo perpetro entre 2000 y 2005 mas 80 crímenes con 173 víctimas.  El Frente Isidro Carreño cometió entre 1994 y 2004, 28 crímenes, aunque uno de sus excomandantes reveló ante los medios haber efectuado 52 homicidios.",1
7,"@ClaudiaLopez La mujeres de Bogotá piden un transporte digno, donde no las vulneren ni acosen, pero claramente ud no pudo y se fue por la corrupcion, es decir ud es complice de la violencia que a diario vive la mujer en la capital. Deje la politiquería barata dra.",2
8,"En ningún lado habla de vandalismo. el que vivimos en varias localidades en Bogota. Jamas visto, por favor un informe @SeguridadBOG @PoliciaBogota @HugoASeguridad  dañaron estaciones @TransMilenio nos cuentan por favor",2
9,"@secredistmujer @SectorSalud @PeruEnColombia @echile_colombia @EmbaMexCol @ArgColombia @Bogota @drodriguezfr @ClaudiaLopez @sgeneralbogota Llenar con grafitis las estaciones como Hortúa y otras, aparte  los Cai y demas instituciones son una porqueria de viejas que a mí no me representan dan asco y para mí son vándalos.",2
10,#ResumenSemanal | Qué joyitas! Comerciante denuncia fleteo por parte de policías en #Bogota,2
11,En 2016 se registraron 9544 casos de violencia intrafamiliar solamente a mujeres entre los 20 y 24 años y se presentaron 15082 denuncias de violencia sexual.,2
12,Erradicar las formas de violencia de género y hacer de Bogotá un lugar seguro son objetivos del Plan de Desarrollo para la capital. Así lo aseguró la alcaldesa @ClaudiaLopez #8M,4
13,"En el día de la mujer, #Mujeresqueinspiran Diana Rodríguez, Secretaria de la Mujer (Bogotá) y defensora de los derechos de las mujeres de poblaciones más vulnerables",4
14,"Mucha atención!
Después del robo a un supermercado en la localidad de Fontibón, la Policía capturó a los ladrones en una persecución que los llevó por tierra y aire. La Banda capturada es señalada de al menos 15 hurtos en la localidad.@BallesterosLeo @Citytv",5
15,"@Astianax_ Acaso viven ahí dentro? Marica, en la UNal hay hace años inteligencia militar dentro, y lo que han hecho es instigar a la violencia , en vez de desarticular a esas celulas.",3
16,"#8M2020 #DiaInternacionalDeLaMujer UNEB @unebcolombia Presente en el Paro Mundial en favor de los Derechos de las Mujeres. En Plaza de Bolivar Bogota estamos por Trabajo Decente, Igualdad, NO MAS FEMINICIDIOS, Inclusión y No Más Violencia Género",4
17,Con el programa #RutaPila aseguramos el cumplimiento de normas de tránsito y garantizamos niños seguros en las vías de Bogotá. Estos fueron los resultados entre el 21 y 27 de febrero.,5
18,"Policia sigue agrediendo a niños y niñas. Atacaron estudiantes del Colegio El Libertador Loc.18.Segun concejal @cancinodiegoa Entre 21 Nov -Dic 2019, hubo 850 detenciones ilegales y vejámenes a mujeres y jóvenes algunas estaciones de policía. @merv59 @adebogota@gener_usuga",2
19,"Triste por el intento de robo de anoche, feliz porque fui una hdp y no lograron quitarme el celular",3
20,@delcy_eloina En U.S.A la gente está en la calle por consumo de alcohol o drogas ... no por falta de oportunidades ni comida,3
21,@SeguridadBOG @TransMilenio Sigan creyendo que en la ciudad de todos y de nadie van a lograr que dejen de colarse y de robar y de manosear con una caricatura... En @TransMilenio se necesita la presencia de @PoliciaBogota y que por fin @ClaudiaLopez muestre respeto por los que SI pagamos pasaje.,2
22,@NoticiasCaracol En esos mismos buses roban y abusan y no veo que viralicen  un puto video,2
23,"Delincuentes que se movilizan en motocicleta tienen azotada la localidad de Kennedy.  Líderes comunales denuncian, con videos de cámaras de seguridad, las acciones de atracadores: el hurto de celulares, el pan de cada día. #CityNoticiasFDS",3
24,Ojalá estas publicaciones las vean los vándalos marihuaneros que envia el capo del cartel del aguacate a destruir Bogota; a ver si entienden la clase de lacras que fueron SON y seran terroristas de las farc...,1
25,"La sonrisa de un hombre que nunca en su vida tendra que montarse en un Transmilenio a las cinco y media de la mañana para que lo empujen, lo insulten, le roben el celular y llegue tarde al trabajo porque tres estaciones masadelante se jodio un bus. https://t.co/XC2J8rHve2",3
26,No los veo haciendo tanto escandalo cuando acosan y eyaculan encima de las mujeres en el Transmilenio. De verdad que un bareto hace mas escandalo que la violencia contra la mujer.,2
27,Denuncian nuevo caso de intento de secuestro de niño en Bogota,3
28,"Muy seguramente el propietario esta esperando a la grua del seguro para que se lo lleve. Y si habra algo que rendir a la justicia, nunca pasa. @ClaudiaLopez quien vigila la policia de transito en #Bogota",3
29,"Cuando a uno lo balean en la casa tambien es por robarle el celular?
Que inseguridad!",2
