DATE,POS,TWEETS
2019-03-18,2,49
2019-03-26,2,50
2019-03-27,2,159
2019-03-28,2,139
2019-03-29,2,132
2019-03-30,2,48
2019-03-31,2,22
2019-04-01,2,27
2019-04-02,2,50
2019-04-03,2,39
2019-04-04,2,59
2019-04-05,2,100
2019-04-06,2,45
2019-04-07,2,21
2019-04-08,2,32
2019-04-09,2,61
2019-04-10,2,68
2019-04-11,2,84
2019-04-12,2,133
2019-04-13,2,92
2019-04-14,2,24
2019-04-15,2,34
2019-04-16,2,48
2019-04-17,2,30
2019-04-18,2,29
2019-04-19,2,36
2019-04-20,2,21
2019-04-21,2,18
2019-04-22,2,26
2019-04-23,2,36
2019-04-24,2,57
2019-04-25,2,63
2019-04-26,2,44
2019-04-27,2,36
2019-04-28,2,40
2019-04-29,2,42
2019-04-30,2,19
2019-05-01,2,16
2019-05-02,2,28
2019-05-03,2,45
2019-05-04,2,25
2019-05-05,2,32
2019-05-06,2,45
2019-05-07,2,69
2019-05-08,2,136
2019-05-09,2,100
2019-05-10,2,59
2019-05-11,3,28
2019-05-12,2,28
2019-05-13,2,49
2019-05-14,2,56
2019-05-15,2,54
2019-05-16,2,37
2019-05-17,2,51
2019-05-18,2,34
2019-05-19,2,27
2019-05-20,2,68
2019-05-21,2,90
2019-05-22,2,98
2019-05-23,2,86
2019-05-24,2,64
2019-05-25,2,37
2019-05-26,2,24
2019-05-27,2,52
2019-05-28,2,73
2019-05-29,2,87
2019-05-30,2,87
2019-05-31,2,123
2019-06-01,2,44
2019-06-02,2,44
2019-06-03,2,38
2019-06-04,3,34
2019-06-05,2,60
2019-06-06,2,92
2019-06-07,2,122
2019-06-08,2,77
2019-06-09,2,38
2019-06-10,2,69
2019-06-11,2,72
2019-06-12,2,84
2019-06-13,2,69
2019-06-14,2,69
2019-06-15,2,54
2019-06-16,2,65
2019-06-17,2,105
2019-06-18,2,108
2019-06-19,2,359
2019-06-20,2,82
2019-06-21,2,101
2019-06-22,2,179
2019-06-23,2,89
2019-06-24,2,42
2019-06-25,2,64
2019-06-26,2,58
2019-06-27,2,77
2019-06-28,2,121
2019-06-29,2,33
2019-06-30,2,31
2019-07-01,2,49
2019-07-02,2,69
2019-07-08,2,50
2019-07-09,2,139
2019-07-10,2,122
2019-07-11,2,82
2019-07-12,2,74
2019-07-13,2,84
2019-07-14,2,74
2019-07-15,2,63
2019-07-16,2,95
2019-07-17,2,162
2019-07-18,2,164
2019-07-19,2,179
2019-07-20,2,91
2019-07-21,2,40
2019-07-22,2,75
2019-07-23,2,92
2019-07-24,2,119
2019-07-25,2,91
2019-07-26,2,111
2019-07-27,2,48
2019-07-28,2,35
2019-07-29,2,40
2019-07-30,2,76
2019-07-31,2,65
2019-08-01,2,83
2019-08-02,2,93
2019-08-03,2,40
2019-08-04,2,48
2019-08-05,2,60
2019-08-06,2,67
2019-08-07,2,53
2019-08-08,2,98
2019-08-09,2,168
2019-08-10,2,109
2019-08-11,2,45
2019-08-12,2,60
2019-08-13,2,85
2019-08-14,2,104
2019-08-15,2,115
