DATE,POS,TWEETS
2019-03-18,2.367,49
2019-03-19,,
2019-03-20,,
2019-03-21,,
2019-03-22,,
2019-03-23,,
2019-03-24,,
2019-03-25,,
2019-03-26,2.160,50
2019-03-27,2.258,159
2019-03-28,2.259,139
2019-03-29,2.205,132
2019-03-30,2.250,48
2019-03-31,2.091,22
2019-04-01,2.333,27
2019-04-02,2.320,50
2019-04-03,2.308,39
2019-04-04,2.305,59
2019-04-05,2.370,100
2019-04-06,2.311,45
2019-04-07,2.381,21
2019-04-08,2.406,32
2019-04-09,2.066,61
2019-04-10,2.309,68
2019-04-11,2.369,84
2019-04-12,2.195,133
2019-04-13,2.174,92
2019-04-14,2.458,24
2019-04-15,2.294,34
2019-04-16,2.396,48
2019-04-17,2.333,30
2019-04-18,2.345,29
2019-04-19,2.250,36
2019-04-20,2.190,21
2019-04-21,2.333,18
2019-04-22,2.269,26
2019-04-23,2.361,36
2019-04-24,2.228,57
2019-04-25,2.159,63
2019-04-26,2.205,44
2019-04-27,2.250,36
2019-04-28,2.125,40
2019-04-29,2.167,42
2019-04-30,2.368,19
2019-05-01,2.313,16
2019-05-02,2.357,28
2019-05-03,2.267,45
2019-05-04,2.360,25
2019-05-05,2.031,32
2019-05-06,2.267,45
2019-05-07,2.362,69
2019-05-08,2.382,136
2019-05-09,2.320,100
2019-05-10,2.271,59
2019-05-11,2.536,28
2019-05-12,2.321,28
2019-05-13,2.327,49
2019-05-14,2.304,56
2019-05-15,2.352,54
2019-05-16,2.189,37
2019-05-17,2.333,51
2019-05-18,2.412,34
2019-05-19,2.370,27
2019-05-20,2.397,68
2019-05-21,2.311,90
2019-05-22,2.347,98
2019-05-23,2.209,86
2019-05-24,2.313,64
2019-05-25,2.459,37
2019-05-26,2.167,24
2019-05-27,2.250,52
2019-05-28,2.274,73
2019-05-29,2.287,87
2019-05-30,2.276,87
2019-05-31,2.366,123
2019-06-01,2.273,44
2019-06-02,2.205,44
2019-06-03,2.289,38
2019-06-04,2.500,34
2019-06-05,2.383,60
2019-06-06,2.228,92
2019-06-07,2.328,122
2019-06-08,2.299,77
2019-06-09,2.237,38
2019-06-10,2.362,69
2019-06-11,2.250,72
2019-06-12,2.274,84
2019-06-13,2.377,69
2019-06-14,2.333,69
2019-06-15,2.352,54
2019-06-16,2.431,65
2019-06-17,2.276,105
2019-06-18,2.324,108
2019-06-19,2.262,359
2019-06-20,2.305,82
