Date,Homicides,Robbery,Agressive Behavior,SentimentPolarity
3/18/19,1,83,56,2.37
3/19/19,,96,46,
3/20/19,4,100,58,
3/21/19,,114,41,
3/22/19,1,107,44,2.2
3/23/19,4,85,59,2.33
3/24/19,3,54,82,2
3/25/19,6,67,59,2.25
3/26/19,2,105,51,2.16
3/27/19,2,83,58,2.26
3/28/19,2,107,60,2.26
3/29/19,1,127,44,2.2
3/30/19,3,120,68,2.25
3/31/19,2,83,114,2.09
4/1/19,3,98,49,2.33
4/2/19,4,102,59,2.32
4/3/19,1,88,51,2.31
4/4/19,,85,51,2.31
4/5/19,,102,44,2.37
4/6/19,7,117,75,2.31
4/7/19,3,70,98,2.38
4/8/19,3,92,42,2.41
4/9/19,4,90,38,2.07
4/10/19,1,97,38,2.31
4/11/19,,94,26,2.37
4/12/19,3,138,42,2.2
4/13/19,2,82,49,2.17
4/14/19,2,72,53,2.46
4/15/19,2,83,32,2.29
4/16/19,1,74,33,2.4
4/17/19,2,77,48,2.33
4/18/19,1,46,31,2.34
4/19/19,3,32,22,2.25
4/20/19,1,44,36,2.19
4/21/19,3,48,36,2.33
4/22/19,4,97,21,2.27
4/23/19,1,95,52,2.36
4/24/19,,115,29,2.23
4/25/19,,111,40,2.16
4/26/19,3,117,37,2.2
4/27/19,2,129,70,2.25
4/28/19,2,77,86,2.13
4/29/19,2,108,48,2.17
4/30/19,2,107,41,2.37
5/1/19,5,67,78,2.31
5/2/19,5,109,46,2.36
5/3/19,3,118,37,2.27
5/4/19,1,82,66,2.36
5/5/19,6,75,92,2.03
5/6/19,1,111,54,2.27
5/7/19,,104,50,2.36
5/8/19,,102,37,2.38
5/9/19,2,110,54,2.32
5/10/19,2,99,43,2.27
5/11/19,6,87,80,2.54
5/12/19,4,56,133,2.32
5/13/19,3,79,47,2.33
5/14/19,4,68,52,2.3
5/15/19,4,105,51,2.35
5/16/19,,97,54,2.19
5/17/19,2,121,56,2.33
5/18/19,1,88,56,2.41
5/19/19,2,78,67,2.37
5/20/19,2,85,66,2.4
5/21/19,5,92,49,2.31
5/22/19,2,82,55,2.35
5/23/19,2,83,47,2.21
5/24/19,1,100,41,2.31
5/25/19,10,89,92,2.46
5/26/19,2,73,90,2.17
5/27/19,5,81,42,2.25
5/28/19,1,73,42,2.27
5/29/19,1,91,49,2.29
5/30/19,1,93,38,2.28
5/31/19,2,119,40,2.37
6/1/19,,82,60,2.27
6/2/19,5,82,92,2.2
6/3/19,,55,50,2.29
6/4/19,,111,47,2.5
6/5/19,3,83,57,2.38
6/6/19,2,88,44,2.23
6/7/19,3,115,49,2.33
6/8/19,1,90,58,2.3
6/9/19,5,47,81,2.24
6/10/19,1,117,51,2.36
