Tiempo,Cantidad
2019-03-18,5
2019-03-19,5
2019-03-20,1
2019-03-21,2
2019-03-22,4
2019-03-23,2
2019-03-25,3
2019-03-27,2
2019-03-28,6
2019-03-29,1
2019-03-31,3
2019-04-01,3
2019-04-02,2
2019-04-03,1
2019-04-04,6
2019-04-05,1
2019-04-06,4
2019-04-07,4
2019-04-09,1
2019-04-10,3
2019-04-11,3
2019-04-12,3
2019-04-13,3
2019-04-15,1
2019-04-16,4
2019-04-17,6
2019-04-18,1
2019-04-20,3
2019-04-22,3
2019-04-23,4
2019-04-24,2
2019-04-25,3
2019-04-26,2
2019-04-27,5
2019-04-28,5
2019-04-29,1
2019-04-30,1
2019-05-01,2
2019-05-02,4
2019-05-03,3
2019-05-04,1
2019-05-05,3
2019-05-06,4
2019-05-07,2
2019-05-08,2
2019-05-09,5
2019-05-10,1
2019-05-11,2
2019-05-14,2
2019-05-15,1
2019-05-16,3
2019-05-17,4
2019-05-18,1
2019-05-20,3
2019-05-21,1
2019-05-22,4
2019-05-23,2
2019-05-24,1
2019-05-25,4
2019-05-26,2
2019-05-27,2
2019-05-30,2
2019-05-31,3
2019-06-01,5
2019-06-02,3
2019-06-03,1
2019-06-04,4
2019-06-05,1
2019-06-06,3
2019-06-07,3
2019-06-08,3
2019-06-09,2
2019-06-10,5
2019-06-11,1
2019-06-12,3
2019-06-13,4
2019-06-14,2
2019-06-15,1
2019-06-16,1
2019-06-17,3
2019-06-18,2
2019-06-19,10
2019-06-20,6
2019-06-21,1
2019-06-22,2
2019-06-23,2
2019-06-24,2
2019-06-25,5
2019-06-26,1
2019-06-27,1
2019-06-28,4
2019-06-29,1
2019-06-30,2
2019-07-01,2
2019-07-02,2
2019-07-03,1
2019-07-04,1
2019-07-05,2
2019-07-06,2
2019-07-07,1
2019-07-08,2
2019-07-09,4
2019-07-11,4
2019-07-12,5
2019-07-13,5
2019-07-14,2
2019-07-15,2
2019-07-16,2
2019-07-17,6
2019-07-18,3
2019-07-19,1
2019-07-20,5
2019-07-21,1
2019-07-22,1
2019-07-23,2
2019-07-24,7
2019-07-25,1
2019-07-26,1
2019-07-27,1
2019-07-29,1
2019-07-30,2
2019-07-31,1
2019-08-01,4
2019-08-02,4
2019-08-03,5
2019-08-04,3
2019-08-05,2
2019-08-06,5
2019-08-08,1
2019-08-09,3
2019-08-10,1
2019-08-11,4
2019-08-12,2
2019-08-13,2
2019-08-14,2
2019-08-15,3
2019-08-17,2
2019-08-18,2
2019-08-19,1
2019-08-20,2
2019-08-21,2
2019-08-22,1
2019-08-23,2
2019-08-24,4
2019-08-25,3
2019-08-26,2
2019-08-27,4
2019-08-28,4
2019-08-29,2
2019-08-30,2
2019-08-31,6
2019-09-01,1
2019-09-02,6
2019-09-03,3
2019-09-04,3
2019-09-05,1
2019-09-06,5
2019-09-07,2
2019-09-08,1
2019-09-09,3
2019-09-10,2
2019-09-11,5
2019-09-12,4
2019-09-13,6
2019-09-14,5
2019-09-15,3
2019-09-16,2
2019-09-17,3
2019-09-18,1
2019-09-19,1
2019-09-20,2
2019-09-21,2
2019-09-22,3
2019-09-23,1
2019-09-24,2
2019-09-25,4
2019-09-27,1
2019-09-28,6
2019-09-29,2
2019-09-30,1
2019-10-01,2
2019-10-02,3
2019-10-04,1
2019-10-05,8
2019-10-07,3
2019-10-08,2
2019-10-09,2
2019-10-10,1
2019-10-11,2
2019-10-12,2
2019-10-13,2
2019-10-14,3
2019-10-15,3
2019-10-16,1
2019-10-17,2
2019-10-18,1
2019-10-19,1
2019-10-20,3
2019-10-21,2
2019-10-23,2
2019-10-24,2
2019-10-25,1
2019-10-26,2
2019-10-27,3
2019-10-29,7
2019-10-31,7
2019-11-01,4
2019-11-02,4
2019-11-03,1
2019-11-05,1
2019-11-07,2
2019-11-08,5
2019-11-09,3
2019-11-10,2
2019-11-11,3
2019-11-12,1
2019-11-13,4
2019-11-14,8
2019-11-15,4
2019-11-16,4
2019-11-17,1
2019-11-18,3
2019-11-19,4
2019-11-20,3
2019-11-21,3
2019-11-22,4
2019-11-23,1
2019-11-24,2
2019-11-25,2
2019-11-26,5
2019-11-27,4
2019-11-28,1
2019-11-29,1
2019-11-30,5
2019-12-01,1
2019-12-02,4
2019-12-03,4
2019-12-04,1
2019-12-05,3
2019-12-06,3
2019-12-07,4
2019-12-08,4
2019-12-09,8
2019-12-10,3
2019-12-11,2
2019-12-12,1
2019-12-13,1
2019-12-14,3
