Tiempo,Cantidad
2019-03-18,12
2019-03-19,15
2019-03-20,12
2019-03-21,13
2019-03-22,9
2019-03-23,6
2019-03-24,16
2019-03-25,10
2019-03-26,10
2019-03-27,15
2019-03-28,7
2019-03-29,14
2019-03-30,8
2019-03-31,24
2019-04-01,11
2019-04-02,11
2019-04-03,8
2019-04-04,10
2019-04-05,7
2019-04-06,12
2019-04-07,20
2019-04-08,5
2019-04-09,8
2019-04-10,7
2019-04-11,9
2019-04-12,7
2019-04-13,19
2019-04-14,10
2019-04-15,8
2019-04-16,10
2019-04-17,5
2019-04-18,6
2019-04-20,4
2019-04-21,6
2019-04-22,7
2019-04-23,16
2019-04-24,13
2019-04-25,14
2019-04-26,6
2019-04-27,12
2019-04-28,24
2019-04-29,6
2019-04-30,15
2019-05-01,17
2019-05-02,17
2019-05-03,4
2019-05-04,9
2019-05-05,15
2019-05-06,17
2019-05-07,9
2019-05-08,14
2019-05-09,16
2019-05-10,6
2019-05-11,12
2019-05-12,18
2019-05-13,10
2019-05-14,15
2019-05-15,11
2019-05-16,11
2019-05-17,17
2019-05-18,12
2019-05-19,13
2019-05-20,9
2019-05-21,12
2019-05-22,7
2019-05-23,14
2019-05-24,10
2019-05-25,14
2019-05-26,7
2019-05-27,7
2019-05-28,4
2019-05-29,8
2019-05-30,8
2019-05-31,14
2019-06-01,14
2019-06-02,18
2019-06-03,12
2019-06-04,10
2019-06-05,5
2019-06-06,11
2019-06-07,10
2019-06-08,10
2019-06-09,15
2019-06-10,9
2019-06-11,2
2019-06-12,5
2019-06-13,24
2019-06-14,8
2019-06-15,17
2019-06-16,18
2019-06-17,12
2019-06-18,9
2019-06-19,16
2019-06-20,9
2019-06-21,5
2019-06-22,7
2019-06-23,16
2019-06-24,8
2019-06-25,7
2019-06-26,11
2019-06-27,6
2019-06-28,3
2019-06-29,9
2019-06-30,10
2019-07-01,2
2019-07-02,15
2019-07-03,5
2019-07-04,8
2019-07-05,3
2019-07-06,7
2019-07-07,8
2019-07-08,9
2019-07-09,5
2019-07-10,12
2019-07-11,13
2019-07-12,12
2019-07-13,7
2019-07-14,12
2019-07-15,7
2019-07-16,5
2019-07-17,10
2019-07-18,5
2019-07-19,9
2019-07-20,13
2019-07-21,13
2019-07-22,6
2019-07-23,13
2019-07-24,19
2019-07-25,12
2019-07-26,7
2019-07-27,9
2019-07-28,15
2019-07-29,9
2019-07-30,7
2019-07-31,8
2019-08-01,6
2019-08-02,13
2019-08-03,9
2019-08-04,22
2019-08-05,4
2019-08-06,4
2019-08-07,8
2019-08-08,4
2019-08-09,9
2019-08-10,17
2019-08-11,11
2019-08-12,9
2019-08-13,4
2019-08-14,17
2019-08-15,6
2019-08-16,7
2019-08-17,10
2019-08-18,19
2019-08-19,11
2019-08-20,10
2019-08-21,8
2019-08-22,7
2019-08-23,10
2019-08-24,7
2019-08-25,14
2019-08-26,11
2019-08-27,9
2019-08-28,5
2019-08-29,5
2019-08-30,13
2019-08-31,16
2019-09-01,16
2019-09-02,13
2019-09-03,7
2019-09-04,7
2019-09-05,6
2019-09-06,10
2019-09-07,16
2019-09-08,7
2019-09-09,13
2019-09-10,9
2019-09-11,7
2019-09-12,10
2019-09-13,15
2019-09-14,11
2019-09-15,11
2019-09-16,17
2019-09-17,11
2019-09-18,8
2019-09-19,6
2019-09-20,8
2019-09-21,13
2019-09-22,18
2019-09-23,8
2019-09-24,6
2019-09-25,15
2019-09-26,16
2019-09-27,10
2019-09-28,12
2019-09-29,8
2019-09-30,6
2019-10-01,9
2019-10-02,10
2019-10-03,17
2019-10-04,5
2019-10-05,14
2019-10-06,23
2019-10-07,8
2019-10-08,7
2019-10-09,13
2019-10-10,16
2019-10-11,8
2019-10-12,13
2019-10-13,6
2019-10-14,7
2019-10-15,10
2019-10-16,12
2019-10-17,6
2019-10-18,7
2019-10-19,15
2019-10-20,10
2019-10-21,6
2019-10-22,7
2019-10-23,16
2019-10-24,6
2019-10-25,9
2019-10-26,11
2019-10-27,11
2019-10-28,12
2019-10-29,10
2019-10-30,9
2019-10-31,18
2019-11-01,13
2019-11-02,8
2019-11-03,24
2019-11-04,7
