Tiempo,Cantidad
2019-03-18,7
2019-03-19,2
2019-03-20,6
2019-03-21,12
2019-03-22,12
2019-03-23,5
2019-03-24,1
2019-03-25,4
2019-03-26,9
2019-03-27,5
2019-03-28,7
2019-03-29,12
2019-03-30,7
2019-03-31,14
2019-04-01,7
2019-04-02,12
2019-04-03,6
2019-04-04,5
2019-04-05,4
2019-04-06,12
2019-04-07,8
2019-04-08,9
2019-04-09,13
2019-04-10,5
2019-04-11,4
2019-04-12,10
2019-04-13,4
2019-04-14,7
2019-04-15,4
2019-04-16,5
2019-04-17,9
2019-04-18,8
2019-04-19,3
2019-04-20,9
2019-04-21,2
2019-04-22,5
2019-04-23,10
2019-04-24,7
2019-04-25,7
2019-04-26,5
2019-04-27,7
2019-04-28,13
2019-04-29,5
2019-04-30,9
2019-05-01,8
2019-05-02,8
2019-05-03,4
2019-05-04,7
2019-05-05,2
2019-05-06,5
2019-05-07,8
2019-05-08,10
2019-05-09,13
2019-05-10,8
2019-05-11,12
2019-05-12,9
2019-05-13,1
2019-05-14,5
2019-05-15,9
2019-05-16,3
2019-05-17,10
2019-05-18,6
2019-05-19,9
2019-05-20,13
2019-05-21,9
2019-05-22,9
2019-05-23,7
2019-05-24,8
2019-05-25,11
2019-05-26,5
2019-05-27,6
2019-05-28,10
2019-05-29,2
2019-05-30,10
2019-05-31,8
2019-06-01,8
2019-06-02,8
2019-06-03,4
2019-06-04,7
2019-06-05,4
2019-06-06,1
2019-06-07,9
2019-06-08,5
2019-06-09,8
2019-06-10,6
2019-06-11,2
2019-06-12,6
2019-06-13,5
2019-06-14,19
2019-06-15,8
2019-06-16,3
2019-06-17,7
2019-06-18,7
2019-06-19,6
2019-06-20,11
2019-06-21,4
2019-06-22,11
2019-06-23,4
2019-06-24,2
2019-06-25,4
2019-06-26,6
2019-06-27,7
2019-06-28,6
2019-06-29,5
2019-06-30,6
2019-07-01,3
2019-07-02,4
2019-07-03,7
2019-07-04,8
2019-07-05,8
2019-07-06,4
2019-07-07,9
2019-07-08,5
2019-07-09,6
2019-07-10,6
2019-07-11,9
2019-07-12,5
2019-07-13,7
2019-07-14,6
2019-07-15,10
2019-07-16,3
2019-07-17,9
2019-07-18,7
2019-07-19,3
2019-07-20,3
2019-07-21,6
2019-07-22,5
2019-07-23,8
2019-07-24,6
2019-07-25,10
2019-07-26,8
2019-07-27,6
2019-07-28,5
2019-07-29,4
2019-07-30,4
