Tiempo,Cantidad
2019-03-18,19
2019-03-19,14
2019-03-20,25
2019-03-21,15
2019-03-22,19
2019-03-23,28
2019-03-24,16
2019-03-25,21
2019-03-26,26
2019-03-27,26
2019-03-28,18
2019-03-29,19
2019-03-30,36
2019-03-31,19
2019-04-01,16
2019-04-02,24
2019-04-03,17
2019-04-04,13
2019-04-05,13
2019-04-06,34
2019-04-07,16
2019-04-08,13
2019-04-09,13
2019-04-10,30
2019-04-11,14
2019-04-12,23
2019-04-13,14
2019-04-14,11
2019-04-15,24
2019-04-16,13
2019-04-17,13
2019-04-18,7
2019-04-19,9
2019-04-20,8
2019-04-21,13
2019-04-22,11
2019-04-23,23
2019-04-24,20
2019-04-25,18
2019-04-26,23
2019-04-27,29
2019-04-28,17
2019-04-29,28
2019-04-30,23
2019-05-01,16
2019-05-02,21
2019-05-03,16
2019-05-04,21
2019-05-05,28
2019-05-06,30
2019-05-07,17
2019-05-08,15
2019-05-09,19
2019-05-10,22
2019-05-11,26
2019-05-12,28
2019-05-13,20
2019-05-14,18
2019-05-15,22
2019-05-16,24
2019-05-17,18
2019-05-18,25
2019-05-19,19
2019-05-20,20
2019-05-21,14
2019-05-22,10
2019-05-23,18
2019-05-24,24
2019-05-25,20
2019-05-26,32
2019-05-27,12
2019-05-28,18
2019-05-29,26
2019-05-30,13
2019-05-31,15
2019-06-01,19
2019-06-02,21
2019-06-03,16
2019-06-04,22
2019-06-05,20
2019-06-06,17
2019-06-07,16
2019-06-08,22
2019-06-09,13
2019-06-10,29
2019-06-11,19
2019-06-12,16
2019-06-13,19
2019-06-14,14
2019-06-15,27
2019-06-16,28
2019-06-17,27
2019-06-18,12
2019-06-19,20
2019-06-20,14
2019-06-21,17
2019-06-22,16
2019-06-23,19
2019-06-24,16
2019-06-25,21
2019-06-26,26
2019-06-27,12
2019-06-28,15
2019-06-29,12
2019-06-30,19
2019-07-01,11
2019-07-02,17
2019-07-03,21
2019-07-04,15
2019-07-05,25
2019-07-06,24
2019-07-07,19
2019-07-08,9
2019-07-09,20
2019-07-10,15
2019-07-11,15
2019-07-12,18
2019-07-13,20
2019-07-14,29
2019-07-15,20
2019-07-16,14
2019-07-17,12
2019-07-18,10
2019-07-19,20
2019-07-20,18
2019-07-21,13
2019-07-22,18
2019-07-23,12
2019-07-24,16
2019-07-25,17
2019-07-26,17
2019-07-27,28
2019-07-28,9
2019-07-29,17
2019-07-30,23
2019-07-31,24
2019-08-01,25
2019-08-02,7
2019-08-03,34
2019-08-04,17
2019-08-05,14
2019-08-06,22
2019-08-07,19
2019-08-08,18
2019-08-09,13
2019-08-10,15
2019-08-11,16
2019-08-12,18
2019-08-13,14
2019-08-14,17
2019-08-15,20
2019-08-16,22
2019-08-17,19
2019-08-18,21
2019-08-19,11
2019-08-20,22
2019-08-21,13
2019-08-22,16
2019-08-23,18
2019-08-24,16
2019-08-25,15
2019-08-26,12
2019-08-27,34
2019-08-28,25
2019-08-29,14
2019-08-30,23
2019-08-31,25
2019-09-01,27
2019-09-02,23
2019-09-03,11
2019-09-04,9
2019-09-05,12
2019-09-06,16
2019-09-07,21
2019-09-08,14
2019-09-09,11
2019-09-10,16
2019-09-11,13
2019-09-12,20
2019-09-13,24
2019-09-14,26
2019-09-15,14
2019-09-16,16
2019-09-17,19
2019-09-18,13
2019-09-19,14
2019-09-20,11
2019-09-21,21
2019-09-22,12
2019-09-23,17
2019-09-24,9
2019-09-25,11
2019-09-26,17
2019-09-27,20
2019-09-28,25
2019-09-29,20
2019-09-30,10
2019-10-01,13
2019-10-02,28
2019-10-03,10
2019-10-04,19
2019-10-05,17
2019-10-06,13
2019-10-07,11
2019-10-08,14
2019-10-09,20
2019-10-10,11
2019-10-11,14
2019-10-12,14
2019-10-13,12
2019-10-14,11
2019-10-15,19
2019-10-16,17
2019-10-17,9
2019-10-18,25
2019-10-19,23
2019-10-20,21
2019-10-21,24
2019-10-22,7
2019-10-23,10
2019-10-24,16
2019-10-25,29
2019-10-26,15
2019-10-27,11
2019-10-28,23
2019-10-29,17
2019-10-30,8
2019-10-31,19
2019-11-01,22
2019-11-02,25
2019-11-03,16
2019-11-04,13
2019-11-05,13
2019-11-06,21
2019-11-07,29
2019-11-08,22
2019-11-09,16
2019-11-10,15
2019-11-11,7
2019-11-12,15
2019-11-13,14
2019-11-14,19
2019-11-15,30
2019-11-16,33
2019-11-17,19
2019-11-18,18
2019-11-19,18
2019-11-20,29
2019-11-21,13
2019-11-22,25
2019-11-23,11
2019-11-24,10
2019-11-25,14
2019-11-26,8
2019-11-27,11
2019-11-28,11
2019-11-29,12
2019-11-30,19
2019-12-01,14
2019-12-02,19
2019-12-03,14
2019-12-04,21
2019-12-05,12
2019-12-06,12
2019-12-07,29
2019-12-08,28
2019-12-09,12
2019-12-10,21
2019-12-11,17
2019-12-12,19
2019-12-13,14
2019-12-14,22
2019-12-15,14
2019-12-16,8
2019-12-17,12
2019-12-18,7
2019-12-19,26
2019-12-20,12
2019-12-21,19
2019-12-22,12
2019-12-23,16
2019-12-24,15
2019-12-25,15
2019-12-26,8
2019-12-27,18
2019-12-28,21
2019-12-29,12
2019-12-30,15
2019-12-31,23
2020-01-01,28
2020-01-02,18
2020-01-03,27
2020-01-04,23
2020-01-05,10
2020-01-06,15
2020-01-07,22
2020-01-08,23
2020-01-09,25
2020-01-10,17
2020-01-11,17
2020-01-12,16
2020-01-13,13
2020-01-14,27
2020-01-15,16
2020-01-16,14
2020-01-17,23
2020-01-18,18
2020-01-19,18
2020-01-20,11
2020-01-21,13
2020-01-22,14
2020-01-23,13
2020-01-24,15
2020-01-25,25
2020-01-26,25
2020-01-27,22
2020-01-28,14
2020-01-29,14
2020-01-30,12
2020-01-31,18
2020-02-01,16
2020-02-02,29
2020-02-03,14
2020-02-04,18
2020-02-05,16
2020-02-06,15
2020-02-07,20
2020-02-08,15
2020-02-09,17
2020-02-10,13
2020-02-11,16
2020-02-12,16
2020-02-13,7
2020-02-14,24
2020-02-15,9
2020-02-16,11
2020-02-17,18
2020-02-18,22
2020-02-19,22
2020-02-20,7
2020-02-21,9
2020-02-22,14
2020-02-23,15
2020-02-24,10
2020-02-25,17
2020-02-26,10
2020-02-27,13
2020-02-28,17
2020-02-29,25
2020-03-01,21
2020-03-02,15
2020-03-03,17
2020-03-04,23
2020-03-05,16
2020-03-06,24
2020-03-07,15
2020-03-08,22
2020-03-09,15
2020-03-10,12
2020-03-11,11
2020-03-12,20
2020-03-13,16
2020-03-14,15
2020-03-15,18
2020-03-16,12
2020-03-17,17
2020-03-18,13
2020-03-19,6
2020-03-20,2
2020-03-21,4
2020-03-22,3
2020-03-24,7
2020-03-25,4
2020-03-26,3
2020-03-27,5
2020-03-28,6
2020-03-29,4
2020-03-30,3
2020-03-31,6
2020-04-01,7
2020-04-02,5
2020-04-03,6
2020-04-04,4
2020-04-05,2
2020-04-06,9
2020-04-07,6
2020-04-08,7
2020-04-09,6
2020-04-10,2
2020-04-11,4
2020-04-12,4
2020-04-13,7
2020-04-14,4
2020-04-15,6
2020-04-16,6
2020-04-17,5
2020-04-18,8
2020-04-19,8
2020-04-20,3
