Tiempo,Cantidad
2019-03-18,2
2019-03-19,3
2019-03-20,4
2019-03-21,5
2019-03-22,9
2019-03-23,9
2019-03-25,1
2019-03-26,10
2019-03-27,1
2019-03-28,5
2019-03-29,5
2019-03-30,8
2019-03-31,5
2019-04-01,4
2019-04-02,8
2019-04-03,4
2019-04-04,5
2019-04-05,2
2019-04-06,8
2019-04-07,3
2019-04-08,2
2019-04-09,8
2019-04-10,3
2019-04-11,2
2019-04-12,3
2019-04-13,3
2019-04-14,1
2019-04-15,4
2019-04-16,3
2019-04-17,4
2019-04-18,1
2019-04-19,3
2019-04-20,2
2019-04-21,5
2019-04-22,4
2019-04-23,1
2019-04-24,6
2019-04-25,5
2019-04-26,7
2019-04-27,5
2019-04-28,1
2019-04-29,6
2019-04-30,7
2019-05-01,2
2019-05-02,7
2019-05-03,4
2019-05-04,3
2019-05-05,5
2019-05-06,3
2019-05-07,11
2019-05-09,4
2019-05-10,6
2019-05-11,6
2019-05-12,2
2019-05-13,4
2019-05-14,3
2019-05-15,3
2019-05-16,9
2019-05-17,6
2019-05-18,10
2019-05-19,3
2019-05-20,6
2019-05-21,3
2019-05-22,3
2019-05-23,2
2019-05-24,5
2019-05-25,3
2019-05-26,3
2019-05-27,5
2019-05-28,4
2019-05-29,5
2019-05-30,3
2019-05-31,4
2019-06-01,2
2019-06-02,7
2019-06-03,2
2019-06-04,5
2019-06-05,9
2019-06-06,1
2019-06-07,9
2019-06-08,5
2019-06-09,1
2019-06-10,5
2019-06-11,3
2019-06-12,8
2019-06-13,4
2019-06-14,7
2019-06-15,8
2019-06-16,4
2019-06-17,5
2019-06-18,6
2019-06-19,2
2019-06-20,4
2019-06-21,4
2019-06-22,4
2019-06-23,7
2019-06-24,4
2019-06-25,7
2019-06-26,4
2019-06-27,5
2019-06-28,5
2019-06-29,5
2019-06-30,2
2019-07-01,5
2019-07-02,6
2019-07-03,8
2019-07-04,5
2019-07-05,4
2019-07-06,8
2019-07-07,5
2019-07-08,4
2019-07-09,3
2019-07-10,4
2019-07-11,5
2019-07-12,1
2019-07-13,9
2019-07-14,2
2019-07-15,3
2019-07-16,5
2019-07-17,7
2019-07-18,2
2019-07-19,3
2019-07-20,4
2019-07-21,1
2019-07-22,4
2019-07-23,3
2019-07-24,1
2019-07-25,4
2019-07-26,5
2019-07-27,5
2019-07-28,3
2019-07-29,5
2019-07-30,2
2019-07-31,3
2019-08-01,3
2019-08-02,4
2019-08-03,3
2019-08-04,2
2019-08-05,2
2019-08-06,4
2019-08-07,2
2019-08-08,3
2019-08-09,3
2019-08-10,6
2019-08-11,4
2019-08-12,6
2019-08-13,4
2019-08-14,6
2019-08-15,9
2019-08-16,3
2019-08-17,5
2019-08-18,2
2019-08-19,3
2019-08-20,5
2019-08-21,3
2019-08-23,3
2019-08-24,12
2019-08-25,4
2019-08-26,3
2019-08-27,3
2019-08-28,4
2019-08-29,9
2019-08-30,7
2019-08-31,6
2019-09-01,2
2019-09-02,4
2019-09-03,7
2019-09-04,6
2019-09-05,3
2019-09-06,7
2019-09-07,3
2019-09-08,2
2019-09-09,2
2019-09-10,1
2019-09-11,6
2019-09-12,8
2019-09-13,2
2019-09-14,6
2019-09-15,8
2019-09-16,6
2019-09-17,5
2019-09-18,6
2019-09-19,1
2019-09-20,6
