Tiempo,Cantidad
2019-03-18,7
2019-03-19,2
2019-03-20,9
2019-03-21,10
2019-03-22,8
2019-03-23,7
2019-03-24,6
2019-03-25,2
2019-03-26,10
2019-03-27,4
2019-03-28,12
2019-03-29,6
2019-03-30,10
2019-03-31,8
2019-04-01,5
2019-04-02,8
2019-04-03,5
2019-04-04,1
2019-04-05,8
2019-04-06,13
2019-04-07,7
2019-04-08,3
2019-04-09,7
2019-04-10,9
2019-04-11,7
2019-04-12,10
2019-04-13,4
2019-04-14,10
2019-04-15,5
2019-04-16,4
2019-04-17,9
2019-04-18,2
2019-04-19,2
2019-04-20,2
2019-04-21,2
2019-04-22,8
2019-04-23,9
2019-04-24,1
2019-04-25,2
2019-04-26,2
2019-04-27,7
2019-04-28,3
2019-04-29,6
2019-04-30,8
2019-05-01,7
2019-05-02,4
2019-05-03,4
2019-05-04,3
2019-05-05,6
2019-05-06,8
2019-05-07,7
2019-05-08,11
2019-05-09,7
2019-05-10,5
2019-05-11,6
2019-05-12,4
2019-05-13,1
2019-05-14,2
2019-05-15,3
2019-05-16,4
2019-05-17,6
2019-05-18,5
2019-05-19,5
2019-05-20,5
2019-05-21,2
2019-05-22,7
2019-05-23,4
2019-05-24,8
2019-05-25,11
2019-05-26,4
2019-05-27,3
2019-05-28,2
2019-05-29,5
2019-05-30,3
2019-05-31,9
2019-06-01,5
2019-06-02,6
2019-06-03,5
2019-06-04,10
2019-06-05,5
2019-06-06,5
2019-06-07,11
2019-06-08,8
2019-06-09,4
2019-06-10,7
2019-06-11,4
2019-06-12,3
2019-06-13,6
2019-06-14,6
2019-06-15,5
2019-06-16,6
2019-06-17,10
2019-06-18,4
2019-06-19,4
2019-06-20,5
2019-06-21,4
2019-06-22,9
2019-06-23,3
2019-06-24,2
2019-06-25,4
2019-06-26,1
2019-06-27,7
2019-06-28,8
2019-06-29,6
2019-06-30,3
2019-07-01,4
2019-07-02,13
2019-07-03,9
2019-07-04,7
2019-07-05,7
2019-07-06,3
2019-07-07,3
2019-07-08,5
2019-07-09,2
2019-07-10,4
2019-07-11,7
2019-07-12,7
2019-07-13,4
2019-07-14,7
2019-07-15,4
2019-07-16,2
2019-07-17,7
2019-07-18,8
2019-07-19,7
2019-07-20,10
2019-07-21,2
2019-07-22,5
2019-07-23,3
2019-07-24,4
2019-07-25,10
2019-07-26,3
2019-07-27,8
2019-07-28,2
2019-07-29,3
2019-07-30,5
