Tiempo,Cantidad
2019-03-18,9
2019-03-19,6
2019-03-20,16
2019-03-21,1
2019-03-22,5
2019-03-23,11
2019-03-24,7
2019-03-25,11
2019-03-26,7
2019-03-27,6
2019-03-28,2
2019-03-29,11
2019-03-30,14
2019-03-31,17
2019-04-01,5
2019-04-02,15
2019-04-03,6
2019-04-04,7
2019-04-05,3
2019-04-06,8
2019-04-07,9
2019-04-08,10
2019-04-09,7
2019-04-10,2
2019-04-11,9
2019-04-12,13
2019-04-13,8
2019-04-14,9
2019-04-15,4
2019-04-16,6
2019-04-17,8
2019-04-18,3
2019-04-19,3
2019-04-20,3
2019-04-21,2
2019-04-22,2
2019-04-23,5
2019-04-24,6
2019-04-25,8
2019-04-26,4
2019-04-27,13
2019-04-28,7
2019-04-29,3
2019-04-30,14
2019-05-01,8
2019-05-02,7
2019-05-03,8
2019-05-04,10
2019-05-05,10
2019-05-06,8
2019-05-07,10
2019-05-08,6
2019-05-09,13
2019-05-10,12
2019-05-11,10
2019-05-12,16
2019-05-13,10
2019-05-14,6
2019-05-15,12
2019-05-16,9
2019-05-17,6
2019-05-18,11
2019-05-19,6
2019-05-20,9
2019-05-21,11
2019-05-22,8
2019-05-23,6
2019-05-24,4
2019-05-25,5
2019-05-26,16
2019-05-27,7
2019-05-28,2
2019-05-29,10
2019-05-30,7
2019-05-31,6
2019-06-01,6
2019-06-02,13
2019-06-03,10
2019-06-04,6
2019-06-05,5
2019-06-06,9
2019-06-07,9
2019-06-08,9
2019-06-09,3
2019-06-10,6
2019-06-11,7
2019-06-12,10
2019-06-13,5
2019-06-14,17
2019-06-15,12
2019-06-16,11
2019-06-17,8
2019-06-18,11
2019-06-19,11
2019-06-20,5
2019-06-21,4
2019-06-22,4
2019-06-23,7
2019-06-24,3
2019-06-25,2
2019-06-26,7
2019-06-27,6
2019-06-28,5
2019-06-29,6
2019-06-30,5
2019-07-01,4
2019-07-02,6
2019-07-03,7
2019-07-04,6
2019-07-05,9
2019-07-06,8
2019-07-07,11
2019-07-08,6
2019-07-09,7
2019-07-10,11
2019-07-11,10
2019-07-12,5
2019-07-13,7
2019-07-14,10
2019-07-15,8
2019-07-16,4
2019-07-17,6
2019-07-18,14
2019-07-19,9
2019-07-20,6
2019-07-21,2
2019-07-22,2
2019-07-23,7
2019-07-24,9
2019-07-25,6
2019-07-26,4
2019-07-27,4
2019-07-28,9
2019-07-29,12
2019-07-30,4
2019-07-31,6
2019-08-01,3
2019-08-02,3
2019-08-03,11
2019-08-04,8
