Tiempo,Cantidad
2019-03-18,5
2019-03-19,7
2019-03-20,8
2019-03-21,6
2019-03-22,5
2019-03-23,8
2019-03-24,1
2019-03-25,7
2019-03-26,8
2019-03-27,5
2019-03-28,5
2019-03-29,11
2019-03-30,11
2019-03-31,5
2019-04-01,12
2019-04-02,6
2019-04-03,8
2019-04-04,15
2019-04-05,12
2019-04-06,13
2019-04-07,4
2019-04-08,8
2019-04-09,7
2019-04-10,6
2019-04-11,2
2019-04-12,5
2019-04-13,7
2019-04-14,5
2019-04-15,7
2019-04-16,3
2019-04-17,10
2019-04-18,3
2019-04-19,1
2019-04-20,4
2019-04-22,9
2019-04-23,11
2019-04-24,9
2019-04-25,8
2019-04-26,9
2019-04-27,15
2019-04-28,5
2019-04-29,5
2019-04-30,6
2019-05-01,8
2019-05-02,8
2019-05-03,8
2019-05-04,6
2019-05-05,11
2019-05-06,2
2019-05-07,8
2019-05-08,9
2019-05-09,7
2019-05-10,6
2019-05-11,7
2019-05-12,6
2019-05-13,9
2019-05-14,5
2019-05-15,3
2019-05-16,8
2019-05-17,11
2019-05-18,6
2019-05-19,3
2019-05-20,9
2019-05-21,8
2019-05-22,8
2019-05-23,13
2019-05-24,4
2019-05-25,10
2019-05-26,3
2019-05-27,10
2019-05-28,6
2019-05-29,18
2019-05-30,6
2019-05-31,4
2019-06-01,3
2019-06-02,7
2019-06-03,3
2019-06-04,16
2019-06-05,3
2019-06-06,9
2019-06-07,13
2019-06-08,5
2019-06-09,7
2019-06-10,14
2019-06-11,10
2019-06-12,12
2019-06-13,12
2019-06-14,6
2019-06-15,17
2019-06-16,13
2019-06-17,6
2019-06-18,4
2019-06-19,7
2019-06-20,2
2019-06-21,5
2019-06-22,9
2019-06-23,7
2019-06-24,6
2019-06-25,7
2019-06-26,7
2019-06-27,9
2019-06-28,5
2019-06-29,5
2019-06-30,9
2019-07-01,3
2019-07-02,6
2019-07-03,8
2019-07-04,7
2019-07-05,3
2019-07-06,2
2019-07-07,2
2019-07-08,8
2019-07-09,4
2019-07-10,10
2019-07-11,6
2019-07-12,10
2019-07-13,14
2019-07-14,7
2019-07-15,12
2019-07-16,3
2019-07-17,5
2019-07-18,2
2019-07-19,10
2019-07-20,3
2019-07-21,4
2019-07-22,3
2019-07-23,5
2019-07-24,6
2019-07-25,7
2019-07-26,6
2019-07-27,3
2019-07-28,8
2019-07-29,8
2019-07-30,6
2019-07-31,4
2019-08-01,2
2019-08-02,8
2019-08-03,9
2019-08-04,8
2019-08-05,7
2019-08-06,7
2019-08-07,2
2019-08-08,9
2019-08-09,10
2019-08-10,11
2019-08-12,5
2019-08-13,2
2019-08-14,9
2019-08-15,4
2019-08-16,10
2019-08-17,10
2019-08-18,8
2019-08-19,7
2019-08-20,3
2019-08-21,5
2019-08-22,5
2019-08-23,8
2019-08-24,9
2019-08-25,6
2019-08-26,7
2019-08-27,6
2019-08-28,5
2019-08-29,7
2019-08-30,5
2019-08-31,6
2019-09-01,5
2019-09-02,9
2019-09-03,9
2019-09-04,6
2019-09-05,9
2019-09-06,9
2019-09-07,9
2019-09-08,7
2019-09-09,5
2019-09-10,3
2019-09-11,5
2019-09-12,8
2019-09-13,9
