Tiempo,Cantidad
2019-03-18,19
2019-03-19,17
2019-03-20,15
2019-03-21,16
2019-03-22,11
2019-03-23,15
2019-03-24,16
2019-03-25,11
2019-03-26,14
2019-03-27,10
2019-03-28,19
2019-03-29,11
2019-03-30,13
2019-03-31,15
2019-04-01,16
2019-04-02,20
2019-04-03,10
2019-04-04,16
2019-04-05,21
2019-04-06,9
2019-04-07,19
2019-04-08,9
2019-04-09,9
2019-04-10,12
2019-04-11,4
2019-04-12,18
2019-04-13,17
2019-04-14,11
2019-04-15,11
2019-04-16,14
2019-04-17,8
2019-04-18,10
2019-04-19,4
2019-04-20,10
2019-04-21,8
2019-04-22,13
2019-04-23,9
2019-04-24,12
2019-04-25,16
2019-04-26,18
2019-04-27,14
2019-04-28,9
2019-04-29,12
2019-04-30,8
2019-05-01,14
2019-05-02,19
2019-05-03,16
2019-05-04,8
2019-05-05,16
2019-05-06,18
2019-05-07,15
2019-05-08,10
2019-05-09,13
2019-05-10,12
2019-05-11,18
2019-05-12,14
2019-05-13,12
2019-05-14,11
2019-05-15,20
2019-05-16,8
2019-05-17,12
2019-05-18,11
2019-05-19,9
2019-05-20,5
2019-05-21,11
2019-05-22,11
2019-05-23,13
2019-05-24,10
2019-05-25,21
2019-05-26,18
2019-05-27,11
2019-05-28,17
2019-05-29,6
2019-05-30,14
2019-05-31,16
2019-06-01,19
2019-06-02,13
2019-06-03,10
2019-06-04,19
2019-06-05,11
2019-06-06,12
2019-06-07,14
2019-06-08,17
2019-06-09,11
2019-06-10,15
2019-06-11,8
2019-06-12,12
2019-06-13,15
2019-06-14,20
2019-06-15,22
2019-06-16,17
2019-06-17,12
2019-06-18,16
2019-06-19,12
2019-06-20,20
2019-06-21,16
2019-06-22,9
2019-06-23,12
2019-06-24,4
2019-06-25,10
2019-06-26,9
2019-06-27,10
2019-06-28,13
2019-06-29,11
2019-06-30,10
2019-07-01,7
2019-07-02,14
2019-07-03,23
2019-07-04,15
2019-07-05,7
2019-07-06,10
2019-07-07,14
2019-07-08,7
2019-07-09,9
2019-07-10,6
2019-07-11,12
2019-07-12,13
2019-07-13,14
2019-07-14,11
2019-07-15,14
2019-07-16,12
2019-07-17,18
2019-07-18,12
2019-07-19,15
2019-07-20,13
2019-07-21,17
2019-07-22,15
2019-07-23,16
2019-07-24,8
2019-07-25,7
2019-07-26,13
2019-07-27,16
2019-07-28,13
2019-07-29,14
2019-07-30,16
2019-07-31,10
2019-08-01,17
2019-08-02,11
2019-08-03,9
2019-08-04,7
2019-08-05,10
2019-08-06,17
2019-08-07,16
2019-08-08,13
2019-08-09,11
2019-08-10,11
2019-08-11,12
2019-08-12,17
2019-08-13,8
2019-08-14,6
2019-08-15,13
2019-08-16,13
2019-08-17,8
2019-08-18,17
2019-08-19,9
2019-08-20,10
2019-08-21,14
2019-08-22,9
2019-08-23,12
2019-08-24,18
2019-08-25,11
2019-08-26,10
2019-08-27,12
2019-08-28,8
2019-08-29,7
2019-08-30,15
2019-08-31,19
2019-09-01,9
2019-09-02,11
2019-09-03,15
2019-09-04,13
2019-09-05,13
2019-09-06,12
2019-09-07,8
2019-09-08,10
2019-09-09,12
2019-09-10,10
2019-09-11,7
2019-09-12,10
2019-09-13,18
2019-09-14,10
2019-09-15,20
2019-09-16,21
2019-09-17,15
2019-09-18,11
2019-09-19,12
2019-09-20,10
2019-09-21,18
2019-09-22,14
2019-09-23,17
2019-09-24,12
2019-09-25,14
2019-09-26,9
2019-09-27,18
2019-09-28,11
2019-09-29,12
2019-09-30,15
2019-10-01,20
2019-10-02,13
2019-10-03,12
2019-10-04,14
2019-10-05,14
2019-10-06,15
2019-10-07,18
2019-10-08,11
2019-10-09,12
2019-10-10,8
2019-10-11,11
2019-10-12,15
2019-10-13,7
2019-10-14,8
2019-10-15,18
2019-10-16,16
2019-10-17,18
2019-10-18,11
2019-10-19,14
2019-10-20,11
