Tiempo,Cantidad
2019-03-18,4
2019-03-19,5
2019-03-20,4
2019-03-21,9
2019-03-22,9
2019-03-24,2
2019-03-25,2
2019-03-26,5
2019-03-27,9
2019-03-28,2
2019-03-29,5
2019-03-30,4
2019-03-31,4
2019-04-01,5
2019-04-02,4
2019-04-03,4
2019-04-04,3
2019-04-05,5
2019-04-06,5
2019-04-07,4
2019-04-08,3
2019-04-09,5
2019-04-10,1
2019-04-11,3
2019-04-12,2
2019-04-13,5
2019-04-14,3
2019-04-15,2
2019-04-16,6
2019-04-17,2
2019-04-18,2
2019-04-19,2
2019-04-20,1
2019-04-21,3
2019-04-22,9
2019-04-24,1
2019-04-25,6
2019-04-26,4
2019-04-27,5
2019-04-28,2
2019-04-29,8
2019-04-30,3
2019-05-01,1
2019-05-02,2
2019-05-03,4
2019-05-04,5
2019-05-05,5
2019-05-06,2
2019-05-07,3
2019-05-08,4
2019-05-09,8
2019-05-10,4
2019-05-11,7
2019-05-12,3
2019-05-13,3
2019-05-14,5
2019-05-15,1
2019-05-16,1
2019-05-17,2
2019-05-18,2
2019-05-19,3
2019-05-20,3
2019-05-21,4
2019-05-22,3
2019-05-23,2
2019-05-24,1
2019-05-25,5
2019-05-26,7
2019-05-29,2
2019-05-30,6
2019-05-31,9
2019-06-01,6
2019-06-02,4
2019-06-04,4
2019-06-05,7
2019-06-06,10
2019-06-07,4
2019-06-08,4
2019-06-09,2
2019-06-10,4
2019-06-11,5
2019-06-12,2
2019-06-13,7
2019-06-14,2
2019-06-15,7
2019-06-16,4
2019-06-17,1
2019-06-18,4
2019-06-19,1
2019-06-20,3
2019-06-21,1
2019-06-22,3
2019-06-23,3
2019-06-24,2
2019-06-25,5
2019-06-26,6
2019-06-27,4
2019-06-28,7
2019-06-29,6
2019-06-30,2
2019-07-01,1
2019-07-02,6
2019-07-03,3
2019-07-04,5
2019-07-05,3
2019-07-06,4
2019-07-07,2
2019-07-08,2
2019-07-09,1
2019-07-10,4
2019-07-11,1
2019-07-12,4
2019-07-13,4
2019-07-14,1
2019-07-15,5
2019-07-16,4
2019-07-17,3
2019-07-18,2
2019-07-19,1
2019-07-20,2
2019-07-21,3
2019-07-22,8
2019-07-23,7
2019-07-24,3
2019-07-25,7
2019-07-26,2
2019-07-27,4
2019-07-28,5
2019-07-29,4
2019-07-30,11
2019-07-31,1
2019-08-01,7
2019-08-02,6
2019-08-03,2
2019-08-04,2
2019-08-05,4
2019-08-06,1
2019-08-07,6
2019-08-08,1
2019-08-09,2
2019-08-10,5
2019-08-11,1
2019-08-12,8
2019-08-13,2
2019-08-14,4
2019-08-15,5
2019-08-16,6
2019-08-17,3
2019-08-18,1
2019-08-19,2
2019-08-20,3
2019-08-21,6
2019-08-22,5
2019-08-23,3
2019-08-24,1
2019-08-25,3
2019-08-26,2
2019-08-27,3
2019-08-28,6
2019-08-29,2
2019-08-30,6
2019-08-31,4
2019-09-01,5
2019-09-02,3
2019-09-03,1
2019-09-04,6
2019-09-06,2
2019-09-07,5
2019-09-08,2
2019-09-09,1
2019-09-10,7
2019-09-11,5
2019-09-12,6
2019-09-13,4
2019-09-14,4
2019-09-15,2
2019-09-16,3
2019-09-17,5
2019-09-18,1
2019-09-19,2
2019-09-20,1
2019-09-21,3
2019-09-22,9
2019-09-23,5
2019-09-24,4
2019-09-25,2
2019-09-26,4
2019-09-27,4
2019-09-28,3
2019-09-29,2
2019-09-30,5
2019-10-01,3
2019-10-02,4
2019-10-03,4
2019-10-04,3
2019-10-05,6
2019-10-06,2
2019-10-07,1
2019-10-08,3
2019-10-09,3
2019-10-10,2
2019-10-12,4
2019-10-13,2
2019-10-14,4
2019-10-15,3
2019-10-16,5
2019-10-17,3
2019-10-18,3
2019-10-19,7
2019-10-20,2
2019-10-21,3
2019-10-22,3
2019-10-23,5
2019-10-24,5
2019-10-25,2
2019-10-26,3
2019-10-27,7
2019-10-28,6
2019-10-29,7
2019-10-30,3
2019-10-31,3
2019-11-01,5
2019-11-02,3
2019-11-03,6
2019-11-04,1
2019-11-05,3
2019-11-06,4
2019-11-07,9
2019-11-08,10
2019-11-09,3
2019-11-10,2
2019-11-11,3
2019-11-13,1
2019-11-14,6
2019-11-15,3
2019-11-16,6
2019-11-17,6
2019-11-18,8
2019-11-19,3
2019-11-20,1
2019-11-21,2
2019-11-22,2
2019-11-23,5
2019-11-24,1
2019-11-25,5
2019-11-26,1
2019-11-27,3
2019-11-29,3
2019-11-30,5
2019-12-01,5
2019-12-02,3
2019-12-03,5
2019-12-04,1
2019-12-05,2
2019-12-06,4
2019-12-07,4
2019-12-08,7
2019-12-09,3
2019-12-10,5
2019-12-11,5
2019-12-12,1
2019-12-13,5
2019-12-14,2
2019-12-15,7
2019-12-16,4
2019-12-17,4
