Tiempo,Cantidad
2019-03-18,1
2019-03-20,4
2019-03-22,1
2019-03-23,4
2019-03-24,3
2019-03-25,6
2019-03-26,2
2019-03-27,2
2019-03-28,2
2019-03-29,1
2019-03-30,3
2019-03-31,2
2019-04-01,3
2019-04-02,4
2019-04-03,1
2019-04-06,7
2019-04-07,3
2019-04-08,3
2019-04-09,4
2019-04-10,1
2019-04-12,3
2019-04-13,2
2019-04-14,2
2019-04-15,2
2019-04-16,1
2019-04-17,2
2019-04-18,1
2019-04-19,3
2019-04-20,1
2019-04-21,3
2019-04-22,4
2019-04-23,1
2019-04-26,3
2019-04-27,2
2019-04-28,2
2019-04-29,2
2019-04-30,2
2019-05-01,5
2019-05-02,5
2019-05-03,3
2019-05-04,1
2019-05-05,6
2019-05-06,1
2019-05-09,2
2019-05-10,2
2019-05-11,6
2019-05-12,4
2019-05-13,3
2019-05-14,4
2019-05-15,4
2019-05-17,2
2019-05-18,1
2019-05-19,2
2019-05-20,2
2019-05-21,5
2019-05-22,2
2019-05-23,2
2019-05-24,1
2019-05-25,10
2019-05-26,2
2019-05-27,5
2019-05-28,1
2019-05-29,1
2019-05-30,1
2019-05-31,2
2019-06-02,5
2019-06-05,3
2019-06-06,2
2019-06-07,3
2019-06-08,1
2019-06-09,5
2019-06-10,1
2019-06-12,2
2019-06-14,2
2019-06-15,3
2019-06-16,4
2019-06-17,5
2019-06-18,2
2019-06-19,3
2019-06-21,3
2019-06-22,3
2019-06-23,4
2019-06-27,4
2019-06-29,2
2019-06-30,2
2019-07-01,3
2019-07-02,1
2019-07-03,2
2019-07-04,1
2019-07-05,1
2019-07-06,2
2019-07-07,2
2019-07-08,1
2019-07-09,1
2019-07-11,4
2019-07-12,1
2019-07-13,3
2019-07-14,1
2019-07-15,3
2019-07-16,1
2019-07-17,5
2019-07-19,3
2019-07-20,2
2019-07-21,4
2019-07-22,2
2019-07-23,3
2019-07-24,2
2019-07-25,3
2019-07-27,3
2019-07-28,5
2019-07-29,3
2019-07-30,2
2019-07-31,1
2019-08-01,1
2019-08-02,4
2019-08-03,3
2019-08-04,4
2019-08-05,1
2019-08-06,2
2019-08-07,4
2019-08-08,2
2019-08-09,3
2019-08-10,3
2019-08-11,6
2019-08-12,2
2019-08-13,3
2019-08-14,2
2019-08-15,2
2019-08-16,5
2019-08-17,2
2019-08-18,5
2019-08-19,5
2019-08-20,4
2019-08-21,2
2019-08-22,4
2019-08-23,3
2019-08-24,3
2019-08-25,1
2019-08-26,3
2019-08-27,4
2019-08-28,2
2019-08-29,1
2019-08-31,2
2019-09-01,2
2019-09-02,3
2019-09-03,4
2019-09-04,3
2019-09-06,1
2019-09-07,4
2019-09-08,2
2019-09-10,2
2019-09-11,1
2019-09-12,2
2019-09-13,2
2019-09-14,3
2019-09-15,4
2019-09-16,4
2019-09-17,1
2019-09-18,1
2019-09-19,2
2019-09-20,3
2019-09-21,3
2019-09-22,6
2019-09-25,2
2019-09-27,4
2019-09-28,3
2019-09-29,1
2019-09-30,2
2019-10-01,1
2019-10-02,2
2019-10-03,2
2019-10-04,1
2019-10-05,3
2019-10-06,5
2019-10-07,1
2019-10-08,1
2019-10-10,1
2019-10-11,4
2019-10-12,5
2019-10-13,3
2019-10-14,1
2019-10-15,5
2019-10-17,2
2019-10-18,3
2019-10-19,5
2019-10-20,2
2019-10-21,2
2019-10-22,3
2019-10-23,1
2019-10-24,2
2019-10-25,1
2019-10-26,1
2019-10-27,1
2019-10-28,4
2019-10-30,3
2019-11-01,4
2019-11-02,2
2019-11-03,6
2019-11-04,3
2019-11-05,3
2019-11-07,1
2019-11-08,2
2019-11-09,3
2019-11-10,7
2019-11-11,3
2019-11-12,2
2019-11-13,6
2019-11-14,6
2019-11-15,2
2019-11-16,2
2019-11-17,2
2019-11-18,1
2019-11-19,3
2019-11-21,2
2019-11-22,5
2019-11-23,3
2019-11-24,3
2019-11-26,5
2019-11-27,2
2019-11-29,3
2019-11-30,2
2019-12-01,4
2019-12-02,4
2019-12-03,4
2019-12-04,2
2019-12-07,5
2019-12-08,10
2019-12-09,4
2019-12-10,1
2019-12-11,3
2019-12-12,1
2019-12-13,3
2019-12-14,2
2019-12-15,6
2019-12-16,4
2019-12-17,1
2019-12-18,5
2019-12-19,4
2019-12-20,2
2019-12-21,4
2019-12-22,2
2019-12-23,4
2019-12-25,16
2019-12-26,1
2019-12-28,4
2019-12-29,3
2019-12-30,2
2019-12-31,3
2020-01-01,4
2020-01-03,5
2020-01-04,2
2020-01-05,2
2020-01-06,2
2020-01-08,4
2020-01-09,4
2020-01-10,4
2020-01-11,2
2020-01-12,2
2020-01-13,1
2020-01-15,2
2020-01-16,3
2020-01-17,1
2020-01-18,2
2020-01-19,4
2020-01-21,1
2020-01-22,3
2020-01-23,3
2020-01-24,1
2020-01-25,5
2020-01-26,1
2020-01-27,1
2020-01-28,3
2020-01-29,2
2020-01-30,3
2020-02-01,1
2020-02-02,4
2020-02-03,3
2020-02-04,1
2020-02-05,4
2020-02-07,2
2020-02-08,7
