Tiempo,Cantidad
2019-03-22,1
2019-03-23,1
2019-04-01,1
2019-04-03,1
2019-04-07,1
2019-04-13,1
2019-04-19,1
2019-05-01,1
2019-05-17,1
2019-05-25,1
2019-05-27,2
2019-06-02,1
2019-06-09,1
2019-06-16,1
2019-06-18,1
2019-07-01,1
2019-07-05,1
2019-07-11,2
2019-07-20,1
2019-07-21,3
2019-07-24,1
2019-07-31,1
2019-08-02,2
2019-08-04,1
2019-08-11,1
2019-08-19,1
2019-08-20,1
2019-08-23,1
2019-08-24,1
2019-08-27,1
2019-09-01,1
2019-09-07,1
2019-09-11,1
2019-09-13,1
2019-09-19,1
2019-09-20,2
2019-09-27,1
2019-09-28,1
2019-10-02,1
2019-10-04,1
2019-10-06,1
2019-10-11,2
2019-10-21,1
2019-10-23,1
2019-10-24,1
2019-11-01,1
2019-11-02,2
2019-11-03,2
2019-11-04,1
2019-11-05,1
2019-11-07,1
2019-11-21,1
2019-11-22,1
2019-11-26,1
2019-12-02,1
2019-12-07,1
2019-12-10,1
2019-12-18,1
2019-12-25,1
2019-12-29,1
2019-12-31,1
2020-01-09,1
2020-02-02,1
2020-02-10,1
2020-02-15,1
2020-02-17,2
2020-03-01,1
2020-03-05,1
2020-03-07,1
2020-03-11,1
2020-03-13,1
2020-03-15,2
2020-03-16,1
2020-03-18,1
2020-03-31,1
