Tiempo,Cantidad
2019-03-20,1
2019-03-23,1
2019-03-25,4
2019-03-31,1
2019-04-01,1
2019-04-06,1
2019-04-08,2
2019-04-09,1
2019-04-10,1
2019-04-21,2
2019-04-23,1
2019-04-26,1
2019-04-28,1
2019-05-01,2
2019-05-02,2
2019-05-03,1
2019-05-04,1
2019-05-05,3
2019-05-09,1
2019-05-11,1
2019-05-13,1
2019-05-15,1
2019-05-17,1
2019-05-18,1
2019-05-21,1
2019-05-23,1
2019-05-25,1
2019-05-30,1
2019-06-06,1
2019-06-09,2
2019-06-16,1
2019-06-17,2
2019-06-21,1
2019-06-27,1
2019-07-02,1
2019-07-03,1
2019-07-06,1
2019-07-09,1
2019-07-11,1
2019-07-13,1
2019-07-14,1
2019-07-17,1
2019-07-21,1
2019-07-25,1
2019-07-27,1
2019-07-28,1
2019-07-30,1
2019-08-02,2
2019-08-03,1
2019-08-04,1
2019-08-07,1
2019-08-08,1
2019-08-10,1
2019-08-11,1
2019-08-14,1
2019-08-15,1
2019-08-16,1
2019-08-20,2
2019-08-22,1
2019-08-23,1
2019-08-25,1
2019-08-27,1
2019-08-28,1
2019-09-02,2
2019-09-06,1
2019-09-07,1
2019-09-08,1
2019-09-10,2
2019-09-12,1
2019-09-14,1
2019-09-15,1
2019-09-16,1
2019-09-17,1
2019-09-19,1
2019-09-21,1
2019-09-22,2
2019-09-27,2
2019-09-30,1
2019-10-06,2
2019-10-07,1
2019-10-13,1
2019-10-20,1
2019-10-25,1
2019-10-26,1
2019-10-28,1
2019-10-30,1
2019-11-01,1
2019-11-03,3
2019-11-04,1
2019-11-08,1
2019-11-10,4
2019-11-13,2
2019-11-14,3
2019-11-18,1
2019-11-22,2
2019-11-23,1
2019-11-24,1
2019-11-26,3
2019-11-29,1
2019-11-30,1
2019-12-01,1
2019-12-03,1
2019-12-07,1
2019-12-08,2
2019-12-09,1
2019-12-11,1
2019-12-16,1
2019-12-20,1
2019-12-21,1
2019-12-25,2
2019-12-29,1
2019-12-30,1
2020-01-03,2
2020-01-06,2
2020-01-08,3
2020-01-10,1
2020-01-12,1
2020-01-16,2
2020-01-19,1
2020-01-22,2
2020-01-25,1
2020-01-27,1
2020-02-02,1
2020-02-03,2
2020-02-04,1
2020-02-08,4
2020-02-09,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-20,1
2020-02-21,2
2020-02-23,1
2020-02-24,1
2020-02-26,1
2020-02-28,1
2020-02-29,1
2020-03-06,1
2020-03-07,1
2020-03-08,2
2020-03-09,1
2020-03-15,1
2020-04-17,1
2020-04-19,1
