Tiempo,Cantidad
2019-03-18,1
2019-03-20,1
2019-03-27,2
2019-03-30,1
2019-03-31,1
2019-04-07,1
2019-04-08,1
2019-04-15,1
2019-04-26,1
2019-04-27,1
2019-04-28,1
2019-04-30,1
2019-05-02,1
2019-05-03,2
2019-05-06,1
2019-05-09,1
2019-05-10,1
2019-05-12,2
2019-05-13,1
2019-05-15,2
2019-05-21,1
2019-05-25,1
2019-05-26,1
2019-05-27,1
2019-05-29,1
2019-06-02,1
2019-06-12,1
2019-06-16,1
2019-06-19,2
2019-06-22,2
2019-06-27,1
2019-07-01,1
2019-07-17,1
2019-07-19,1
2019-07-25,1
2019-07-29,1
2019-08-04,1
2019-08-07,1
2019-08-10,1
2019-08-12,1
2019-08-13,1
2019-08-15,1
2019-08-16,1
2019-08-18,1
2019-08-27,1
2019-08-28,1
2019-08-31,1
2019-09-01,1
2019-09-03,1
2019-09-07,1
2019-09-12,1
2019-09-14,1
2019-09-16,1
2019-09-28,2
2019-10-05,2
2019-10-18,3
2019-10-19,1
2019-10-21,1
2019-10-22,1
2019-10-28,1
2019-11-04,1
2019-11-05,1
2019-11-10,1
2019-11-12,2
2019-11-13,1
2019-11-14,2
2019-11-19,1
2019-11-22,1
2019-11-23,1
2019-12-02,2
2019-12-04,1
2019-12-07,1
2019-12-08,1
2019-12-09,1
2019-12-13,2
2019-12-15,1
2019-12-21,1
2019-12-23,1
2019-12-25,1
2020-01-01,1
2020-01-03,1
2020-01-05,1
2020-01-09,2
2020-01-10,2
2020-01-13,1
2020-01-15,1
2020-01-18,1
2020-01-25,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-12,2
2020-02-22,2
2020-02-23,3
2020-02-26,1
2020-03-01,1
2020-03-05,1
2020-03-07,1
2020-03-08,1
2020-03-13,1
2020-03-21,1
2020-04-06,1
2020-04-19,1
