Tiempo,Cantidad
2019-03-23,1
2019-03-25,1
2019-03-29,1
2019-04-06,1
2019-04-09,1
2019-04-19,1
2019-04-21,1
2019-04-22,1
2019-04-29,1
2019-04-30,1
2019-05-11,2
2019-05-12,1
2019-05-14,1
2019-05-25,2
2019-06-02,1
2019-06-07,1
2019-06-09,1
2019-06-15,2
2019-06-22,1
2019-07-17,2
2019-08-13,1
2019-08-16,1
2019-08-21,1
2019-08-24,1
2019-08-29,1
2019-10-03,1
2019-10-06,1
2019-10-10,1
2019-10-15,1
2019-11-09,1
2019-11-11,1
2019-11-13,2
2019-11-15,1
2019-11-19,1
2019-11-21,1
2019-11-27,1
2019-12-04,1
2019-12-18,1
2019-12-19,1
2019-12-20,1
2019-12-22,1
2019-12-30,1
2019-12-31,1
2020-01-10,1
2020-01-15,1
2020-01-25,1
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-07,1
2020-02-08,1
2020-02-10,1
2020-02-11,2
2020-02-14,3
2020-02-22,2
2020-02-23,1
2020-03-09,1
2020-03-12,1
2020-03-18,1
2020-03-22,1
