Tiempo,Cantidad
2019-03-20,1
2019-04-02,1
2019-04-09,1
2019-04-12,1
2019-04-15,1
2019-04-16,1
2019-04-19,1
2019-05-21,1
2019-05-22,1
2019-05-23,1
2019-05-31,1
2019-06-12,1
2019-06-16,1
2019-07-06,1
2019-07-24,1
2019-07-28,1
2019-07-29,1
2019-08-09,1
2019-08-10,1
2019-08-11,1
2019-08-17,1
2019-09-20,1
2019-09-21,1
2019-10-03,1
2019-10-22,1
2019-11-01,1
2019-11-29,1
2019-12-03,1
2019-12-08,1
2019-12-15,1
2019-12-16,2
2019-12-21,1
2019-12-22,1
2019-12-25,3
2020-01-03,2
2020-01-04,1
2020-01-05,1
2020-01-08,1
2020-01-18,1
2020-01-25,1
2020-01-26,1
2020-01-28,3
2020-01-29,1
2020-02-05,2
2020-02-09,1
2020-02-15,1
2020-02-18,1
2020-02-29,1
2020-03-06,3
2020-03-14,1
