Tiempo,Cantidad
2019-03-24,1
2019-05-15,1
2019-05-26,1
2019-06-07,1
2019-06-19,1
2019-06-23,1
2019-07-19,1
2019-07-20,1
2019-07-25,1
2019-07-28,1
2019-07-30,1
2019-08-05,1
2019-08-07,1
2019-08-13,1
2019-08-16,1
2019-09-22,1
2019-10-12,1
2019-10-13,1
2019-10-20,1
2019-11-01,1
2019-11-09,1
2019-11-23,1
2019-11-24,1
2019-12-01,1
2019-12-08,1
2019-12-14,1
2019-12-18,1
2019-12-25,2
2019-12-28,1
2020-01-01,1
2020-01-09,1
2020-01-11,1
2020-01-19,1
2020-01-23,2
2020-02-02,1
2020-02-08,1
2020-02-12,1
2020-03-08,1
2020-03-10,1
