Tiempo,Cantidad
2019-03-28,1
2019-04-01,1
2019-04-02,1
2019-04-06,1
2019-04-12,1
2019-04-14,1
2019-04-22,1
2019-04-29,1
2019-05-01,1
2019-05-02,2
2019-05-05,3
2019-05-19,1
2019-05-21,1
2019-05-25,1
2019-06-02,1
2019-06-05,1
2019-06-06,1
2019-06-08,1
2019-06-14,2
2019-06-17,1
2019-06-21,2
2019-07-04,1
2019-07-15,1
2019-07-19,1
2019-07-28,1
2019-07-29,1
2019-08-06,2
2019-08-08,1
2019-08-11,1
2019-08-14,1
2019-08-19,1
2019-08-26,1
2019-08-27,1
2019-09-03,1
2019-09-07,1
2019-09-14,1
2019-09-15,1
2019-09-16,1
2019-09-18,1
2019-09-27,1
2019-09-30,1
2019-10-11,1
2019-10-12,3
2019-10-22,1
2019-10-24,1
2019-10-30,1
2019-11-22,1
2019-11-24,1
2019-12-16,1
2019-12-19,1
2019-12-21,1
2019-12-23,1
2019-12-25,2
2019-12-31,1
2020-01-01,1
2020-01-19,1
2020-01-23,1
2020-01-24,1
2020-02-15,1
2020-02-16,1
2020-02-21,1
2020-02-26,1
2020-03-08,1
2020-03-11,1
2020-03-15,1
2020-03-16,1
2020-03-22,1
2020-03-31,1
2020-04-06,1
2020-04-07,1
2020-04-15,1
2020-04-18,1
2020-04-20,1
