Tiempo,Cantidad
2019-03-20,1
2019-03-25,1
2019-03-26,1
2019-04-06,1
2019-04-22,2
2019-04-26,1
2019-04-27,1
2019-05-01,1
2019-05-11,1
2019-05-19,1
2019-05-25,1
2019-05-27,2
2019-05-28,1
2019-06-07,1
2019-06-18,1
2019-06-23,1
2019-07-03,1
2019-07-07,1
2019-07-08,1
2019-07-11,1
2019-07-22,1
2019-08-07,1
2019-08-09,2
2019-08-11,1
2019-08-12,1
2019-08-18,4
2019-08-19,1
2019-08-22,1
2019-08-23,1
2019-08-26,1
2019-09-02,1
2019-09-04,1
2019-09-08,1
2019-10-06,1
2019-10-13,1
2019-10-15,2
2019-11-05,1
2019-11-13,1
2019-11-14,1
2019-11-30,1
2019-12-03,1
2019-12-08,2
2019-12-15,1
2019-12-25,1
2019-12-28,1
2019-12-29,1
2020-01-19,1
2020-01-22,1
2020-02-21,1
2020-02-26,1
2020-02-28,1
2020-03-08,1
2020-03-14,1
2020-03-22,1
2020-03-26,1
2020-04-06,1
