Tiempo,Cantidad
2019-03-19,9
2019-03-20,2
2019-03-21,6
2019-03-22,4
2019-03-23,1
2019-03-24,1
2019-03-25,4
2019-03-26,1
2019-03-27,6
2019-03-28,3
2019-03-29,1
2019-03-30,4
2019-03-31,2
2019-04-01,4
2019-04-02,2
2019-04-03,2
2019-04-04,3
2019-04-05,5
2019-04-06,7
2019-04-07,1
2019-04-08,11
2019-04-09,3
2019-04-10,3
2019-04-11,5
2019-04-12,5
2019-04-13,4
2019-04-14,1
2019-04-15,2
2019-04-16,3
2019-04-17,3
2019-04-18,3
2019-04-20,2
2019-04-21,2
2019-04-22,2
2019-04-23,5
2019-04-24,7
2019-04-25,3
2019-04-26,2
2019-04-27,4
2019-04-28,2
2019-04-29,3
2019-04-30,6
2019-05-01,1
2019-05-02,4
2019-05-03,9
2019-05-04,3
2019-05-06,2
2019-05-07,7
2019-05-08,3
2019-05-09,9
2019-05-10,5
2019-05-11,3
2019-05-12,2
2019-05-13,7
2019-05-14,1
2019-05-15,5
2019-05-16,6
2019-05-17,4
2019-05-18,2
2019-05-19,3
2019-05-20,3
2019-05-21,6
2019-05-22,4
2019-05-23,3
2019-05-24,3
2019-05-25,3
2019-05-26,2
2019-05-27,5
2019-05-28,2
2019-05-29,2
2019-05-30,3
2019-05-31,1
2019-06-01,3
2019-06-02,5
2019-06-04,3
2019-06-06,1
2019-06-07,4
2019-06-08,4
2019-06-09,1
2019-06-10,3
2019-06-11,3
2019-06-12,4
2019-06-13,1
2019-06-14,5
2019-06-15,3
2019-06-16,2
2019-06-18,3
2019-06-19,3
2019-06-20,3
2019-06-22,3
2019-06-25,5
2019-06-26,4
2019-06-27,3
2019-06-28,2
2019-06-30,1
2019-07-01,1
2019-07-02,2
2019-07-03,3
2019-07-04,4
2019-07-05,6
2019-07-06,6
2019-07-07,8
2019-07-08,1
2019-07-09,4
2019-07-10,2
2019-07-11,6
2019-07-12,1
2019-07-13,3
2019-07-15,4
2019-07-16,6
2019-07-17,4
2019-07-18,4
2019-07-19,6
2019-07-20,2
2019-07-21,1
2019-07-22,3
2019-07-23,4
2019-07-24,7
2019-07-25,4
2019-07-26,5
2019-07-27,1
2019-07-28,2
2019-07-29,1
2019-07-30,2
2019-07-31,5
2019-08-01,3
2019-08-02,6
2019-08-03,2
2019-08-04,1
2019-08-05,3
2019-08-06,6
2019-08-07,3
2019-08-08,1
2019-08-09,3
2019-08-10,3
