Tiempo,Cantidad
2019-03-20,2
2019-03-24,1
2019-03-27,2
2019-03-28,2
2019-03-29,3
2019-04-01,2
2019-04-03,2
2019-04-05,2
2019-04-07,1
2019-04-08,3
2019-04-09,1
2019-04-11,2
2019-04-12,1
2019-04-13,1
2019-04-16,2
2019-04-17,2
2019-04-18,1
2019-04-21,2
2019-04-22,1
2019-04-23,1
2019-04-24,3
2019-04-25,3
2019-04-26,4
2019-04-27,2
2019-04-30,1
2019-05-01,1
2019-05-03,3
2019-05-04,1
2019-05-05,1
2019-05-06,1
2019-05-07,2
2019-05-08,2
2019-05-09,1
2019-05-10,2
2019-05-13,2
2019-05-14,1
2019-05-17,1
2019-05-20,3
2019-05-24,3
2019-05-25,2
2019-05-26,1
2019-05-27,1
2019-05-29,1
2019-05-30,1
2019-05-31,1
2019-06-02,2
2019-06-03,2
2019-06-04,1
2019-06-05,2
2019-06-07,1
2019-06-10,2
2019-06-11,2
2019-06-12,1
2019-06-14,3
2019-06-18,2
2019-06-19,1
2019-06-20,3
2019-06-25,3
2019-06-27,1
2019-06-28,1
2019-06-30,3
2019-07-02,1
2019-07-03,1
2019-07-06,1
2019-07-07,1
2019-07-09,1
2019-07-10,3
2019-07-12,1
2019-07-13,1
2019-07-15,3
2019-07-16,1
2019-07-18,1
2019-07-19,1
2019-07-22,1
2019-07-24,1
2019-07-25,2
2019-07-26,1
2019-08-02,1
2019-08-03,1
2019-08-06,2
2019-08-07,1
2019-08-08,1
2019-08-09,1
2019-08-11,1
2019-08-15,2
2019-08-16,2
2019-08-17,1
2019-08-19,2
2019-08-22,1
2019-08-23,1
2019-08-28,1
2019-08-30,2
2019-08-31,1
2019-09-04,1
2019-09-06,2
2019-09-09,1
2019-09-10,1
2019-09-11,1
2019-09-12,1
2019-09-13,1
2019-09-15,1
2019-09-16,2
2019-09-17,1
2019-09-18,1
2019-09-20,1
2019-09-23,1
2019-09-24,1
2019-09-25,1
2019-09-27,1
2019-10-01,1
2019-10-03,1
2019-10-08,3
2019-10-11,2
2019-10-15,1
2019-10-16,2
2019-10-17,1
2019-10-18,3
2019-10-21,1
2019-10-23,4
2019-10-24,3
2019-10-25,1
2019-10-27,1
2019-10-28,1
2019-10-29,1
2019-10-30,2
2019-11-01,3
2019-11-03,1
2019-11-05,1
2019-11-06,1
2019-11-07,1
2019-11-08,1
2019-11-10,1
2019-11-11,2
2019-11-12,1
2019-11-13,1
2019-11-14,1
2019-11-16,1
2019-11-18,1
2019-11-19,2
2019-11-20,1
2019-11-21,4
2019-11-22,2
2019-11-24,2
2019-11-25,1
2019-11-26,1
2019-11-27,3
2019-11-29,1
2019-11-30,3
2019-12-02,2
2019-12-03,2
2019-12-04,2
2019-12-06,2
2019-12-08,1
2019-12-10,1
2019-12-11,3
2019-12-12,1
2019-12-13,1
2019-12-14,1
2019-12-15,1
2019-12-17,1
2019-12-19,1
2019-12-20,3
2019-12-22,1
2019-12-24,3
2019-12-26,1
2019-12-28,2
2019-12-30,1
2019-12-31,1
2020-01-01,1
2020-01-02,1
2020-01-04,1
2020-01-05,1
2020-01-07,2
2020-01-08,1
2020-01-09,3
2020-01-10,2
2020-01-16,1
2020-01-17,1
2020-01-18,1
2020-01-20,1
2020-01-23,1
2020-01-24,3
2020-01-27,1
2020-01-28,2
2020-01-29,1
2020-01-30,1
2020-01-31,1
2020-02-02,2
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-08,3
2020-02-09,1
2020-02-11,1
2020-02-12,1
2020-02-23,1
2020-02-26,3
2020-02-28,2
2020-02-29,2
2020-03-01,2
2020-03-04,1
2020-03-08,1
2020-03-09,2
2020-03-11,1
2020-03-13,1
2020-03-16,1
2020-03-17,1
2020-03-24,3
2020-03-28,1
