Tiempo,Cantidad
2019-03-18,4
2019-03-19,2
2019-03-20,6
2019-03-21,5
2019-03-22,12
2019-03-23,5
2019-03-24,4
2019-03-25,9
2019-03-26,3
2019-03-27,4
2019-03-28,12
2019-03-29,10
2019-03-30,11
2019-03-31,10
2019-04-01,4
2019-04-02,3
2019-04-03,2
2019-04-04,6
2019-04-05,7
2019-04-06,9
2019-04-07,6
2019-04-08,6
2019-04-09,6
2019-04-10,4
2019-04-11,10
2019-04-12,9
2019-04-13,2
2019-04-14,8
2019-04-15,4
2019-04-16,4
2019-04-17,3
2019-04-18,4
2019-04-19,1
2019-04-20,1
2019-04-21,2
2019-04-22,7
2019-04-23,8
2019-04-24,6
2019-04-25,9
2019-04-26,9
2019-04-27,10
2019-04-28,8
2019-04-29,8
2019-04-30,10
2019-05-01,4
2019-05-02,4
2019-05-03,18
2019-05-04,8
2019-05-05,4
2019-05-06,8
2019-05-07,4
2019-05-08,6
2019-05-09,6
2019-05-10,7
2019-05-11,9
2019-05-12,5
2019-05-13,5
2019-05-14,4
2019-05-15,12
2019-05-16,6
2019-05-17,10
2019-05-18,8
2019-05-19,8
2019-05-20,8
2019-05-21,10
2019-05-22,2
2019-05-23,5
2019-05-24,9
2019-05-25,7
2019-05-26,7
2019-05-27,11
2019-05-28,5
2019-05-29,7
2019-05-30,10
2019-05-31,6
2019-06-01,8
2019-06-02,10
2019-06-03,3
2019-06-04,4
2019-06-05,7
2019-06-06,7
2019-06-07,8
2019-06-08,6
2019-06-09,1
2019-06-10,4
2019-06-11,7
2019-06-12,7
2019-06-13,2
2019-06-14,6
2019-06-15,9
2019-06-16,4
2019-06-17,5
2019-06-18,4
2019-06-19,6
2019-06-20,2
2019-06-21,4
2019-06-22,3
2019-06-23,5
2019-06-24,4
2019-06-25,3
2019-06-26,6
2019-06-27,1
2019-06-28,9
2019-06-29,7
2019-06-30,3
2019-07-01,3
2019-07-02,6
2019-07-03,11
2019-07-04,9
2019-07-05,8
2019-07-06,5
2019-07-07,5
2019-07-08,2
2019-07-09,2
2019-07-10,4
2019-07-11,6
2019-07-12,8
2019-07-13,6
2019-07-14,6
2019-07-15,4
2019-07-16,3
2019-07-17,4
2019-07-18,2
2019-07-19,6
2019-07-20,4
2019-07-21,1
2019-07-22,2
2019-07-23,3
2019-07-24,4
2019-07-25,5
2019-07-26,5
2019-07-27,7
2019-07-28,8
2019-07-29,1
2019-07-30,1
2019-07-31,7
2019-08-01,5
2019-08-02,12
2019-08-03,7
2019-08-04,5
2019-08-05,7
2019-08-06,7
2019-08-07,4
2019-08-08,8
2019-08-09,8
2019-08-10,10
2019-08-11,6
2019-08-12,8
2019-08-13,6
2019-08-14,9
2019-08-15,4
2019-08-16,8
2019-08-17,8
2019-08-18,4
2019-08-19,4
2019-08-20,7
2019-08-21,8
2019-08-22,2
2019-08-23,6
2019-08-24,12
2019-08-25,6
2019-08-26,4
2019-08-27,9
2019-08-28,1
2019-08-29,9
2019-08-30,7
2019-08-31,7
2019-09-01,10
2019-09-02,7
2019-09-03,5
2019-09-04,6
2019-09-05,10
2019-09-06,12
2019-09-07,9
2019-09-08,8
2019-09-09,5
2019-09-10,7
2019-09-11,7
2019-09-12,6
2019-09-13,5
2019-09-14,12
2019-09-15,9
2019-09-16,3
2019-09-17,7
2019-09-18,4
2019-09-19,6
2019-09-20,12
2019-09-21,3
2019-09-22,3
2019-09-23,6
2019-09-24,3
2019-09-25,10
2019-09-26,13
2019-09-27,8
2019-09-28,10
2019-09-29,3
2019-09-30,6
2019-10-01,4
2019-10-02,9
2019-10-03,7
2019-10-04,11
2019-10-05,4
2019-10-06,4
2019-10-07,4
2019-10-08,6
2019-10-09,5
2019-10-10,5
2019-10-11,10
2019-10-12,8
2019-10-13,2
2019-10-14,3
2019-10-15,7
2019-10-16,7
2019-10-17,6
2019-10-18,7
2019-10-19,6
2019-10-20,5
2019-10-21,2
2019-10-22,6
2019-10-23,13
2019-10-24,5
2019-10-25,7
2019-10-26,12
2019-10-27,1
2019-10-28,5
2019-10-29,6
2019-10-30,3
2019-10-31,11
2019-11-01,11
2019-11-02,7
2019-11-03,9
2019-11-04,6
2019-11-05,6
2019-11-06,4
2019-11-07,6
2019-11-08,4
2019-11-09,8
2019-11-10,10
2019-11-11,4
2019-11-12,5
2019-11-13,5
2019-11-14,7
2019-11-15,6
2019-11-16,6
2019-11-17,7
2019-11-18,6
2019-11-19,5
2019-11-20,8
2019-11-21,2
2019-11-22,4
2019-11-23,2
2019-11-24,4
2019-11-25,6
2019-11-26,3
2019-11-27,10
2019-11-28,5
2019-11-29,12
2019-11-30,19
2019-12-01,13
2019-12-02,2
2019-12-03,3
2019-12-04,7
2019-12-05,11
2019-12-06,2
2019-12-07,3
2019-12-08,4
2019-12-09,5
2019-12-10,4
2019-12-11,3
2019-12-12,4
2019-12-13,15
2019-12-14,8
2019-12-15,7
2019-12-16,2
2019-12-17,5
2019-12-18,7
2019-12-19,5
2019-12-20,9
2019-12-21,10
2019-12-22,8
2019-12-23,5
2019-12-24,3
2019-12-25,5
2019-12-26,1
2019-12-27,7
2019-12-28,6
2019-12-29,4
2019-12-30,12
2019-12-31,6
2020-01-01,1
2020-01-02,5
2020-01-03,4
2020-01-04,7
2020-01-05,6
2020-01-06,3
2020-01-07,8
2020-01-08,9
2020-01-09,8
2020-01-10,9
2020-01-11,5
2020-01-12,4
2020-01-13,6
2020-01-14,7
2020-01-15,11
2020-01-16,8
2020-01-17,8
2020-01-18,8
2020-01-19,3
2020-01-20,6
2020-01-21,1
2020-01-22,2
2020-01-23,3
2020-01-24,8
2020-01-25,6
2020-01-26,3
2020-01-27,8
2020-01-28,4
2020-01-29,4
2020-01-30,2
2020-01-31,2
2020-02-01,10
2020-02-02,9
2020-02-03,2
2020-02-04,5
2020-02-05,4
2020-02-06,5
2020-02-07,7
2020-02-08,8
2020-02-09,4
2020-02-10,7
2020-02-11,7
2020-02-12,2
2020-02-13,8
2020-02-14,7
2020-02-15,7
2020-02-16,7
2020-02-18,4
2020-02-19,1
2020-02-20,6
2020-02-21,4
2020-02-22,5
2020-02-23,6
2020-02-24,4
2020-02-25,2
2020-02-26,4
2020-02-27,1
2020-02-28,8
2020-02-29,6
2020-03-01,4
2020-03-02,5
2020-03-03,7
2020-03-04,6
2020-03-05,4
2020-03-06,10
2020-03-07,12
2020-03-08,7
2020-03-09,6
2020-03-10,3
2020-03-11,2
2020-03-12,1
2020-03-13,3
2020-03-14,9
2020-03-15,7
2020-03-17,4
2020-03-18,5
2020-03-19,3
2020-03-20,2
2020-03-24,2
2020-03-27,3
2020-03-29,1
2020-04-01,1
2020-04-02,1
2020-04-06,1
2020-04-12,1
2020-04-13,1
2020-04-17,1
2020-04-18,3
