Tiempo,Cantidad
2019-03-18,5
2019-03-19,4
2019-03-20,7
2019-03-21,11
2019-03-22,7
2019-03-23,2
2019-03-24,4
2019-03-25,3
2019-03-26,6
2019-03-27,5
2019-03-28,4
2019-03-29,6
2019-03-30,4
2019-03-31,5
2019-04-01,6
2019-04-02,6
2019-04-03,3
2019-04-04,3
2019-04-05,3
2019-04-06,4
2019-04-07,6
2019-04-08,1
2019-04-09,6
2019-04-10,4
2019-04-11,5
2019-04-12,5
2019-04-13,8
2019-04-14,3
2019-04-15,6
2019-04-16,6
2019-04-17,3
2019-04-18,2
2019-04-20,2
2019-04-21,1
2019-04-22,5
2019-04-23,6
2019-04-24,9
2019-04-25,6
2019-04-26,5
2019-04-27,5
2019-04-28,5
2019-04-29,5
2019-04-30,7
2019-05-01,3
2019-05-02,7
2019-05-04,4
2019-05-05,2
2019-05-06,10
2019-05-07,4
2019-05-08,9
2019-05-09,10
2019-05-10,2
2019-05-11,4
2019-05-12,3
2019-05-13,7
2019-05-14,5
2019-05-15,2
2019-05-16,7
2019-05-17,10
2019-05-18,3
2019-05-19,8
2019-05-20,2
2019-05-21,4
2019-05-22,3
2019-05-23,5
2019-05-24,8
2019-05-25,9
2019-05-26,1
2019-05-27,1
2019-05-28,3
2019-05-29,5
2019-05-30,2
2019-05-31,10
2019-06-01,6
2019-06-02,3
2019-06-03,3
2019-06-04,7
2019-06-05,2
2019-06-06,4
2019-06-07,7
2019-06-08,3
2019-06-10,5
2019-06-11,2
2019-06-12,4
2019-06-13,11
2019-06-14,2
2019-06-15,8
2019-06-16,4
2019-06-17,6
2019-06-18,7
2019-06-19,4
2019-06-20,7
2019-06-21,3
2019-06-22,3
2019-06-23,4
2019-06-24,2
2019-06-25,6
2019-06-26,10
2019-06-27,3
2019-06-28,2
2019-06-29,6
2019-06-30,2
2019-07-01,1
2019-07-02,9
2019-07-03,4
2019-07-04,7
2019-07-05,3
2019-07-06,1
2019-07-07,2
2019-07-09,3
2019-07-10,5
2019-07-11,5
2019-07-12,6
2019-07-13,4
2019-07-15,2
2019-07-16,2
2019-07-17,3
2019-07-18,1
2019-07-19,4
2019-07-20,1
2019-07-22,5
2019-07-23,6
2019-07-24,5
2019-07-25,4
2019-07-26,4
2019-07-27,6
2019-07-28,5
2019-07-29,6
2019-07-30,1
2019-07-31,5
2019-08-01,2
2019-08-02,8
2019-08-03,3
2019-08-04,2
2019-08-05,2
2019-08-06,2
2019-08-07,2
2019-08-08,2
2019-08-09,9
2019-08-10,5
2019-08-11,2
2019-08-12,7
2019-08-13,3
2019-08-14,5
2019-08-15,4
2019-08-16,3
2019-08-17,6
2019-08-18,1
2019-08-19,4
2019-08-20,4
2019-08-21,2
2019-08-22,2
2019-08-23,8
2019-08-24,2
2019-08-25,2
2019-08-26,4
2019-08-27,1
2019-08-28,3
2019-08-29,5
2019-08-30,8
2019-08-31,4
2019-09-01,4
2019-09-02,8
2019-09-03,1
2019-09-04,3
2019-09-05,3
2019-09-06,4
2019-09-07,7
2019-09-09,4
2019-09-10,3
2019-09-11,3
2019-09-12,8
2019-09-13,13
2019-09-14,8
2019-09-15,1
2019-09-16,8
2019-09-17,7
2019-09-18,4
2019-09-19,1
2019-09-20,5
2019-09-21,6
2019-09-22,3
2019-09-23,4
2019-09-24,3
2019-09-25,7
2019-09-26,9
2019-09-27,6
2019-09-28,6
2019-09-29,1
2019-09-30,4
2019-10-01,6
2019-10-02,5
2019-10-03,6
2019-10-04,3
2019-10-05,7
2019-10-06,6
2019-10-07,3
2019-10-08,6
2019-10-09,6
2019-10-10,9
2019-10-11,5
2019-10-12,7
2019-10-13,1
2019-10-14,3
2019-10-15,8
2019-10-16,8
2019-10-17,2
2019-10-18,5
2019-10-19,6
2019-10-20,2
2019-10-21,3
2019-10-22,1
2019-10-23,4
2019-10-24,3
2019-10-25,5
2019-10-26,4
2019-10-27,3
2019-10-28,8
2019-10-29,6
2019-10-30,5
2019-10-31,9
2019-11-01,8
2019-11-02,4
2019-11-03,3
2019-11-04,5
2019-11-05,4
2019-11-06,1
2019-11-07,7
2019-11-08,6
2019-11-09,5
2019-11-10,3
2019-11-11,5
2019-11-12,5
2019-11-13,5
2019-11-14,6
2019-11-15,5
2019-11-16,2
2019-11-17,5
2019-11-18,5
2019-11-19,5
2019-11-20,8
2019-11-21,3
2019-11-22,5
2019-11-23,4
2019-11-24,4
2019-11-26,8
2019-11-27,2
2019-11-28,4
2019-11-29,4
2019-11-30,9
2019-12-01,1
2019-12-02,7
2019-12-03,8
2019-12-04,7
2019-12-05,11
2019-12-06,4
2019-12-07,4
2019-12-08,4
2019-12-09,4
2019-12-10,6
2019-12-11,7
2019-12-12,4
2019-12-13,5
2019-12-14,3
2019-12-15,4
2019-12-16,5
2019-12-17,4
2019-12-18,4
2019-12-19,8
2019-12-20,3
2019-12-21,9
2019-12-22,5
2019-12-23,4
2019-12-24,5
2019-12-25,3
2019-12-26,2
2019-12-27,6
2019-12-28,11
2019-12-29,2
2019-12-30,7
2019-12-31,5
2020-01-01,6
2020-01-02,4
2020-01-03,1
2020-01-04,8
2020-01-05,4
2020-01-06,8
2020-01-07,7
2020-01-08,8
2020-01-09,5
2020-01-10,4
2020-01-11,1
2020-01-12,4
2020-01-13,6
2020-01-14,4
2020-01-15,4
2020-01-16,4
2020-01-17,1
2020-01-18,3
2020-01-19,1
2020-01-20,9
2020-01-21,5
2020-01-22,4
2020-01-23,5
2020-01-24,14
2020-01-25,3
2020-01-26,4
2020-01-27,3
2020-01-28,6
2020-01-29,2
2020-01-30,3
2020-01-31,7
2020-02-01,7
2020-02-02,6
2020-02-03,9
2020-02-04,6
2020-02-05,6
2020-02-06,3
2020-02-07,6
2020-02-08,5
2020-02-09,2
2020-02-10,10
2020-02-11,3
2020-02-12,6
2020-02-13,4
2020-02-14,6
2020-02-15,5
2020-02-16,2
2020-02-17,3
2020-02-18,1
2020-02-19,7
2020-02-20,3
2020-02-21,4
2020-02-22,2
2020-02-23,2
2020-02-24,7
2020-02-25,2
2020-02-26,2
2020-02-27,5
2020-02-28,7
2020-02-29,7
2020-03-01,4
2020-03-02,2
2020-03-03,9
2020-03-04,1
2020-03-05,5
2020-03-06,6
2020-03-07,3
2020-03-08,1
2020-03-09,2
2020-03-10,6
2020-03-11,5
2020-03-12,4
2020-03-13,6
2020-03-14,3
2020-03-15,4
2020-03-16,1
2020-03-17,3
2020-03-18,2
2020-03-19,3
2020-03-21,2
2020-03-22,3
2020-03-23,1
2020-03-24,4
2020-03-25,2
2020-03-26,3
2020-03-27,2
2020-03-28,3
2020-03-29,2
2020-03-30,1
2020-03-31,2
2020-04-01,3
2020-04-02,2
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,2
2020-04-07,1
2020-04-08,2
2020-04-10,2
2020-04-11,2
2020-04-12,1
2020-04-13,1
2020-04-14,1
2020-04-15,3
2020-04-16,3
2020-04-17,5
2020-04-18,3
2020-04-19,3
2020-04-20,6
