Tiempo,Cantidad
2019-03-18,4
2019-03-19,9
2019-03-20,12
2019-03-21,13
2019-03-22,8
2019-03-23,9
2019-03-24,7
2019-03-25,7
2019-03-26,7
2019-03-27,10
2019-03-28,12
2019-03-29,14
2019-03-30,15
2019-03-31,10
2019-04-01,12
2019-04-02,12
2019-04-03,13
2019-04-04,12
2019-04-05,13
2019-04-06,13
2019-04-07,7
2019-04-08,10
2019-04-09,6
2019-04-10,12
2019-04-11,13
2019-04-12,21
2019-04-13,10
2019-04-14,7
2019-04-15,13
2019-04-16,10
2019-04-17,7
2019-04-18,2
2019-04-19,8
2019-04-20,8
2019-04-21,2
2019-04-22,8
2019-04-23,10
2019-04-24,12
2019-04-25,8
2019-04-26,15
2019-04-27,10
2019-04-28,7
2019-04-29,14
2019-04-30,7
2019-05-01,5
2019-05-02,12
2019-05-03,11
2019-05-04,10
2019-05-05,7
2019-05-06,13
2019-05-07,11
2019-05-08,17
2019-05-09,4
2019-05-10,9
2019-05-11,7
2019-05-12,3
2019-05-13,6
2019-05-14,5
2019-05-15,12
2019-05-16,10
2019-05-17,20
2019-05-18,8
2019-05-19,10
2019-05-20,11
2019-05-21,10
2019-05-22,10
2019-05-23,5
2019-05-24,7
2019-05-25,8
2019-05-26,7
2019-05-27,7
2019-05-28,5
2019-05-29,7
2019-05-30,9
2019-05-31,13
2019-06-01,6
2019-06-02,5
2019-06-03,4
2019-06-04,12
2019-06-05,8
2019-06-06,10
2019-06-07,13
2019-06-08,11
2019-06-09,2
2019-06-10,10
2019-06-11,4
2019-06-12,17
2019-06-13,6
2019-06-14,7
2019-06-15,16
2019-06-16,8
2019-06-17,8
2019-06-18,7
2019-06-19,8
2019-06-20,6
2019-06-21,16
2019-06-22,12
2019-06-23,4
2019-06-24,7
2019-06-25,8
2019-06-26,8
2019-06-27,8
2019-06-28,12
2019-06-29,6
2019-06-30,8
2019-07-01,11
2019-07-02,11
2019-07-03,13
2019-07-04,11
2019-07-05,10
2019-07-06,9
2019-07-07,6
2019-07-08,12
2019-07-09,7
2019-07-10,8
2019-07-11,7
2019-07-12,12
2019-07-13,11
2019-07-14,10
2019-07-15,10
2019-07-16,11
2019-07-17,6
2019-07-18,12
2019-07-19,12
2019-07-20,8
2019-07-21,5
2019-07-22,3
2019-07-23,8
2019-07-24,8
2019-07-25,8
2019-07-26,11
2019-07-27,10
2019-07-28,4
2019-07-29,3
2019-07-30,12
2019-07-31,8
2019-08-01,9
2019-08-02,10
2019-08-03,6
2019-08-04,5
2019-08-05,9
2019-08-06,4
2019-08-07,8
2019-08-08,11
2019-08-09,10
2019-08-10,12
2019-08-11,5
2019-08-12,16
2019-08-13,5
2019-08-14,12
2019-08-15,7
2019-08-16,15
2019-08-17,8
2019-08-18,7
2019-08-19,5
2019-08-20,10
2019-08-21,10
2019-08-22,7
2019-08-23,17
2019-08-24,4
2019-08-25,10
2019-08-26,10
2019-08-27,11
2019-08-28,12
2019-08-29,7
2019-08-30,18
2019-08-31,14
2019-09-01,5
2019-09-02,11
2019-09-03,13
2019-09-04,9
2019-09-05,12
2019-09-06,10
2019-09-07,9
2019-09-08,2
2019-09-09,7
2019-09-10,8
2019-09-11,12
2019-09-12,14
2019-09-13,5
2019-09-14,12
2019-09-15,7
2019-09-16,8
2019-09-17,11
2019-09-18,10
2019-09-19,6
2019-09-20,26
2019-09-21,16
2019-09-22,6
2019-09-23,10
2019-09-24,10
2019-09-25,10
2019-09-26,6
2019-09-27,13
2019-09-28,13
2019-09-29,8
2019-09-30,11
2019-10-01,15
2019-10-02,17
2019-10-03,7
2019-10-04,12
2019-10-05,12
2019-10-06,7
2019-10-07,6
