Tiempo,Cantidad
2019-03-18,3
2019-03-19,2
2019-03-20,7
2019-03-21,2
2019-03-22,1
2019-03-23,1
2019-03-24,2
2019-03-26,4
2019-03-28,5
2019-03-29,7
2019-03-30,3
2019-04-01,2
2019-04-02,4
2019-04-03,3
2019-04-04,1
2019-04-05,4
2019-04-06,3
2019-04-07,1
2019-04-08,2
2019-04-09,3
2019-04-10,2
2019-04-11,5
2019-04-12,2
2019-04-13,2
2019-04-15,1
2019-04-16,2
2019-04-17,2
2019-04-18,2
2019-04-19,2
2019-04-21,2
2019-04-22,4
2019-04-23,1
2019-04-24,5
2019-04-25,2
2019-04-26,2
2019-04-27,3
2019-04-28,2
2019-04-29,3
2019-04-30,3
2019-05-01,2
2019-05-02,2
2019-05-03,4
2019-05-04,4
2019-05-05,1
2019-05-06,1
2019-05-07,1
2019-05-08,5
2019-05-09,3
2019-05-10,6
2019-05-11,2
2019-05-12,1
2019-05-13,3
2019-05-14,5
2019-05-15,5
2019-05-16,6
2019-05-17,3
2019-05-18,5
2019-05-19,4
2019-05-20,6
2019-05-21,3
2019-05-22,3
2019-05-23,4
2019-05-25,5
2019-05-26,6
2019-05-27,2
2019-05-28,9
2019-05-29,3
2019-05-30,1
2019-05-31,1
2019-06-01,1
2019-06-02,2
2019-06-04,2
2019-06-05,5
2019-06-06,1
2019-06-07,3
2019-06-08,2
2019-06-09,4
2019-06-10,5
2019-06-11,4
2019-06-12,2
2019-06-13,4
2019-06-14,1
2019-06-15,3
2019-06-16,2
2019-06-17,2
2019-06-18,4
2019-06-19,2
2019-06-20,2
2019-06-21,5
2019-06-22,5
2019-06-23,3
2019-06-25,2
2019-06-27,1
2019-06-28,3
2019-06-29,5
2019-06-30,4
2019-07-01,3
2019-07-02,6
2019-07-03,5
2019-07-04,2
2019-07-05,1
2019-07-06,2
2019-07-07,3
2019-07-08,1
2019-07-09,3
2019-07-10,6
2019-07-11,2
2019-07-12,5
2019-07-13,1
2019-07-14,1
2019-07-15,5
2019-07-16,5
2019-07-17,4
2019-07-18,6
2019-07-19,2
2019-07-20,5
2019-07-21,5
2019-07-22,3
2019-07-23,8
2019-07-24,1
2019-07-25,5
2019-07-26,3
2019-07-27,3
2019-07-28,2
2019-07-29,1
