Tiempo,Cantidad
2019-03-18,3
2019-03-19,5
2019-03-20,4
2019-03-21,4
2019-03-22,2
2019-03-23,3
2019-03-25,4
2019-03-26,6
2019-03-27,4
2019-03-28,4
2019-03-29,11
2019-03-30,9
2019-03-31,2
2019-04-01,8
2019-04-02,5
2019-04-03,5
2019-04-04,7
2019-04-05,7
2019-04-06,5
2019-04-08,7
2019-04-09,4
2019-04-10,4
2019-04-11,1
2019-04-12,5
2019-04-13,4
2019-04-14,4
2019-04-15,3
2019-04-16,2
2019-04-17,6
2019-04-19,1
2019-04-20,2
2019-04-22,8
2019-04-23,9
2019-04-24,6
2019-04-25,4
2019-04-26,9
2019-04-27,11
2019-04-28,2
2019-04-29,4
2019-04-30,4
2019-05-01,5
2019-05-02,5
2019-05-03,8
2019-05-04,3
2019-05-05,7
2019-05-06,1
2019-05-07,3
2019-05-08,8
2019-05-09,4
2019-05-10,6
2019-05-11,5
2019-05-12,3
2019-05-13,7
2019-05-14,4
2019-05-15,2
2019-05-16,5
2019-05-17,7
2019-05-18,2
2019-05-19,3
2019-05-20,5
2019-05-21,4
2019-05-22,7
2019-05-23,11
2019-05-24,2
2019-05-25,4
2019-05-26,2
2019-05-27,8
2019-05-28,3
2019-05-29,11
2019-05-30,6
2019-05-31,3
2019-06-01,3
2019-06-02,3
2019-06-03,2
2019-06-04,14
2019-06-05,3
2019-06-06,6
2019-06-07,10
2019-06-08,4
2019-06-09,2
2019-06-10,9
2019-06-11,10
2019-06-12,7
2019-06-13,11
2019-06-14,6
2019-06-15,5
2019-06-16,7
2019-06-17,5
2019-06-18,4
2019-06-19,3
2019-06-20,2
2019-06-21,4
2019-06-22,8
2019-06-23,3
2019-06-24,2
2019-06-25,6
2019-06-26,5
2019-06-27,6
2019-06-28,3
2019-06-29,4
2019-06-30,4
2019-07-01,3
2019-07-02,3
2019-07-03,6
2019-07-04,3
2019-07-05,3
2019-07-06,2
2019-07-07,1
2019-07-08,6
2019-07-09,2
2019-07-10,7
2019-07-11,5
2019-07-12,7
2019-07-13,12
2019-07-14,4
2019-07-15,7
2019-07-16,3
2019-07-17,4
2019-07-18,2
2019-07-19,9
2019-07-20,3
2019-07-21,2
2019-07-22,3
2019-07-23,4
2019-07-24,2
2019-07-25,5
2019-07-26,4
2019-07-27,2
2019-07-28,5
2019-07-29,5
2019-07-30,5
2019-07-31,4
2019-08-02,7
2019-08-03,7
2019-08-04,2
2019-08-05,4
2019-08-06,5
2019-08-07,2
2019-08-08,6
2019-08-09,9
2019-08-10,10
2019-08-12,4
2019-08-14,9
2019-08-15,4
2019-08-16,7
2019-08-17,7
2019-08-18,3
2019-08-19,4
2019-08-20,2
2019-08-21,4
2019-08-22,2
2019-08-23,6
2019-08-24,9
2019-08-25,5
2019-08-26,6
2019-08-27,5
2019-08-28,4
2019-08-29,4
2019-08-30,5
2019-08-31,4
2019-09-01,4
2019-09-02,8
2019-09-03,7
2019-09-04,4
2019-09-05,5
2019-09-06,6
2019-09-07,5
2019-09-08,3
2019-09-09,5
2019-09-10,3
2019-09-11,5
