Tiempo,Cantidad
2019-03-18,11
2019-03-19,14
2019-03-20,8
2019-03-21,12
2019-03-22,8
2019-03-23,12
2019-03-24,8
2019-03-25,4
2019-03-26,9
2019-03-27,8
2019-03-28,13
2019-03-29,10
2019-03-30,7
2019-03-31,8
2019-04-01,10
2019-04-02,10
2019-04-03,10
2019-04-04,11
2019-04-05,15
2019-04-06,7
2019-04-07,10
2019-04-08,6
2019-04-09,6
2019-04-10,11
2019-04-11,3
2019-04-12,16
2019-04-13,10
2019-04-14,6
2019-04-15,9
2019-04-16,10
2019-04-17,2
2019-04-18,6
2019-04-19,1
2019-04-20,6
2019-04-21,6
2019-04-22,11
2019-04-23,7
2019-04-24,8
2019-04-25,13
2019-04-26,13
2019-04-27,5
2019-04-28,6
2019-04-29,7
2019-04-30,4
2019-05-01,7
2019-05-02,12
2019-05-03,11
2019-05-04,4
2019-05-05,6
2019-05-06,17
2019-05-07,11
2019-05-08,7
2019-05-09,10
2019-05-10,10
2019-05-11,7
2019-05-12,8
2019-05-13,5
2019-05-14,4
2019-05-15,16
2019-05-16,4
2019-05-17,9
2019-05-18,5
2019-05-19,3
2019-05-20,3
2019-05-21,6
2019-05-22,7
2019-05-23,9
2019-05-24,5
2019-05-25,7
2019-05-26,7
2019-05-27,7
2019-05-28,9
2019-05-29,4
2019-05-30,11
2019-05-31,13
2019-06-01,12
2019-06-02,8
2019-06-03,4
2019-06-04,10
2019-06-05,8
2019-06-06,10
2019-06-07,9
2019-06-08,12
2019-06-09,8
2019-06-10,12
2019-06-11,8
2019-06-12,10
2019-06-13,11
2019-06-14,16
2019-06-15,9
2019-06-16,7
2019-06-17,7
2019-06-18,12
2019-06-19,10
2019-06-20,13
2019-06-21,13
2019-06-22,8
2019-06-23,6
2019-06-24,1
2019-06-25,6
2019-06-26,5
2019-06-27,6
2019-06-28,6
2019-06-29,7
2019-06-30,4
2019-07-01,4
2019-07-02,9
2019-07-03,21
2019-07-04,12
2019-07-05,7
2019-07-06,8
2019-07-07,7
2019-07-08,6
2019-07-09,7
2019-07-10,5
2019-07-11,10
2019-07-12,10
2019-07-13,6
2019-07-14,7
2019-07-15,8
2019-07-16,9
2019-07-17,16
2019-07-18,12
2019-07-19,10
2019-07-20,11
2019-07-21,9
2019-07-22,15
2019-07-23,12
2019-07-24,8
2019-07-25,7
2019-07-26,10
2019-07-27,14
2019-07-28,10
2019-07-29,9
2019-07-30,16
2019-07-31,6
2019-08-01,13
2019-08-02,11
2019-08-03,9
2019-08-04,2
2019-08-05,7
2019-08-06,13
2019-08-07,13
2019-08-08,8
2019-08-09,8
2019-08-10,8
2019-08-11,6
2019-08-12,12
2019-08-13,7
2019-08-14,4
2019-08-15,12
2019-08-16,13
2019-08-17,6
2019-08-18,8
2019-08-19,5
2019-08-20,7
2019-08-21,12
2019-08-22,6
2019-08-23,7
2019-08-24,14
2019-08-25,5
2019-08-26,5
2019-08-27,11
2019-08-28,4
2019-08-29,4
2019-08-30,13
2019-08-31,14
2019-09-01,3
2019-09-02,9
2019-09-03,7
2019-09-04,11
2019-09-05,11
2019-09-06,10
2019-09-07,5
2019-09-08,6
2019-09-09,5
2019-09-10,10
2019-09-11,3
2019-09-12,5
2019-09-13,11
2019-09-14,8
2019-09-15,13
2019-09-16,16
2019-09-17,7
2019-09-18,7
2019-09-19,9
2019-09-20,9
2019-09-21,12
2019-09-22,8
2019-09-23,10
2019-09-24,8
2019-09-25,8
2019-09-26,8
2019-09-27,13
2019-09-28,6
2019-09-29,5
2019-09-30,12
2019-10-01,14
2019-10-02,11
2019-10-03,12
2019-10-04,7
2019-10-05,8
2019-10-06,6
2019-10-07,16
2019-10-08,7
2019-10-09,8
2019-10-10,6
2019-10-11,8
2019-10-12,10
2019-10-13,5
2019-10-14,3
2019-10-15,16
2019-10-16,12
2019-10-17,12
2019-10-18,11
2019-10-19,12
2019-10-20,6
2019-10-21,8
2019-10-22,11
2019-10-23,9
2019-10-24,15
2019-10-25,12
2019-10-26,14
2019-10-27,4
2019-10-28,14
2019-10-29,13
2019-10-30,12
2019-10-31,10
2019-11-01,12
2019-11-02,10
2019-11-03,7
2019-11-04,7
2019-11-05,7
2019-11-06,7
2019-11-07,14
2019-11-08,10
2019-11-09,7
2019-11-10,7
2019-11-11,6
2019-11-12,9
2019-11-13,8
2019-11-14,8
2019-11-15,6
2019-11-16,7
2019-11-17,9
2019-11-18,7
2019-11-19,17
2019-11-20,10
2019-11-21,7
2019-11-22,8
2019-11-23,7
2019-11-24,9
2019-11-25,9
2019-11-26,9
2019-11-27,7
2019-11-28,7
2019-11-29,8
2019-11-30,9
2019-12-01,11
2019-12-02,9
2019-12-03,6
2019-12-04,6
2019-12-05,12
2019-12-06,13
2019-12-07,8
2019-12-08,8
2019-12-09,7
2019-12-10,14
2019-12-11,4
2019-12-12,9
2019-12-13,13
2019-12-14,11
2019-12-15,9
2019-12-16,7
2019-12-17,9
2019-12-18,11
2019-12-19,8
2019-12-20,7
2019-12-21,8
2019-12-22,10
2019-12-23,11
2019-12-24,7
2019-12-25,10
2019-12-26,4
2019-12-27,3
2019-12-28,6
2019-12-29,4
2019-12-30,12
2019-12-31,8
2020-01-01,19
2020-01-02,13
2020-01-03,10
2020-01-04,9
2020-01-05,9
2020-01-06,6
2020-01-07,13
2020-01-08,20
2020-01-09,13
2020-01-10,14
2020-01-11,7
2020-01-12,11
2020-01-13,11
2020-01-14,10
2020-01-15,8
2020-01-16,8
2020-01-17,5
2020-01-18,6
2020-01-19,5
2020-01-20,8
2020-01-21,14
2020-01-22,8
2020-01-23,8
2020-01-24,12
2020-01-25,5
2020-01-26,5
2020-01-27,6
2020-01-28,6
2020-01-29,8
2020-01-30,8
2020-01-31,11
2020-02-01,7
2020-02-02,8
2020-02-03,9
2020-02-04,6
2020-02-05,10
2020-02-06,5
2020-02-07,12
2020-02-08,9
2020-02-09,6
2020-02-10,9
2020-02-11,6
2020-02-12,11
2020-02-13,10
2020-02-14,12
2020-02-15,13
2020-02-16,10
2020-02-17,6
2020-02-18,4
2020-02-19,5
2020-02-20,10
