Tiempo,Cantidad
2019-03-18,3
2019-03-19,3
2019-03-20,2
2019-03-21,1
2019-03-22,2
2019-03-23,1
2019-03-24,4
2019-03-25,2
2019-03-26,1
2019-03-27,3
2019-03-28,3
2019-03-29,2
2019-03-30,3
2019-04-01,4
2019-04-03,2
2019-04-04,5
2019-04-05,3
2019-04-06,6
2019-04-09,3
2019-04-10,1
2019-04-12,4
2019-04-13,7
2019-04-14,3
2019-04-17,3
2019-04-18,1
2019-04-20,2
2019-04-21,2
2019-04-22,2
2019-04-23,1
2019-04-24,2
2019-04-26,2
2019-04-27,3
2019-04-28,1
2019-04-29,3
2019-04-30,3
2019-05-01,1
2019-05-02,2
2019-05-03,3
2019-05-04,5
2019-05-05,3
2019-05-06,1
2019-05-07,2
2019-05-08,3
2019-05-09,2
2019-05-10,2
2019-05-11,1
2019-05-12,3
2019-05-13,1
2019-05-14,4
2019-05-15,1
2019-05-16,2
2019-05-17,2
2019-05-18,1
2019-05-19,1
2019-05-20,1
2019-05-22,2
2019-05-24,1
2019-05-26,1
2019-05-27,3
2019-05-29,2
2019-05-30,4
2019-05-31,7
2019-06-01,2
2019-06-02,2
2019-06-03,2
2019-06-04,7
2019-06-05,2
2019-06-06,5
2019-06-07,3
2019-06-08,1
2019-06-09,6
2019-06-10,1
2019-06-11,3
2019-06-12,2
2019-06-14,2
2019-06-15,2
2019-06-16,1
2019-06-17,3
2019-06-19,6
2019-06-20,2
2019-06-21,5
2019-06-22,2
2019-06-23,2
2019-06-24,1
2019-06-26,3
2019-06-28,5
2019-06-29,3
2019-06-30,4
2019-07-01,2
2019-07-02,1
2019-07-03,1
2019-07-04,2
2019-07-05,4
2019-07-06,2
2019-07-07,2
2019-07-08,1
2019-07-09,1
2019-07-11,1
2019-07-12,3
2019-07-13,4
2019-07-14,1
2019-07-15,2
2019-07-16,1
2019-07-17,3
2019-07-18,1
2019-07-19,1
2019-07-20,2
2019-07-23,1
2019-07-24,2
2019-07-25,2
2019-07-26,2
2019-07-27,3
2019-07-28,3
2019-07-29,5
2019-07-30,3
2019-07-31,2
2019-08-01,3
2019-08-02,1
2019-08-03,1
2019-08-04,3
2019-08-05,2
2019-08-06,3
2019-08-07,2
2019-08-08,1
2019-08-09,3
2019-08-10,3
2019-08-11,5
2019-08-12,2
2019-08-13,4
2019-08-14,1
2019-08-15,4
2019-08-16,1
2019-08-17,2
2019-08-18,7
2019-08-19,3
2019-08-20,1
2019-08-21,2
2019-08-22,1
2019-08-23,4
2019-08-24,7
2019-08-25,4
2019-08-26,3
2019-08-27,3
2019-08-28,6
2019-08-29,2
2019-08-30,4
2019-08-31,5
2019-09-01,4
2019-09-02,1
2019-09-03,2
2019-09-04,4
2019-09-05,4
2019-09-07,4
2019-09-08,3
2019-09-09,2
2019-09-10,3
2019-09-11,2
2019-09-12,3
2019-09-13,3
2019-09-14,2
2019-09-15,4
2019-09-17,2
2019-09-18,3
2019-09-19,4
2019-09-20,4
2019-09-21,1
2019-09-22,1
2019-09-23,5
2019-09-24,4
2019-09-25,1
2019-09-26,2
2019-09-27,3
2019-09-28,3
2019-09-29,1
2019-09-30,2
2019-10-01,2
2019-10-02,1
2019-10-03,1
2019-10-04,2
2019-10-05,3
2019-10-06,2
2019-10-07,2
2019-10-08,2
2019-10-09,3
2019-10-10,4
2019-10-11,4
2019-10-12,1
2019-10-14,1
2019-10-15,1
2019-10-16,2
2019-10-17,6
2019-10-19,3
2019-10-20,1
2019-10-21,5
2019-10-22,2
2019-10-23,4
2019-10-24,3
2019-10-25,6
2019-10-26,1
2019-10-27,2
2019-10-29,5
2019-10-30,5
2019-10-31,2
2019-11-01,4
2019-11-02,2
2019-11-03,5
2019-11-04,1
2019-11-05,5
2019-11-06,5
2019-11-07,1
2019-11-08,2
2019-11-09,2
2019-11-10,1
2019-11-11,3
2019-11-12,4
2019-11-13,6
2019-11-14,1
2019-11-15,2
2019-11-16,3
2019-11-17,2
2019-11-18,2
2019-11-19,7
2019-11-20,1
2019-11-21,1
2019-11-22,2
2019-11-23,6
2019-11-24,1
2019-11-25,1
2019-11-26,2
2019-11-27,2
2019-11-28,2
2019-11-29,3
2019-11-30,4
2019-12-01,3
2019-12-02,3
2019-12-03,5
2019-12-04,3
2019-12-05,2
2019-12-06,3
2019-12-07,2
2019-12-08,1
2019-12-09,3
2019-12-10,2
2019-12-12,2
2019-12-13,1
2019-12-14,2
2019-12-15,3
2019-12-16,6
2019-12-17,6
