Tiempo,Cantidad
2019-03-18,56
2019-03-19,46
2019-03-20,58
2019-03-21,41
2019-03-22,44
2019-03-23,59
2019-03-24,82
2019-03-25,59
2019-03-26,51
2019-03-27,58
2019-03-28,60
2019-03-29,44
2019-03-30,68
2019-03-31,114
2019-04-01,49
2019-04-02,59
2019-04-03,51
2019-04-04,51
2019-04-05,44
2019-04-06,75
2019-04-07,98
2019-04-08,42
2019-04-09,38
2019-04-10,38
2019-04-11,26
2019-04-12,42
2019-04-13,49
2019-04-14,53
2019-04-15,32
2019-04-16,33
2019-04-17,48
2019-04-18,31
2019-04-19,22
2019-04-20,36
2019-04-21,36
2019-04-22,21
2019-04-23,52
2019-04-24,29
2019-04-25,40
2019-04-26,37
2019-04-27,70
2019-04-28,86
2019-04-29,48
2019-04-30,41
2019-05-01,78
2019-05-02,46
2019-05-03,37
2019-05-04,66
2019-05-05,92
2019-05-06,54
2019-05-07,50
2019-05-08,37
2019-05-09,54
2019-05-10,43
2019-05-11,80
2019-05-12,133
2019-05-13,47
2019-05-14,52
2019-05-15,51
2019-05-16,54
2019-05-17,56
2019-05-18,56
2019-05-19,67
2019-05-20,66
2019-05-21,49
2019-05-22,55
2019-05-23,47
2019-05-24,41
2019-05-25,92
2019-05-26,90
2019-05-27,42
2019-05-28,42
2019-05-29,49
2019-05-30,38
2019-05-31,40
2019-06-01,60
2019-06-02,92
2019-06-03,50
2019-06-04,47
2019-06-05,57
2019-06-06,44
2019-06-07,49
2019-06-08,58
2019-06-09,81
2019-06-10,51
2019-06-11,22
2019-06-12,30
2019-06-13,57
2019-06-14,45
2019-06-15,96
2019-06-16,109
2019-06-17,37
2019-06-18,34
2019-06-19,51
2019-06-20,46
2019-06-21,20
2019-06-22,41
2019-06-23,84
2019-06-24,44
2019-06-25,30
2019-06-26,29
2019-06-27,29
2019-06-28,46
2019-06-29,49
2019-06-30,56
2019-07-01,32
2019-07-02,40
2019-07-03,46
2019-07-04,35
2019-07-05,30
2019-07-06,60
2019-07-07,71
2019-07-08,33
2019-07-09,36
2019-07-10,38
2019-07-11,49
2019-07-12,37
2019-07-13,42
2019-07-14,92
2019-07-15,41
2019-07-16,33
2019-07-17,41
2019-07-18,35
2019-07-19,47
2019-07-20,51
2019-07-21,60
2019-07-22,30
2019-07-23,35
2019-07-24,55
2019-07-25,38
2019-07-26,38
2019-07-27,58
2019-07-28,60
2019-07-29,39
2019-07-30,42
2019-07-31,33
2019-08-01,42
2019-08-02,31
2019-08-03,54
2019-08-04,82
2019-08-05,36
2019-08-06,27
2019-08-07,52
2019-08-08,34
2019-08-09,24
2019-08-10,38
2019-08-11,53
2019-08-12,33
2019-08-13,31
2019-08-14,37
2019-08-15,24
2019-08-16,34
2019-08-17,47
2019-08-18,70
2019-08-19,51
2019-08-20,38
2019-08-21,34
2019-08-22,45
2019-08-23,29
2019-08-24,62
2019-08-25,71
2019-08-26,36
2019-08-27,48
2019-08-28,40
2019-08-29,53
2019-08-30,43
2019-08-31,59
2019-09-01,69
2019-09-02,23
2019-09-03,49
2019-09-04,40
2019-09-05,28
2019-09-06,43
2019-09-07,59
2019-09-08,57
2019-09-09,33
2019-09-10,36
2019-09-11,34
2019-09-12,35
2019-09-13,44
2019-09-14,49
2019-09-15,71
2019-09-16,44
2019-09-17,42
2019-09-18,35
2019-09-19,46
2019-09-20,29
2019-09-21,64
2019-09-22,72
2019-09-23,37
2019-09-24,30
2019-09-25,53
2019-09-26,47
2019-09-27,37
2019-09-28,64
2019-09-29,75
2019-09-30,45
2019-10-01,38
2019-10-02,48
2019-10-03,38
2019-10-04,43
2019-10-05,64
2019-10-06,68
2019-10-07,28
2019-10-08,29
2019-10-09,32
2019-10-10,21
2019-10-11,28
2019-10-12,52
2019-10-13,47
2019-10-14,41
2019-10-15,26
2019-10-16,30
2019-10-17,33
2019-10-18,29
2019-10-19,59
2019-10-20,65
2019-10-21,34
2019-10-22,36
2019-10-23,40
2019-10-24,37
2019-10-25,39
2019-10-26,52
2019-10-27,50
2019-10-28,30
2019-10-29,43
2019-10-30,29
2019-10-31,56
2019-11-01,51
2019-11-02,51
2019-11-03,96
2019-11-04,36
2019-11-05,39
2019-11-06,47
2019-11-07,31
2019-11-08,41
2019-11-09,46
2019-11-10,54
2019-11-11,38
2019-11-12,29
2019-11-13,21
2019-11-14,29
2019-11-15,39
2019-11-16,56
2019-11-17,89
2019-11-18,36
2019-11-19,27
2019-11-20,33
2019-11-21,44
2019-11-22,29
2019-11-23,53
2019-11-24,62
2019-11-25,27
2019-11-26,28
2019-11-27,27
2019-11-28,28
2019-11-29,21
2019-11-30,70
2019-12-01,66
2019-12-02,30
2019-12-03,27
2019-12-04,45
2019-12-05,43
2019-12-06,30
2019-12-07,134
2019-12-08,131
2019-12-09,23
2019-12-10,28
2019-12-11,31
2019-12-12,36
2019-12-13,45
2019-12-14,50
2019-12-15,64
2019-12-16,27
2019-12-17,34
2019-12-18,32
2019-12-19,36
2019-12-20,24
2019-12-21,40
2019-12-22,48
2019-12-23,36
2019-12-24,52
