Tiempo,Cantidad
2019-03-18,2
2019-03-20,1
2019-03-22,3
2019-03-23,1
2019-03-25,2
2019-03-27,1
2019-03-28,3
2019-03-29,1
2019-03-31,2
2019-04-01,1
2019-04-02,1
2019-04-04,2
2019-04-06,1
2019-04-07,2
2019-04-13,1
2019-04-16,2
2019-04-17,1
2019-04-23,1
2019-04-25,1
2019-04-27,1
2019-04-28,2
2019-05-02,3
2019-05-03,3
2019-05-04,1
2019-05-05,2
2019-05-06,3
2019-05-09,1
2019-05-17,3
2019-05-20,1
2019-05-22,3
2019-05-25,1
2019-05-26,2
2019-05-27,2
2019-05-31,2
2019-06-01,2
2019-06-02,2
2019-06-04,1
2019-06-06,1
2019-06-07,1
2019-06-09,2
2019-06-10,2
2019-06-11,1
2019-06-12,1
2019-06-13,1
2019-06-14,2
2019-06-17,2
2019-06-18,1
2019-06-19,7
2019-06-20,6
2019-06-22,1
2019-06-23,1
2019-06-25,2
2019-06-28,1
2019-07-01,1
2019-07-03,1
2019-07-06,1
2019-07-07,1
2019-07-08,1
2019-07-09,2
2019-07-11,1
2019-07-12,2
2019-07-13,3
2019-07-16,1
2019-07-17,4
2019-07-18,2
2019-07-20,3
2019-07-23,1
2019-07-24,5
2019-07-30,1
2019-08-01,1
2019-08-02,2
2019-08-03,2
2019-08-04,2
2019-08-05,1
2019-08-06,1
2019-08-09,1
2019-08-11,2
2019-08-13,1
2019-08-15,1
2019-08-17,1
2019-08-18,1
2019-08-24,1
2019-08-27,1
2019-08-31,1
2019-09-01,1
2019-09-02,2
2019-09-03,1
2019-09-04,1
2019-09-07,1
2019-09-08,1
2019-09-09,2
2019-09-10,1
2019-09-11,2
2019-09-12,3
2019-09-13,1
2019-09-14,3
2019-09-15,3
2019-09-16,2
2019-09-17,1
2019-09-18,1
2019-09-19,1
2019-09-21,1
2019-09-22,2
2019-09-23,1
2019-09-25,2
2019-09-28,3
2019-09-29,1
2019-10-02,3
2019-10-05,5
2019-10-07,2
2019-10-11,1
2019-10-12,1
2019-10-13,1
2019-10-14,2
2019-10-15,1
2019-10-19,1
2019-10-21,1
2019-10-25,1
2019-10-29,1
2019-10-31,4
2019-11-01,3
2019-11-02,1
2019-11-05,1
2019-11-07,2
2019-11-09,1
2019-11-10,2
2019-11-11,2
2019-11-15,1
2019-11-16,2
2019-11-17,1
2019-11-19,2
2019-11-20,2
2019-11-21,2
2019-11-25,1
2019-11-26,1
2019-12-01,1
2019-12-02,1
2019-12-03,1
2019-12-06,1
2019-12-07,2
2019-12-08,2
2019-12-14,1
2019-12-17,1
2019-12-18,1
2019-12-21,1
2019-12-23,1
2019-12-25,1
2019-12-27,1
2019-12-28,1
2019-12-31,1
2020-01-01,3
2020-01-04,1
2020-01-07,1
2020-01-11,2
2020-01-12,1
2020-01-16,2
2020-01-19,1
2020-01-23,3
2020-01-25,1
2020-01-26,1
2020-01-29,2
2020-01-31,3
2020-02-03,1
2020-02-05,3
2020-02-07,1
2020-02-10,2
2020-02-13,2
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,4
2020-02-19,2
2020-02-21,1
2020-02-22,2
2020-02-24,1
2020-02-28,3
2020-02-29,1
2020-03-02,2
2020-03-03,1
2020-03-04,1
2020-03-05,2
2020-03-06,1
2020-03-07,3
2020-03-08,1
2020-03-09,2
2020-03-11,1
2020-03-13,4
2020-03-14,1
2020-03-15,1
2020-03-16,3
2020-03-17,1
2020-04-15,1
