Tiempo,Cantidad
2019-03-18,1
2019-03-23,1
2019-03-24,2
2019-03-25,1
2019-03-31,1
2019-04-01,1
2019-04-02,2
2019-04-03,2
2019-04-06,1
2019-04-07,2
2019-04-10,2
2019-04-11,1
2019-04-14,2
2019-04-16,1
2019-04-17,5
2019-04-18,3
2019-04-20,1
2019-04-21,4
2019-04-25,1
2019-04-27,3
2019-05-01,1
2019-05-04,1
2019-05-05,1
2019-05-06,1
2019-05-07,4
2019-05-08,1
2019-05-09,2
2019-05-10,1
2019-05-12,3
2019-05-13,3
2019-05-15,1
2019-05-16,1
2019-05-17,2
2019-05-18,3
2019-05-19,1
2019-05-20,4
2019-05-21,1
2019-05-22,5
2019-05-25,4
2019-05-28,5
2019-05-29,2
2019-05-30,1
2019-06-06,2
2019-06-07,1
2019-06-11,2
2019-06-13,3
2019-06-15,2
2019-06-16,1
2019-06-17,1
2019-06-18,3
2019-06-19,2
2019-06-21,1
2019-06-22,2
2019-06-23,2
2019-06-25,1
2019-06-27,1
2019-06-28,4
2019-06-29,1
2019-07-03,1
2019-07-04,1
2019-07-06,1
2019-07-07,4
2019-07-08,1
2019-07-11,2
2019-07-13,3
2019-07-15,1
2019-07-16,1
2019-07-18,1
2019-07-19,2
2019-07-20,1
2019-07-24,2
2019-07-25,1
2019-07-26,1
2019-07-27,1
2019-07-30,1
2019-08-01,2
2019-08-02,3
2019-08-03,1
2019-08-04,1
2019-08-07,1
2019-08-08,1
2019-08-09,3
2019-08-10,1
2019-08-13,2
2019-08-14,3
2019-08-16,1
2019-08-18,2
2019-08-19,2
2019-08-21,2
2019-08-24,8
2019-08-25,1
2019-08-26,1
2019-08-28,1
2019-08-29,4
2019-08-31,2
2019-09-01,1
2019-09-02,1
2019-09-03,1
2019-09-06,2
2019-09-07,1
2019-09-08,2
2019-09-12,2
2019-09-17,1
2019-09-18,1
2019-09-19,2
2019-09-21,1
2019-09-25,3
2019-09-27,5
2019-09-29,1
2019-10-04,2
2019-10-05,2
2019-10-06,1
2019-10-11,1
2019-10-13,1
2019-10-14,1
2019-10-15,1
2019-10-16,1
2019-10-17,2
2019-10-19,1
2019-10-21,1
2019-10-23,1
2019-10-24,1
2019-10-25,2
2019-10-26,3
2019-10-27,2
2019-10-28,1
2019-10-29,1
2019-10-30,2
2019-11-02,2
2019-11-03,2
2019-11-04,1
2019-11-05,6
2019-11-07,1
2019-11-08,1
2019-11-11,1
2019-11-13,1
2019-11-14,2
2019-11-15,1
2019-11-17,3
2019-11-20,2
2019-11-21,1
2019-11-22,2
2019-11-24,1
2019-11-25,1
2019-11-26,1
2019-11-30,5
2019-12-03,2
2019-12-05,1
2019-12-10,2
2019-12-12,3
2019-12-13,1
2019-12-15,1
2019-12-16,1
2019-12-19,3
2019-12-23,1
2019-12-25,1
2019-12-27,1
2020-01-01,3
2020-01-04,1
2020-01-07,1
2020-01-10,4
2020-01-11,1
2020-01-12,1
2020-01-16,1
2020-01-19,1
2020-01-22,1
2020-01-23,2
2020-01-24,2
2020-01-25,2
2020-01-26,1
2020-01-31,1
2020-02-01,3
2020-02-02,1
2020-02-04,1
2020-02-06,2
2020-02-07,3
2020-02-09,1
2020-02-13,2
2020-02-16,1
2020-02-18,1
2020-02-19,1
2020-02-20,3
2020-02-22,1
2020-02-25,3
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,2
2020-03-03,1
2020-03-04,1
2020-03-06,3
2020-03-07,4
2020-03-10,1
2020-03-11,1
2020-03-13,1
2020-03-16,1
2020-03-17,2
2020-03-19,2
2020-03-26,1
2020-03-28,2
2020-04-14,1
2020-04-15,1
