Tiempo,Cantidad
2019-03-18,1
2019-03-21,1
2019-03-23,2
2019-03-24,1
2019-03-27,1
2019-03-28,2
2019-04-01,1
2019-04-11,1
2019-04-12,1
2019-04-15,1
2019-04-17,1
2019-04-18,1
2019-04-25,3
2019-04-26,1
2019-04-27,1
2019-04-28,2
2019-04-30,1
2019-05-01,1
2019-05-05,1
2019-05-10,1
2019-05-11,1
2019-05-13,1
2019-05-16,3
2019-05-17,3
2019-05-18,1
2019-05-20,2
2019-05-22,2
2019-05-26,1
2019-05-30,1
2019-06-02,1
2019-06-05,3
2019-06-07,1
2019-06-08,3
2019-06-12,1
2019-06-13,1
2019-06-14,1
2019-06-15,1
2019-06-22,2
2019-06-23,2
2019-06-29,1
2019-07-02,2
2019-07-03,4
2019-07-04,1
2019-07-05,1
2019-07-13,1
2019-07-15,1
2019-07-17,2
2019-07-20,1
2019-07-30,1
2019-08-02,1
2019-08-03,1
2019-08-04,1
2019-08-06,2
2019-08-08,1
2019-08-12,1
2019-08-14,1
2019-08-18,1
2019-08-19,1
2019-08-21,1
2019-08-22,2
2019-08-24,1
2019-08-25,2
2019-08-27,2
2019-08-29,1
2019-08-30,1
2019-08-31,2
2019-09-01,2
2019-09-07,1
2019-09-09,1
2019-09-12,1
2019-09-13,2
2019-09-14,1
2019-09-20,2
2019-09-24,1
2019-09-29,3
2019-10-11,1
2019-10-12,1
2019-10-17,1
2019-10-19,1
2019-10-23,2
2019-10-27,2
2019-10-29,1
2019-11-01,1
2019-11-02,1
2019-11-03,3
2019-11-05,1
2019-11-08,1
2019-11-12,1
2019-11-14,1
2019-11-16,1
2019-11-21,6
2019-11-22,1
2019-11-29,2
2019-12-01,1
2019-12-03,1
2019-12-06,1
2019-12-10,1
2019-12-11,1
2019-12-16,1
2019-12-17,1
2019-12-26,1
2020-01-01,1
2020-01-04,1
2020-01-09,1
2020-01-13,1
2020-01-16,1
2020-01-29,1
2020-01-30,2
2020-01-31,1
2020-02-02,1
2020-02-03,1
2020-02-05,1
2020-02-07,2
2020-02-09,1
2020-02-11,1
2020-02-13,2
2020-02-15,3
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-21,1
2020-02-24,1
2020-02-25,2
2020-03-13,1
2020-03-14,5
2020-03-15,2
2020-03-16,1
2020-04-17,1
2020-04-19,1
