Tiempo,Cantidad
2019-03-18,2
2019-03-19,1
2019-03-20,1
2019-03-22,2
2019-03-23,2
2019-03-24,1
2019-03-28,3
2019-03-29,4
2019-03-30,1
2019-03-31,3
2019-04-01,2
2019-04-02,1
2019-04-03,2
2019-04-04,2
2019-04-05,1
2019-04-07,2
2019-04-08,3
2019-04-09,1
2019-04-11,3
2019-04-12,3
2019-04-15,2
2019-04-16,1
2019-04-18,1
2019-04-22,1
2019-04-24,2
2019-04-25,3
2019-04-26,4
2019-04-27,5
2019-04-28,1
2019-05-01,3
2019-05-02,2
2019-05-03,1
2019-05-04,1
2019-05-05,2
2019-05-10,1
2019-05-12,1
2019-05-13,2
2019-05-14,2
2019-05-15,2
2019-05-16,1
2019-05-17,2
2019-05-18,1
2019-05-19,9
2019-05-20,1
2019-05-21,2
2019-05-22,2
2019-05-23,1
2019-05-24,2
2019-05-25,2
2019-05-26,2
2019-06-02,3
2019-06-04,2
2019-06-06,3
2019-06-07,1
2019-06-11,1
2019-06-12,3
2019-06-14,3
2019-06-15,3
2019-06-16,5
2019-06-19,2
2019-06-20,3
2019-06-23,2
2019-06-24,1
2019-06-25,3
2019-06-27,1
2019-06-28,1
2019-06-29,3
2019-06-30,1
2019-07-01,3
2019-07-03,11
2019-07-06,1
2019-07-07,1
2019-07-09,3
2019-07-12,2
2019-07-13,1
2019-07-14,2
2019-07-19,3
2019-07-20,1
2019-07-22,1
2019-07-23,2
2019-07-24,3
2019-07-25,2
2019-07-26,2
2019-07-29,5
2019-08-01,1
2019-08-03,1
2019-08-04,1
2019-08-05,2
2019-08-06,1
2019-08-07,1
2019-08-11,2
2019-08-12,1
2019-08-14,1
2019-08-15,1
2019-08-16,1
2019-08-17,1
2019-08-19,2
2019-08-20,1
2019-08-23,2
2019-08-25,2
2019-08-26,1
2019-08-28,5
2019-08-29,4
2019-08-30,5
2019-08-31,2
2019-09-01,1
2019-09-02,1
2019-09-03,1
2019-09-04,2
2019-09-05,1
2019-09-06,3
2019-09-07,1
2019-09-08,3
2019-09-10,2
2019-09-12,1
2019-09-14,2
2019-09-15,2
2019-09-18,3
2019-09-19,1
2019-09-21,1
2019-09-22,1
2019-09-24,1
2019-09-25,3
2019-09-26,3
2019-09-27,2
2019-09-28,3
2019-09-29,2
2019-09-30,4
2019-10-01,4
2019-10-02,1
2019-10-03,2
2019-10-05,2
2019-10-06,1
2019-10-07,1
2019-10-09,1
2019-10-12,2
2019-10-13,1
2019-10-14,1
2019-10-17,1
2019-10-19,4
2019-10-24,1
2019-10-26,2
2019-10-29,1
2019-10-30,4
2019-10-31,3
2019-11-01,4
2019-11-02,1
2019-11-03,5
2019-11-06,2
2019-11-08,2
2019-11-10,1
2019-11-11,1
2019-11-13,1
2019-11-16,1
2019-11-17,2
2019-11-18,1
2019-11-19,1
2019-11-20,1
2019-11-21,6
2019-11-22,4
2019-11-24,1
2019-11-26,1
2019-11-28,1
2019-11-29,1
2019-11-30,1
2019-12-04,1
2019-12-05,5
2019-12-06,1
2019-12-07,5
2019-12-08,3
2019-12-10,2
2019-12-11,1
2019-12-13,1
2019-12-14,4
2019-12-15,8
2019-12-16,1
2019-12-17,2
2019-12-19,1
2019-12-20,1
2019-12-22,1
2019-12-24,3
2019-12-25,5
2019-12-27,2
2019-12-31,1
2020-01-06,2
2020-01-07,1
2020-01-09,1
2020-01-11,2
2020-01-15,3
2020-01-18,2
2020-01-19,2
2020-01-21,1
2020-01-23,1
2020-01-24,6
2020-01-25,3
2020-01-26,2
2020-01-27,2
2020-01-28,2
2020-01-29,2
2020-01-30,1
2020-02-01,4
2020-02-02,4
2020-02-03,1
2020-02-04,1
2020-02-06,4
2020-02-07,4
2020-02-08,4
2020-02-09,1
2020-02-12,1
2020-02-14,1
2020-02-15,3
2020-02-16,1
2020-02-20,1
2020-02-21,2
2020-02-22,2
2020-02-24,2
2020-02-25,1
2020-02-27,1
2020-02-28,4
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,3
2020-03-05,1
2020-03-06,1
2020-03-07,2
2020-03-09,1
2020-03-10,2
2020-03-11,2
2020-03-12,1
2020-03-14,1
2020-03-17,2
2020-03-18,1
2020-03-20,1
2020-03-29,1
2020-03-30,1
2020-04-01,1
2020-04-03,1
2020-04-07,1
2020-04-09,2
2020-04-12,1
2020-04-20,1
