Tiempo,Cantidad
2019-03-18,7
2019-03-19,11
2019-03-20,4
2019-03-21,2
2019-03-22,2
2019-03-23,3
2019-03-24,12
2019-03-25,3
2019-03-26,4
2019-03-27,10
2019-03-28,3
2019-03-29,8
2019-03-30,4
2019-03-31,18
2019-04-01,4
2019-04-02,5
2019-04-03,5
2019-04-04,7
2019-04-05,4
2019-04-06,7
2019-04-07,14
2019-04-08,2
2019-04-09,1
2019-04-10,2
2019-04-11,4
2019-04-12,2
2019-04-13,11
2019-04-14,7
2019-04-15,2
2019-04-16,4
2019-04-17,2
2019-04-18,4
2019-04-20,2
2019-04-21,3
2019-04-22,2
2019-04-23,9
2019-04-24,4
2019-04-25,8
2019-04-27,7
2019-04-28,18
2019-04-29,1
2019-04-30,8
2019-05-01,12
2019-05-02,8
2019-05-03,3
2019-05-04,4
2019-05-05,10
2019-05-06,7
2019-05-07,5
2019-05-08,5
2019-05-09,5
2019-05-10,4
2019-05-11,7
2019-05-12,15
2019-05-13,2
2019-05-14,10
2019-05-15,8
2019-05-16,4
2019-05-17,6
2019-05-18,8
2019-05-19,5
2019-05-20,7
2019-05-21,7
2019-05-22,4
2019-05-23,8
2019-05-24,2
2019-05-25,4
2019-05-26,6
2019-05-27,6
2019-05-28,1
2019-05-29,3
2019-05-30,5
2019-05-31,4
2019-06-01,8
2019-06-02,15
2019-06-03,9
2019-06-04,3
2019-06-05,3
2019-06-06,6
2019-06-07,3
2019-06-08,7
2019-06-09,13
2019-06-10,4
2019-06-12,1
2019-06-13,13
2019-06-14,6
2019-06-15,9
2019-06-16,13
2019-06-17,4
2019-06-18,2
2019-06-19,12
2019-06-20,2
2019-06-21,1
2019-06-22,4
2019-06-23,12
2019-06-24,6
2019-06-25,1
2019-06-26,1
2019-06-27,2
2019-06-28,1
2019-06-29,3
2019-06-30,8
2019-07-01,1
2019-07-02,5
2019-07-04,1
2019-07-06,5
2019-07-07,6
2019-07-08,9
2019-07-09,1
2019-07-10,7
2019-07-11,7
2019-07-12,6
2019-07-13,2
2019-07-14,11
2019-07-15,5
2019-07-16,3
2019-07-17,6
2019-07-18,4
2019-07-19,5
2019-07-20,12
2019-07-21,12
2019-07-22,1
2019-07-23,7
2019-07-24,14
2019-07-25,7
2019-07-26,3
2019-07-27,2
2019-07-28,9
2019-07-29,3
2019-07-30,5
2019-07-31,3
2019-08-01,4
2019-08-02,3
2019-08-03,5
2019-08-04,19
2019-08-05,2
2019-08-06,2
2019-08-07,5
2019-08-08,1
2019-08-10,11
2019-08-11,8
2019-08-12,2
2019-08-13,1
2019-08-14,11
2019-08-15,1
2019-08-16,3
2019-08-17,4
2019-08-18,18
2019-08-19,7
2019-08-20,4
2019-08-21,6
2019-08-22,4
2019-08-23,1
2019-08-24,5
2019-08-25,11
2019-08-26,7
2019-08-27,7
2019-08-28,1
2019-08-30,5
2019-08-31,12
2019-09-01,12
2019-09-02,3
2019-09-03,6
2019-09-04,4
2019-09-05,3
2019-09-06,5
2019-09-07,8
2019-09-08,6
2019-09-09,9
2019-09-10,4
2019-09-11,4
2019-09-12,1
2019-09-13,2
2019-09-14,2
2019-09-15,9
2019-09-16,8
2019-09-17,3
2019-09-18,4
2019-09-19,4
2019-09-20,3
2019-09-21,6
2019-09-22,13
2019-09-23,4
2019-09-24,3
2019-09-25,8
2019-09-26,7
2019-09-27,2
2019-09-28,6
2019-09-29,7
2019-09-30,1
2019-10-01,3
2019-10-02,5
2019-10-03,11
2019-10-04,2
2019-10-05,7
2019-10-06,15
2019-10-07,4
2019-10-08,1
2019-10-09,7
2019-10-10,7
2019-10-11,3
2019-10-12,6
2019-10-13,4
2019-10-14,4
2019-10-15,2
2019-10-16,4
2019-10-17,4
2019-10-18,2
2019-10-19,9
2019-10-20,7
2019-10-21,3
2019-10-22,6
2019-10-23,12
2019-10-24,3
2019-10-25,3
2019-10-26,6
2019-10-27,8
2019-10-28,3
2019-10-29,4
2019-10-30,3
2019-10-31,9
2019-11-01,4
2019-11-02,4
2019-11-03,18
2019-11-04,1
2019-11-05,1
2019-11-06,1
2019-11-07,2
2019-11-08,2
2019-11-09,7
2019-11-10,7
2019-11-11,6
2019-11-13,2
2019-11-14,1
2019-11-15,6
2019-11-16,3
2019-11-17,16
2019-11-18,1
2019-11-19,1
2019-11-21,10
2019-11-22,1
2019-11-23,8
2019-11-24,5
2019-11-25,2
2019-11-28,1
2019-11-30,2
2019-12-01,6
2019-12-02,6
2019-12-03,1
2019-12-04,2
2019-12-05,1
2019-12-06,3
2019-12-07,11
2019-12-08,17
2019-12-09,2
2019-12-10,2
2019-12-11,2
2019-12-12,3
2019-12-13,3
2019-12-14,9
2019-12-15,10
2019-12-16,2
2019-12-17,1
2019-12-18,4
2019-12-19,2
2019-12-20,5
2019-12-21,2
2019-12-22,3
2019-12-23,4
2019-12-24,7
2019-12-25,31
2019-12-26,2
2019-12-27,5
2019-12-28,3
2019-12-29,7
2019-12-30,4
2019-12-31,1
2020-01-01,19
2020-01-03,2
2020-01-04,5
2020-01-05,5
2020-01-06,2
2020-01-07,1
2020-01-08,3
2020-01-09,4
2020-01-10,1
2020-01-11,5
2020-01-12,3
2020-01-13,3
2020-01-14,4
2020-01-15,3
2020-01-16,5
2020-01-17,2
2020-01-18,5
2020-01-19,9
2020-01-20,10
2020-01-21,2
2020-01-22,6
2020-01-23,3
2020-01-24,9
2020-01-25,9
2020-01-26,14
2020-01-27,8
2020-01-28,6
2020-01-29,7
2020-01-30,6
2020-01-31,5
2020-02-01,8
2020-02-02,4
2020-02-03,1
2020-02-04,4
2020-02-05,3
2020-02-06,4
2020-02-07,7
2020-02-08,3
2020-02-09,11
2020-02-10,4
2020-02-11,2
2020-02-13,1
2020-02-14,4
2020-02-15,5
2020-02-16,8
2020-02-17,4
2020-02-18,4
2020-02-19,4
2020-02-20,2
2020-02-21,1
2020-02-22,2
2020-02-23,8
2020-02-24,7
2020-02-25,3
2020-02-26,1
2020-02-27,5
2020-02-28,1
2020-02-29,5
2020-03-01,13
2020-03-02,10
2020-03-03,1
2020-03-04,2
2020-03-05,3
2020-03-06,2
2020-03-07,10
2020-03-08,5
2020-03-09,7
2020-03-10,3
2020-03-11,4
2020-03-12,3
2020-03-13,3
2020-03-14,8
2020-03-15,5
2020-03-16,7
2020-03-17,6
2020-03-18,3
2020-03-19,2
2020-03-20,2
2020-03-22,8
2020-03-26,2
2020-03-27,3
2020-03-29,4
2020-03-30,2
2020-03-31,2
2020-04-01,2
2020-04-02,4
