Tiempo,Cantidad
2019-03-18,5
2019-03-19,3
2019-03-20,8
2019-03-21,1
2019-03-22,1
2019-03-23,7
2019-03-24,12
2019-03-25,2
2019-03-26,8
2019-03-27,5
2019-03-28,6
2019-03-29,4
2019-03-30,7
2019-03-31,8
2019-04-02,2
2019-04-03,6
2019-04-04,3
2019-04-05,9
2019-04-06,6
2019-04-07,10
2019-04-08,7
2019-04-09,3
2019-04-10,5
2019-04-11,1
2019-04-12,2
2019-04-13,4
2019-04-14,7
2019-04-15,5
2019-04-16,3
2019-04-17,4
2019-04-18,4
2019-04-19,1
2019-04-21,3
2019-04-22,1
2019-04-23,6
2019-04-24,1
2019-04-25,4
2019-04-26,5
2019-04-27,6
2019-04-28,4
2019-04-29,5
2019-04-30,5
2019-05-01,12
2019-05-02,2
2019-05-03,4
2019-05-04,5
2019-05-05,5
2019-05-06,7
2019-05-07,2
2019-05-08,1
2019-05-09,2
2019-05-10,3
2019-05-11,6
2019-05-12,16
2019-05-13,7
2019-05-14,2
2019-05-15,2
2019-05-16,3
2019-05-17,7
2019-05-18,3
2019-05-19,3
2019-05-20,4
2019-05-21,6
2019-05-22,3
2019-05-23,6
2019-05-24,7
2019-05-25,9
2019-05-26,2
2019-05-27,3
2019-05-28,4
2019-05-29,3
2019-05-30,9
2019-05-31,5
2019-06-01,1
2019-06-02,5
2019-06-03,4
2019-06-04,5
2019-06-05,4
2019-06-06,3
2019-06-07,3
2019-06-08,1
2019-06-09,7
2019-06-10,9
2019-06-12,1
2019-06-13,3
2019-06-14,2
2019-06-15,8
2019-06-16,6
2019-06-17,2
2019-06-18,3
2019-06-19,1
2019-06-20,1
2019-06-21,6
2019-06-22,2
2019-06-23,10
2019-06-24,5
2019-06-25,2
2019-06-26,1
2019-06-27,3
2019-06-28,5
2019-06-29,5
2019-06-30,8
2019-07-01,2
2019-07-02,1
2019-07-03,1
2019-07-04,3
2019-07-05,2
2019-07-06,12
2019-07-07,3
2019-07-09,2
2019-07-10,3
2019-07-11,4
2019-07-12,4
2019-07-14,7
2019-07-15,3
2019-07-16,4
2019-07-17,3
2019-07-18,5
2019-07-19,5
2019-07-20,4
2019-07-21,2
2019-07-22,3
2019-07-23,3
2019-07-24,3
2019-07-25,2
2019-07-26,3
2019-07-27,9
2019-07-28,4
2019-07-29,1
2019-07-30,4
2019-07-31,6
2019-08-02,2
2019-08-03,3
2019-08-04,4
2019-08-05,3
2019-08-06,1
2019-08-07,6
2019-08-08,4
2019-08-09,3
2019-08-10,3
2019-08-11,1
2019-08-12,1
2019-08-13,2
2019-08-15,3
2019-08-16,9
2019-08-17,8
2019-08-18,4
2019-08-19,1
2019-08-20,2
2019-08-21,3
2019-08-22,6
2019-08-23,2
2019-08-24,10
2019-08-25,7
2019-08-26,3
2019-08-27,2
2019-08-28,1
2019-08-29,5
2019-08-30,4
2019-09-01,5
2019-09-02,2
2019-09-03,7
2019-09-04,1
2019-09-05,1
2019-09-07,3
2019-09-08,2
2019-09-10,3
2019-09-11,5
2019-09-12,2
2019-09-13,6
2019-09-14,10
2019-09-15,7
2019-09-16,5
2019-09-17,3
2019-09-18,5
2019-09-19,1
2019-09-20,4
2019-09-21,4
