Tiempo,Cantidad
2019-03-18,1
2019-03-19,1
2019-03-20,2
2019-03-21,3
2019-03-22,5
2019-03-23,1
2019-03-25,3
2019-03-26,2
2019-03-28,2
2019-03-29,2
2019-03-30,1
2019-03-31,7
2019-04-01,3
2019-04-02,1
2019-04-03,3
2019-04-04,1
2019-04-06,3
2019-04-07,4
2019-04-08,4
2019-04-09,2
2019-04-12,3
2019-04-13,2
2019-04-14,2
2019-04-16,1
2019-04-17,3
2019-04-18,1
2019-04-19,1
2019-04-20,3
2019-04-21,1
2019-04-23,5
2019-04-24,1
2019-04-25,1
2019-04-27,2
2019-04-28,8
2019-04-29,3
2019-04-30,3
2019-05-01,2
2019-05-02,1
2019-05-03,1
2019-05-04,4
2019-05-05,2
2019-05-06,1
2019-05-08,2
2019-05-09,4
2019-05-10,5
2019-05-11,6
2019-05-12,5
2019-05-13,1
2019-05-14,1
2019-05-15,2
2019-05-17,3
2019-05-18,3
2019-05-19,5
2019-05-20,3
2019-05-21,3
2019-05-22,3
2019-05-23,1
2019-05-24,1
2019-05-25,2
2019-05-26,2
2019-05-28,3
2019-05-29,1
2019-05-30,5
2019-05-31,1
2019-06-01,4
2019-06-02,2
2019-06-03,2
2019-06-04,2
2019-06-07,3
2019-06-08,1
2019-06-09,7
2019-06-10,2
2019-06-14,8
2019-06-15,4
2019-06-16,2
2019-06-18,1
2019-06-19,3
2019-06-20,2
2019-06-22,4
2019-06-23,2
2019-06-25,1
2019-06-28,1
2019-06-29,3
2019-07-02,1
2019-07-04,1
2019-07-07,5
2019-07-08,2
2019-07-09,1
2019-07-11,1
2019-07-12,1
2019-07-13,3
2019-07-14,5
2019-07-15,1
2019-07-16,1
2019-07-17,1
2019-07-18,1
2019-07-19,1
2019-07-21,2
2019-07-22,1
2019-07-23,3
2019-07-24,1
2019-07-25,2
2019-07-26,3
2019-07-28,1
2019-08-01,2
2019-08-02,2
2019-08-03,2
2019-08-04,1
2019-08-05,1
2019-08-07,3
2019-08-10,1
2019-08-11,3
2019-08-14,2
2019-08-15,4
2019-08-17,1
2019-08-18,1
2019-08-20,3
2019-08-21,4
2019-08-23,1
2019-08-24,3
2019-08-25,13
2019-08-26,1
2019-08-27,2
2019-08-28,2
2019-08-29,2
2019-08-31,1
2019-09-01,3
2019-09-03,1
2019-09-04,3
2019-09-07,3
2019-09-08,1
2019-09-09,1
2019-09-11,2
2019-09-12,3
2019-09-13,1
2019-09-14,3
2019-09-15,2
2019-09-16,1
2019-09-17,2
2019-09-19,4
2019-09-21,1
2019-09-22,1
2019-09-24,1
2019-09-25,1
2019-09-26,1
2019-09-27,2
2019-09-28,2
2019-09-29,1
2019-09-30,2
2019-10-01,1
2019-10-02,1
2019-10-04,2
2019-10-05,2
2019-10-06,3
2019-10-07,1
2019-10-09,2
2019-10-10,1
2019-10-11,3
2019-10-13,1
2019-10-15,4
2019-10-16,1
2019-10-18,1
2019-10-20,7
2019-10-21,3
2019-10-23,1
2019-10-24,1
2019-10-25,2
2019-10-26,4
2019-10-30,3
2019-10-31,3
2019-11-01,1
2019-11-03,2
2019-11-04,3
2019-11-05,3
2019-11-06,3
2019-11-09,3
2019-11-10,1
2019-11-13,1
2019-11-15,2
2019-11-17,4
2019-11-18,2
2019-11-20,1
2019-11-21,3
2019-11-23,2
2019-11-24,2
2019-11-26,1
2019-11-27,2
2019-11-28,1
2019-11-29,1
2019-12-01,4
2019-12-02,1
2019-12-05,1
2019-12-07,2
2019-12-08,3
2019-12-13,1
2019-12-14,2
2019-12-15,6
2019-12-17,1
2019-12-18,2
2019-12-19,2
2019-12-20,1
2019-12-21,2
2019-12-22,5
2019-12-23,2
2019-12-25,6
2019-12-27,2
2019-12-28,2
2019-12-31,2
2020-01-01,3
2020-01-05,1
2020-01-07,1
2020-01-08,3
2020-01-09,1
2020-01-10,1
2020-01-12,1
2020-01-16,1
2020-01-17,1
2020-01-18,2
2020-01-19,2
2020-01-21,1
2020-01-23,1
2020-01-24,1
2020-01-26,2
2020-01-27,2
2020-01-28,2
2020-01-29,3
2020-01-31,1
2020-02-01,4
2020-02-02,2
2020-02-03,2
2020-02-07,2
2020-02-08,2
2020-02-09,3
2020-02-10,5
2020-02-11,2
2020-02-12,1
2020-02-13,1
2020-02-14,2
2020-02-15,3
2020-02-16,5
2020-02-17,3
2020-02-19,2
2020-02-20,3
2020-02-22,3
2020-02-23,8
2020-02-24,1
2020-02-27,1
2020-02-28,3
2020-02-29,2
2020-03-01,2
2020-03-02,1
2020-03-03,1
2020-03-05,2
2020-03-06,2
2020-03-07,5
2020-03-08,3
2020-03-09,3
2020-03-11,1
2020-03-12,2
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-17,1
2020-03-19,1
2020-03-26,2
2020-04-05,1
2020-04-06,1
2020-04-07,1
2020-04-13,1
2020-04-14,2
2020-04-15,1
2020-04-17,2
