Tiempo,Cantidad
2019-03-18,5
2019-03-19,6
2019-03-20,8
2019-03-21,5
2019-03-22,6
2019-03-23,11
2019-03-24,9
2019-03-25,7
2019-03-26,9
2019-03-27,14
2019-03-28,11
2019-03-29,6
2019-03-30,13
2019-03-31,9
2019-04-01,7
2019-04-02,13
2019-04-03,8
2019-04-04,4
2019-04-05,3
2019-04-06,17
2019-04-07,6
2019-04-08,4
2019-04-09,9
2019-04-10,10
2019-04-11,4
2019-04-12,9
2019-04-13,5
2019-04-14,6
2019-04-15,9
2019-04-16,6
2019-04-17,5
2019-04-18,3
2019-04-19,3
2019-04-20,7
2019-04-21,4
2019-04-22,3
2019-04-23,10
2019-04-24,2
2019-04-25,2
2019-04-26,5
2019-04-27,9
2019-04-28,9
2019-04-29,9
2019-04-30,6
2019-05-01,11
2019-05-02,6
2019-05-03,6
2019-05-04,8
2019-05-05,13
2019-05-06,14
2019-05-07,4
2019-05-08,4
2019-05-09,11
2019-05-10,11
2019-05-11,13
2019-05-12,18
2019-05-13,3
2019-05-14,7
2019-05-15,7
2019-05-16,10
2019-05-17,3
2019-05-18,8
2019-05-19,15
2019-05-20,12
2019-05-21,5
2019-05-22,3
2019-05-23,3
2019-05-24,5
2019-05-25,7
2019-05-26,19
2019-05-27,3
2019-05-28,8
2019-05-29,7
2019-05-30,1
2019-05-31,5
2019-06-01,6
2019-06-02,11
2019-06-03,8
2019-06-04,8
2019-06-05,13
2019-06-06,4
2019-06-07,6
2019-06-08,8
2019-06-09,8
2019-06-10,10
2019-06-11,6
2019-06-12,3
2019-06-13,11
2019-06-14,1
2019-06-15,9
2019-06-16,22
2019-06-17,8
2019-06-18,5
2019-06-19,6
2019-06-20,3
2019-06-21,2
2019-06-22,3
2019-06-23,11
2019-06-24,8
2019-06-25,5
2019-06-26,8
2019-06-27,3
2019-06-28,2
2019-06-29,5
2019-06-30,9
2019-07-01,5
2019-07-02,3
2019-07-03,4
2019-07-04,6
2019-07-05,6
2019-07-06,12
2019-07-07,3
2019-07-08,1
2019-07-09,10
2019-07-10,5
2019-07-11,6
2019-07-12,5
2019-07-13,5
2019-07-14,12
2019-07-15,4
2019-07-16,5
2019-07-17,3
2019-07-18,3
2019-07-19,5
2019-07-20,8
2019-07-21,8
2019-07-22,5
2019-07-23,2
2019-07-24,3
2019-07-25,1
2019-07-26,3
2019-07-27,14
2019-07-28,4
2019-07-29,3
2019-07-30,6
2019-07-31,6
2019-08-01,10
2019-08-02,2
2019-08-03,19
2019-08-04,7
2019-08-05,2
2019-08-06,5
2019-08-07,5
2019-08-08,6
2019-08-09,1
2019-08-10,2
2019-08-11,5
2019-08-12,8
2019-08-13,5
2019-08-14,5
2019-08-15,6
2019-08-16,6
2019-08-17,5
2019-08-18,9
2019-08-19,4
2019-08-20,7
2019-08-21,4
2019-08-22,6
2019-08-23,5
2019-08-24,4
2019-08-25,7
2019-08-26,4
2019-08-27,15
2019-08-28,10
2019-08-29,7
2019-08-30,3
2019-08-31,7
2019-09-01,10
2019-09-02,4
2019-09-03,2
2019-09-04,1
2019-09-05,4
2019-09-06,7
2019-09-07,12
2019-09-08,3
2019-09-09,2
2019-09-10,5
2019-09-11,4
2019-09-12,4
2019-09-13,7
2019-09-14,8
2019-09-15,5
2019-09-16,4
2019-09-17,10
2019-09-18,4
2019-09-19,7
2019-09-20,1
2019-09-21,10
2019-09-22,4
2019-09-23,4
2019-09-24,2
2019-09-25,4
