Tiempo,Cantidad
2019-03-19,1
2019-03-20,1
2019-03-22,2
2019-03-23,4
2019-03-26,2
2019-03-27,1
2019-03-28,1
2019-03-29,1
2019-03-30,2
2019-03-31,3
2019-04-01,1
2019-04-02,4
2019-04-03,1
2019-04-04,2
2019-04-05,1
2019-04-06,3
2019-04-07,1
2019-04-09,1
2019-04-10,1
2019-04-11,2
2019-04-13,1
2019-04-14,1
2019-04-16,1
2019-04-17,1
2019-04-20,1
2019-04-24,1
2019-04-26,3
2019-04-27,2
2019-04-29,1
2019-04-30,2
2019-05-01,1
2019-05-02,2
2019-05-04,1
2019-05-05,3
2019-05-07,5
2019-05-09,2
2019-05-10,2
2019-05-11,2
2019-05-12,1
2019-05-13,1
2019-05-14,1
2019-05-15,2
2019-05-16,4
2019-05-17,3
2019-05-18,3
2019-05-20,1
2019-05-24,2
2019-05-25,1
2019-05-29,3
2019-05-30,2
2019-05-31,3
2019-06-01,1
2019-06-02,2
2019-06-04,1
2019-06-05,3
2019-06-07,1
2019-06-08,3
2019-06-10,1
2019-06-12,3
2019-06-13,1
2019-06-14,3
2019-06-15,3
2019-06-16,1
2019-06-17,1
2019-06-20,2
2019-06-21,1
2019-06-23,3
2019-06-25,2
2019-06-26,1
2019-06-28,1
2019-06-29,2
2019-06-30,1
2019-07-02,1
2019-07-03,2
2019-07-05,2
2019-07-06,3
2019-07-08,1
2019-07-09,2
2019-07-10,1
2019-07-11,1
2019-07-13,3
2019-07-14,1
2019-07-15,2
2019-07-16,2
2019-07-17,1
2019-07-21,1
2019-07-22,3
2019-07-23,1
2019-07-24,1
2019-07-25,1
2019-07-26,1
2019-07-27,3
2019-07-28,2
2019-07-29,2
2019-07-30,1
2019-07-31,2
2019-08-02,2
2019-08-03,1
2019-08-04,1
2019-08-05,1
2019-08-06,2
2019-08-07,1
2019-08-09,1
2019-08-10,2
2019-08-11,1
2019-08-12,2
2019-08-13,1
2019-08-14,2
2019-08-15,2
2019-08-17,1
2019-08-18,1
2019-08-19,1
2019-08-20,1
2019-08-21,1
2019-08-24,5
2019-08-26,1
2019-08-28,1
2019-08-29,3
2019-08-30,3
2019-08-31,1
2019-09-01,1
2019-09-03,4
2019-09-04,3
2019-09-05,1
2019-09-07,1
2019-09-08,1
2019-09-11,4
2019-09-14,2
2019-09-15,5
2019-09-16,2
2019-09-17,2
2019-09-18,1
2019-09-20,1
2019-09-21,2
2019-09-22,2
2019-09-23,1
2019-09-24,2
2019-09-25,1
2019-09-26,2
2019-09-28,3
2019-09-29,1
2019-10-03,3
2019-10-05,1
2019-10-06,2
2019-10-07,2
2019-10-11,2
2019-10-12,2
2019-10-13,1
2019-10-16,2
2019-10-17,1
2019-10-18,2
2019-10-19,4
2019-10-20,1
2019-10-21,2
2019-10-22,1
2019-10-23,1
2019-10-24,2
2019-10-27,1
2019-10-28,2
2019-10-29,2
2019-10-31,3
2019-11-01,1
2019-11-02,1
2019-11-03,4
2019-11-04,2
2019-11-06,1
2019-11-08,2
2019-11-13,1
2019-11-14,2
2019-11-15,1
2019-11-17,1
2019-11-18,3
2019-11-19,2
2019-11-20,2
2019-11-21,2
2019-11-23,4
2019-11-24,1
2019-11-25,1
2019-11-26,1
2019-11-27,1
2019-11-28,3
2019-11-29,1
2019-11-30,7
2019-12-02,2
2019-12-03,3
2019-12-05,4
2019-12-07,7
2019-12-08,1
2019-12-09,5
2019-12-10,1
2019-12-11,3
2019-12-12,1
2019-12-14,1
2019-12-17,2
2019-12-18,1
2019-12-21,4
2019-12-24,1
2019-12-25,2
2019-12-27,1
2019-12-28,2
2020-01-01,3
2020-01-03,1
2020-01-04,1
2020-01-06,1
2020-01-10,2
2020-01-11,2
2020-01-12,1
2020-01-15,1
2020-01-16,1
2020-01-17,2
2020-01-18,1
2020-01-20,6
2020-01-21,1
2020-01-22,1
2020-01-25,1
2020-01-28,2
2020-01-29,1
2020-01-30,2
2020-01-31,3
2020-02-02,2
2020-02-03,2
2020-02-04,1
2020-02-05,1
2020-02-06,5
2020-02-07,1
2020-02-08,2
2020-02-10,2
2020-02-11,1
2020-02-12,2
2020-02-13,1
2020-02-14,3
2020-02-15,3
2020-02-16,5
2020-02-18,1
2020-02-19,2
2020-02-20,3
2020-02-21,1
2020-02-22,3
2020-02-23,1
2020-02-24,4
2020-02-25,4
2020-02-26,2
2020-02-27,3
2020-02-28,2
2020-02-29,1
2020-03-01,4
2020-03-02,1
2020-03-04,1
2020-03-05,1
2020-03-06,4
2020-03-07,5
2020-03-08,2
2020-03-09,1
2020-03-12,1
2020-03-13,5
2020-03-14,3
2020-03-15,2
2020-03-16,4
2020-03-18,4
2020-04-03,1
2020-04-04,1
2020-04-05,2
2020-04-11,1
2020-04-17,4
