Tiempo,Cantidad
2019-03-18,1
2019-03-20,4
2019-03-21,4
2019-03-22,2
2019-03-23,4
2019-03-24,1
2019-03-25,1
2019-03-26,4
2019-03-27,1
2019-03-28,6
2019-03-29,1
2019-03-30,7
2019-03-31,2
2019-04-01,2
2019-04-02,2
2019-04-03,2
2019-04-04,1
2019-04-05,1
2019-04-06,6
2019-04-07,2
2019-04-09,1
2019-04-12,2
2019-04-13,2
2019-04-14,3
2019-04-15,1
2019-04-17,5
2019-04-19,1
2019-04-21,1
2019-04-22,4
2019-04-23,1
2019-04-25,1
2019-04-28,2
2019-04-30,1
2019-05-01,5
2019-05-02,1
2019-05-03,1
2019-05-04,2
2019-05-05,3
2019-05-06,2
2019-05-07,3
2019-05-08,5
2019-05-09,2
2019-05-10,1
2019-05-11,3
2019-05-12,2
2019-05-14,2
2019-05-16,3
2019-05-17,3
2019-05-18,1
2019-05-19,3
2019-05-20,2
2019-05-22,3
2019-05-23,3
2019-05-24,1
2019-05-25,8
2019-05-26,3
2019-05-27,1
2019-05-28,1
2019-05-29,2
2019-05-31,2
2019-06-01,2
2019-06-02,2
2019-06-03,3
2019-06-04,3
2019-06-05,3
2019-06-06,2
2019-06-07,3
2019-06-08,3
2019-06-09,4
2019-06-11,1
2019-06-13,2
2019-06-14,1
2019-06-15,2
2019-06-16,4
2019-06-17,4
2019-06-20,2
2019-06-21,1
2019-06-22,2
2019-06-23,3
2019-06-25,2
2019-06-27,5
2019-06-28,5
2019-06-29,1
2019-06-30,2
2019-07-02,4
2019-07-03,1
2019-07-04,1
2019-07-05,1
2019-07-06,1
2019-07-07,1
2019-07-08,2
2019-07-11,5
2019-07-12,5
2019-07-14,5
2019-07-17,3
2019-07-18,4
2019-07-19,4
2019-07-20,8
2019-07-21,2
2019-07-22,2
2019-07-23,1
2019-07-25,7
2019-07-27,7
2019-07-29,2
2019-07-30,3
2019-07-31,1
2019-08-01,4
2019-08-02,1
2019-08-04,3
2019-08-05,12
2019-08-06,3
2019-08-07,2
2019-08-08,3
2019-08-10,1
2019-08-11,1
2019-08-12,2
2019-08-13,3
2019-08-14,1
2019-08-15,1
2019-08-17,4
2019-08-18,2
2019-08-19,1
2019-08-20,5
2019-08-21,2
2019-08-22,2
2019-08-23,1
2019-08-24,3
2019-08-25,2
2019-08-26,2
2019-08-27,1
2019-08-29,2
2019-08-30,2
2019-08-31,1
2019-09-01,3
2019-09-02,1
2019-09-03,2
2019-09-04,4
2019-09-05,3
2019-09-06,3
2019-09-07,2
2019-09-10,3
2019-09-12,1
2019-09-13,1
2019-09-14,5
2019-09-15,1
2019-09-16,1
2019-09-19,3
2019-09-20,3
2019-09-21,6
2019-09-23,1
2019-09-24,1
2019-09-25,2
2019-09-26,3
2019-09-27,2
2019-09-28,3
2019-09-29,4
2019-09-30,4
2019-10-01,3
2019-10-02,4
2019-10-03,3
2019-10-04,3
2019-10-05,2
2019-10-06,1
2019-10-07,1
2019-10-08,2
2019-10-10,1
2019-10-11,2
2019-10-12,1
2019-10-14,1
2019-10-15,1
2019-10-17,5
2019-10-18,2
2019-10-19,4
2019-10-20,1
2019-10-21,1
2019-10-22,1
2019-10-23,2
2019-10-24,1
2019-10-25,4
2019-10-29,2
2019-10-30,4
2019-10-31,1
2019-11-01,2
2019-11-03,5
2019-11-04,2
2019-11-05,1
2019-11-06,6
2019-11-08,3
2019-11-09,5
2019-11-10,2
2019-11-11,2
2019-11-12,5
2019-11-13,3
2019-11-14,2
2019-11-15,1
2019-11-16,8
2019-11-17,3
2019-11-18,5
2019-11-20,2
2019-11-22,1
2019-11-23,2
2019-11-24,4
2019-11-26,1
2019-11-27,3
2019-11-29,1
2019-11-30,4
2019-12-01,2
2019-12-04,4
2019-12-05,1
2019-12-06,1
2019-12-07,2
2019-12-08,6
2019-12-10,2
2019-12-11,2
2019-12-12,2
2019-12-13,6
2019-12-14,1
2019-12-15,3
2019-12-16,2
2019-12-17,1
2019-12-18,2
2019-12-20,5
2019-12-21,3
2019-12-22,2
2019-12-23,2
2019-12-24,2
2019-12-25,4
2019-12-26,5
2019-12-28,1
2019-12-29,1
2019-12-30,2
2019-12-31,1
2020-01-01,3
2020-01-05,1
2020-01-06,1
2020-01-08,2
2020-01-09,1
2020-01-10,4
2020-01-12,1
2020-01-13,3
2020-01-14,2
2020-01-15,1
2020-01-16,3
2020-01-18,2
2020-01-19,1
2020-01-21,1
2020-01-22,5
2020-01-23,2
2020-01-24,1
2020-01-26,2
2020-01-30,2
2020-01-31,1
2020-02-02,1
2020-02-03,3
2020-02-04,2
2020-02-05,1
2020-02-06,1
2020-02-07,2
2020-02-08,3
2020-02-09,3
2020-02-10,2
2020-02-12,2
2020-02-13,3
2020-02-14,2
2020-02-15,1
2020-02-17,1
2020-02-18,2
2020-02-20,1
2020-02-21,1
2020-02-23,4
2020-02-25,1
2020-02-26,3
2020-02-27,1
2020-02-28,3
2020-02-29,2
2020-03-01,4
2020-03-02,1
2020-03-03,5
2020-03-04,2
2020-03-06,7
2020-03-07,3
2020-03-08,3
2020-03-09,3
2020-03-10,1
2020-03-11,5
2020-03-12,4
2020-03-14,2
2020-03-15,3
2020-03-16,3
2020-03-17,4
2020-03-18,3
2020-03-20,1
2020-03-31,1
2020-04-07,2
2020-04-08,1
2020-04-11,1
2020-04-15,1
2020-04-20,1
