Tiempo,Cantidad
2019-03-18,8
2019-03-19,2
2019-03-20,11
2019-03-21,1
2019-03-23,3
2019-03-24,6
2019-03-25,6
2019-03-26,4
2019-03-27,1
2019-03-28,1
2019-03-29,4
2019-03-30,10
2019-03-31,13
2019-04-01,3
2019-04-02,4
2019-04-03,2
2019-04-04,3
2019-04-05,2
2019-04-06,2
2019-04-07,6
2019-04-08,5
2019-04-09,2
2019-04-11,2
2019-04-12,4
2019-04-13,4
2019-04-14,5
2019-04-15,2
2019-04-16,4
2019-04-17,2
2019-04-18,2
2019-04-20,2
2019-04-21,2
2019-04-23,3
2019-04-24,2
2019-04-25,1
2019-04-27,7
2019-04-28,4
2019-04-30,3
2019-05-01,4
2019-05-02,3
2019-05-03,4
2019-05-04,7
2019-05-05,4
2019-05-06,1
2019-05-07,3
2019-05-08,2
2019-05-09,5
2019-05-10,5
2019-05-11,6
2019-05-12,16
2019-05-13,6
2019-05-14,5
2019-05-15,7
2019-05-16,4
2019-05-17,3
2019-05-18,5
2019-05-19,3
2019-05-20,5
2019-05-21,4
2019-05-22,3
2019-05-23,2
2019-05-25,2
2019-05-26,12
2019-05-27,3
2019-05-29,3
2019-05-30,2
2019-05-31,2
2019-06-01,3
2019-06-02,9
2019-06-03,7
2019-06-05,2
2019-06-06,5
2019-06-07,4
2019-06-08,5
2019-06-09,1
2019-06-10,1
2019-06-11,2
2019-06-12,5
2019-06-13,1
2019-06-14,5
2019-06-15,5
2019-06-16,7
2019-06-17,2
2019-06-18,2
2019-06-19,4
2019-06-20,1
2019-06-21,1
2019-06-22,2
2019-06-23,2
2019-06-24,2
2019-06-25,1
2019-06-26,2
2019-06-27,1
2019-06-29,3
2019-06-30,3
2019-07-01,3
2019-07-02,2
2019-07-03,3
2019-07-04,1
2019-07-05,3
2019-07-06,3
2019-07-07,8
2019-07-08,3
2019-07-09,1
2019-07-10,7
2019-07-11,5
2019-07-13,1
2019-07-14,8
2019-07-15,2
2019-07-16,1
2019-07-17,2
2019-07-18,5
2019-07-19,4
2019-07-20,3
2019-07-21,2
2019-07-23,2
2019-07-24,4
2019-07-25,3
2019-07-28,2
2019-07-29,3
2019-07-30,2
2019-07-31,2
2019-08-01,2
2019-08-03,5
2019-08-04,7
