Tiempo,Cantidad
2019-03-18,2
2019-03-19,6
2019-03-20,1
2019-03-21,5
2019-03-22,1
2019-03-23,3
2019-03-24,8
2019-03-25,4
2019-03-26,6
2019-03-27,4
2019-03-28,3
2019-03-29,1
2019-03-30,5
2019-03-31,13
2019-04-01,1
2019-04-03,6
2019-04-04,2
2019-04-05,1
2019-04-06,4
2019-04-07,12
2019-04-08,4
2019-04-09,3
2019-04-10,5
2019-04-11,1
2019-04-12,3
2019-04-13,2
2019-04-14,1
2019-04-15,2
2019-04-16,2
2019-04-17,2
2019-04-18,2
2019-04-19,6
2019-04-20,5
2019-04-21,6
2019-04-23,2
2019-04-24,2
2019-04-25,4
2019-04-26,2
2019-04-28,3
2019-04-29,4
2019-04-30,2
2019-05-01,5
2019-05-03,4
2019-05-04,1
2019-05-05,4
2019-05-06,1
2019-05-07,2
2019-05-08,5
2019-05-09,2
2019-05-10,3
2019-05-11,5
2019-05-12,15
2019-05-13,3
2019-05-14,2
2019-05-15,5
2019-05-17,4
2019-05-18,4
2019-05-19,2
2019-05-20,4
2019-05-22,7
2019-05-23,4
2019-05-24,3
2019-05-25,14
2019-05-26,5
2019-05-27,2
2019-05-28,2
2019-05-29,3
2019-05-31,1
2019-06-01,5
2019-06-02,1
2019-06-03,2
2019-06-04,1
2019-06-05,4
2019-06-08,3
2019-06-09,1
2019-06-11,2
2019-06-12,1
2019-06-13,2
2019-06-14,1
2019-06-15,7
2019-06-16,10
2019-06-17,3
2019-06-19,2
2019-06-20,6
2019-06-21,1
2019-06-22,4
2019-06-23,9
2019-06-24,1
2019-06-25,2
2019-06-26,1
2019-06-27,4
2019-06-28,5
2019-06-29,2
2019-06-30,3
2019-07-01,4
2019-07-02,5
2019-07-04,2
2019-07-05,1
2019-07-06,5
2019-07-07,16
2019-07-08,1
2019-07-09,2
2019-07-10,3
2019-07-11,4
2019-07-12,2
2019-07-13,2
2019-07-14,3
2019-07-15,3
2019-07-16,5
2019-07-17,3
2019-07-18,4
2019-07-19,3
2019-07-20,2
2019-07-21,4
2019-07-22,2
2019-07-23,1
2019-07-24,4
2019-07-25,1
2019-07-26,5
2019-07-27,2
2019-07-28,5
2019-07-29,2
2019-07-30,6
2019-07-31,4
2019-08-01,3
2019-08-02,1
2019-08-03,3
2019-08-04,4
2019-08-05,1
2019-08-06,1
2019-08-07,1
2019-08-08,2
2019-08-09,2
2019-08-10,2
2019-08-11,4
2019-08-12,1
2019-08-13,1
2019-08-15,2
2019-08-16,4
2019-08-17,3
2019-08-18,6
2019-08-19,1
2019-08-20,2
2019-08-21,1
2019-08-22,1
2019-08-23,6
2019-08-25,4
2019-08-27,2
2019-08-28,3
2019-08-29,3
2019-08-30,2
2019-08-31,5
2019-09-01,3
2019-09-02,1
2019-09-03,2
2019-09-04,7
2019-09-05,3
2019-09-06,4
2019-09-07,2
2019-09-08,3
2019-09-09,3
2019-09-10,4
2019-09-11,2
2019-09-12,4
2019-09-14,2
2019-09-15,8
2019-09-16,1
