Tiempo,Cantidad
2019-03-18,2
2019-03-19,2
2019-03-20,4
2019-03-21,2
2019-03-22,3
2019-03-23,5
2019-03-25,3
2019-03-26,2
2019-03-27,1
2019-03-28,1
2019-03-31,3
2019-04-01,4
2019-04-02,1
2019-04-03,3
2019-04-04,8
2019-04-05,5
2019-04-06,7
2019-04-07,4
2019-04-08,1
2019-04-09,3
2019-04-10,2
2019-04-11,1
2019-04-13,3
2019-04-14,1
2019-04-15,4
2019-04-16,1
2019-04-17,4
2019-04-18,3
2019-04-20,2
2019-04-22,1
2019-04-23,2
2019-04-24,3
2019-04-25,4
2019-04-27,4
2019-04-28,3
2019-04-29,1
2019-04-30,2
2019-05-01,3
2019-05-02,3
2019-05-04,3
2019-05-05,4
2019-05-06,1
2019-05-07,5
2019-05-08,1
2019-05-09,3
2019-05-11,2
2019-05-12,3
2019-05-13,2
2019-05-14,1
2019-05-15,1
2019-05-16,3
2019-05-17,4
2019-05-18,4
2019-05-20,4
2019-05-21,4
2019-05-22,1
2019-05-23,2
2019-05-24,2
2019-05-25,6
2019-05-26,1
2019-05-27,2
2019-05-28,3
2019-05-29,7
2019-05-31,1
2019-06-02,3
2019-06-03,1
2019-06-04,2
2019-06-06,3
2019-06-07,3
2019-06-08,1
2019-06-09,5
2019-06-10,5
2019-06-12,5
2019-06-13,1
2019-06-15,12
2019-06-16,6
2019-06-17,1
2019-06-19,4
2019-06-21,1
2019-06-22,1
2019-06-23,3
2019-06-24,4
2019-06-25,1
2019-06-26,2
2019-06-27,3
2019-06-28,2
2019-06-29,1
2019-06-30,4
2019-07-02,3
2019-07-03,2
2019-07-04,4
2019-07-07,1
2019-07-08,2
2019-07-09,2
2019-07-10,3
2019-07-11,1
2019-07-12,3
2019-07-13,2
2019-07-14,3
2019-07-15,5
2019-07-17,1
2019-07-19,1
2019-07-21,2
2019-07-23,1
2019-07-24,4
2019-07-25,2
2019-07-26,2
2019-07-27,1
2019-07-28,3
2019-07-29,3
2019-07-30,1
2019-08-01,1
2019-08-02,1
2019-08-03,1
2019-08-04,6
2019-08-05,3
2019-08-06,2
2019-08-08,3
2019-08-09,1
2019-08-10,1
2019-08-12,1
2019-08-13,2
2019-08-16,3
2019-08-17,3
2019-08-18,5
2019-08-19,3
2019-08-20,1
2019-08-21,1
2019-08-22,2
2019-08-23,2
2019-08-25,1
2019-08-26,1
2019-08-27,1
2019-08-28,1
2019-08-29,3
2019-08-31,2
2019-09-01,1
2019-09-02,1
2019-09-03,2
2019-09-04,1
2019-09-05,4
2019-09-06,3
2019-09-07,4
2019-09-08,4
2019-09-12,1
2019-09-14,1
2019-09-17,1
2019-09-18,1
2019-09-19,1
2019-09-20,2
2019-09-21,5
2019-09-22,3
2019-09-24,1
2019-09-25,1
2019-09-26,1
2019-09-27,1
2019-09-28,2
2019-09-29,1
2019-09-30,3
2019-10-02,3
2019-10-04,1
2019-10-05,1
2019-10-06,3
2019-10-07,1
2019-10-08,1
2019-10-09,1
2019-10-10,2
2019-10-11,1
2019-10-12,4
2019-10-13,5
2019-10-14,4
2019-10-15,2
2019-10-16,2
2019-10-17,1
2019-10-18,2
2019-10-19,2
2019-10-22,3
2019-10-24,1
2019-10-26,3
2019-10-27,2
2019-10-28,2
2019-10-29,1
2019-10-30,1
2019-10-31,2
2019-11-01,2
2019-11-02,2
2019-11-03,4
2019-11-04,3
2019-11-05,2
2019-11-06,1
2019-11-07,1
2019-11-08,4
2019-11-10,1
2019-11-11,2
2019-11-12,2
2019-11-13,2
2019-11-14,2
2019-11-15,2
2019-11-16,1
2019-11-17,5
2019-11-18,3
2019-11-19,3
2019-11-20,1
2019-11-21,1
2019-11-23,4
2019-11-24,2
2019-11-28,4
2019-11-29,2
2019-11-30,2
2019-12-01,5
2019-12-02,1
2019-12-03,1
2019-12-04,1
2019-12-05,2
2019-12-06,3
2019-12-07,4
2019-12-08,2
2019-12-11,3
2019-12-12,3
2019-12-13,2
2019-12-14,5
2019-12-16,2
2019-12-17,3
2019-12-18,5
2019-12-19,1
2019-12-20,1
2019-12-21,6
2019-12-22,1
2019-12-23,1
2019-12-24,3
2019-12-25,6
2019-12-26,1
2019-12-27,2
2019-12-29,17
2019-12-30,1
2019-12-31,3
2020-01-01,4
2020-01-04,7
2020-01-07,3
2020-01-08,1
2020-01-10,1
2020-01-11,1
2020-01-12,2
2020-01-13,3
2020-01-15,2
2020-01-16,1
2020-01-17,1
2020-01-18,1
2020-01-19,5
2020-01-20,3
2020-01-21,3
2020-01-22,1
2020-01-23,1
2020-01-24,5
2020-01-25,3
2020-01-26,5
2020-01-27,3
2020-01-28,4
2020-01-29,2
2020-01-30,2
2020-01-31,3
2020-02-01,3
2020-02-02,3
2020-02-03,3
2020-02-05,1
2020-02-06,1
2020-02-07,2
2020-02-08,1
2020-02-10,3
2020-02-12,2
2020-02-13,2
2020-02-14,1
2020-02-15,4
2020-02-16,3
2020-02-18,3
2020-02-19,4
2020-02-20,1
2020-02-21,5
2020-02-22,3
2020-02-23,2
2020-02-24,1
2020-02-25,3
2020-02-26,1
2020-02-27,2
2020-02-29,2
2020-03-01,1
2020-03-02,1
2020-03-03,2
2020-03-04,3
2020-03-05,2
2020-03-06,5
2020-03-07,4
2020-03-08,5
2020-03-09,2
2020-03-10,5
2020-03-11,3
2020-03-12,2
2020-03-14,3
2020-03-15,6
2020-03-17,2
2020-03-18,3
2020-03-19,1
2020-03-20,1
2020-03-29,1
2020-04-04,2
2020-04-07,2
2020-04-08,1
2020-04-12,2
2020-04-13,1
2020-04-15,1
2020-04-17,1
2020-04-18,2
2020-04-20,1
