Tiempo,Cantidad
2019-03-18,1
2019-03-19,1
2019-03-20,1
2019-03-22,3
2019-03-25,6
2019-03-29,1
2019-03-30,1
2019-03-31,1
2019-04-01,1
2019-04-02,1
2019-04-04,1
2019-04-05,1
2019-04-06,1
2019-04-07,1
2019-04-10,2
2019-04-11,1
2019-04-16,1
2019-04-17,1
2019-04-21,1
2019-04-23,1
2019-04-24,3
2019-04-26,2
2019-04-27,1
2019-04-28,2
2019-04-29,1
2019-05-03,1
2019-05-04,6
2019-05-05,1
2019-05-06,1
2019-05-07,2
2019-05-08,1
2019-05-09,1
2019-05-11,1
2019-05-12,1
2019-05-14,1
2019-05-16,2
2019-05-17,1
2019-05-18,1
2019-05-19,1
2019-05-20,1
2019-05-21,2
2019-05-24,1
2019-05-25,1
2019-05-26,1
2019-05-27,1
2019-05-29,2
2019-05-30,1
2019-06-01,2
2019-06-05,1
2019-06-07,3
2019-06-09,1
2019-06-15,1
2019-06-16,2
2019-06-18,2
2019-06-22,3
2019-06-26,2
2019-06-28,4
2019-06-29,2
2019-06-30,1
2019-07-01,2
2019-07-02,1
2019-07-03,1
2019-07-04,1
2019-07-05,2
2019-07-06,3
2019-07-08,2
2019-07-13,1
2019-07-14,1
2019-07-15,1
2019-07-21,2
2019-07-26,2
2019-07-29,1
2019-08-03,3
2019-08-06,2
2019-08-07,5
2019-08-09,2
2019-08-10,1
2019-08-14,2
2019-08-17,2
2019-08-18,1
2019-08-20,1
2019-08-22,2
2019-08-23,1
2019-08-24,1
2019-08-27,3
2019-08-29,1
2019-08-31,1
2019-09-03,2
2019-09-04,1
2019-09-06,3
2019-09-08,2
2019-09-12,1
2019-09-13,1
2019-09-14,1
2019-09-15,1
2019-09-18,1
2019-09-20,1
2019-09-21,4
2019-09-23,1
2019-09-26,3
2019-09-29,3
2019-09-30,1
2019-10-02,1
2019-10-04,3
2019-10-06,1
2019-10-07,1
2019-10-08,1
2019-10-09,1
2019-10-10,1
2019-10-11,1
2019-10-12,2
2019-10-18,1
2019-10-20,1
2019-10-21,1
2019-10-22,2
2019-10-23,3
2019-10-24,4
2019-10-26,1
2019-10-29,2
2019-11-01,2
2019-11-02,3
2019-11-03,1
2019-11-05,1
2019-11-07,1
2019-11-08,1
2019-11-10,1
2019-11-12,1
2019-11-13,1
2019-11-14,1
2019-11-15,2
2019-11-17,3
2019-11-19,1
2019-11-26,1
2019-11-27,1
2019-11-28,1
2019-11-30,1
2019-12-01,3
2019-12-05,1
2019-12-07,1
2019-12-11,1
2019-12-12,1
2019-12-13,1
2019-12-15,1
2019-12-16,1
2019-12-19,1
2019-12-22,1
2019-12-27,2
2019-12-28,1
2019-12-31,1
2020-01-01,1
2020-01-03,1
2020-01-05,2
2020-01-08,1
2020-01-12,1
2020-01-13,1
2020-01-17,2
2020-01-24,1
2020-01-31,2
2020-02-02,2
2020-02-03,1
2020-02-04,2
2020-02-05,2
2020-02-07,2
2020-02-09,2
2020-02-11,2
2020-02-12,1
2020-02-13,1
2020-02-15,1
2020-02-18,1
2020-02-21,3
2020-02-23,1
2020-02-24,1
2020-02-26,2
2020-02-28,2
2020-02-29,4
2020-03-01,1
2020-03-02,1
2020-03-04,2
2020-03-05,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,4
2020-03-15,1
2020-03-16,2
2020-03-21,1
2020-03-30,1
2020-04-02,1
2020-04-04,1
2020-04-11,3
2020-04-20,2
