Tiempo,Cantidad
2019-03-18,2
2019-03-19,3
2019-03-21,2
2019-03-22,4
2019-03-25,1
2019-03-27,6
2019-03-28,1
2019-03-29,2
2019-03-30,3
2019-03-31,2
2019-04-01,2
2019-04-02,1
2019-04-03,1
2019-04-04,1
2019-04-05,2
2019-04-06,4
2019-04-07,2
2019-04-09,1
2019-04-10,1
2019-04-12,1
2019-04-14,1
2019-04-16,2
2019-04-19,1
2019-04-22,2
2019-04-25,2
2019-04-26,2
2019-04-29,4
2019-04-30,2
2019-05-02,1
2019-05-03,1
2019-05-04,2
2019-05-05,3
2019-05-06,2
2019-05-07,1
2019-05-08,1
2019-05-10,1
2019-05-11,3
2019-05-12,1
2019-05-14,1
2019-05-18,1
2019-05-19,3
2019-05-20,1
2019-05-21,3
2019-05-25,3
2019-05-26,3
2019-05-30,4
2019-05-31,3
2019-06-01,3
2019-06-02,2
2019-06-04,1
2019-06-05,4
2019-06-06,7
2019-06-07,3
2019-06-08,4
2019-06-09,1
2019-06-10,1
2019-06-11,1
2019-06-13,2
2019-06-14,1
2019-06-15,3
2019-06-16,2
2019-06-20,2
2019-06-21,1
2019-06-23,1
2019-06-25,2
2019-06-26,3
2019-06-27,1
2019-06-28,1
2019-06-29,3
2019-07-02,1
2019-07-03,1
2019-07-04,1
2019-07-05,1
2019-07-06,3
2019-07-08,1
2019-07-13,3
2019-07-15,1
2019-07-20,1
2019-07-21,2
2019-07-22,7
2019-07-23,4
2019-07-24,1
2019-07-25,4
2019-07-27,2
2019-07-28,2
2019-07-29,1
2019-07-30,3
2019-08-01,1
2019-08-02,2
2019-08-04,2
2019-08-07,3
2019-08-09,2
2019-08-10,1
2019-08-11,1
2019-08-12,5
2019-08-13,2
2019-08-14,3
2019-08-16,1
2019-08-17,1
2019-08-21,1
2019-08-22,3
2019-08-25,1
2019-08-27,1
2019-08-28,3
2019-08-29,1
2019-08-30,3
2019-08-31,1
2019-09-02,2
2019-09-04,2
2019-09-06,1
2019-09-07,1
2019-09-08,1
2019-09-10,1
2019-09-11,3
2019-09-12,3
2019-09-13,1
2019-09-14,3
2019-09-16,1
2019-09-17,2
2019-09-21,1
2019-09-22,3
2019-09-23,2
2019-09-24,1
2019-09-27,1
2019-09-28,2
2019-09-29,2
2019-09-30,1
2019-10-02,2
2019-10-03,1
2019-10-05,3
2019-10-06,1
2019-10-07,1
2019-10-08,1
2019-10-09,1
2019-10-12,2
2019-10-13,2
2019-10-14,3
2019-10-16,3
2019-10-17,1
2019-10-18,1
2019-10-19,2
2019-10-20,1
2019-10-21,1
2019-10-24,3
2019-10-25,1
2019-10-26,3
2019-10-27,3
2019-10-28,2
2019-10-29,2
2019-10-31,1
2019-11-01,2
2019-11-03,6
2019-11-05,1
2019-11-06,1
2019-11-07,3
2019-11-08,5
2019-11-11,1
2019-11-14,1
2019-11-16,2
2019-11-17,3
2019-11-18,4
2019-11-19,1
2019-11-22,1
2019-11-23,4
2019-11-24,1
2019-11-25,4
2019-11-27,1
2019-11-30,2
2019-12-01,2
2019-12-02,1
2019-12-06,2
2019-12-07,2
2019-12-08,5
2019-12-10,1
2019-12-11,2
2019-12-12,1
2019-12-13,3
2019-12-14,1
2019-12-15,3
2019-12-16,4
2019-12-18,2
2019-12-19,5
2019-12-21,1
2019-12-22,1
2019-12-23,1
2019-12-24,1
2019-12-25,7
2019-12-26,2
2019-12-27,1
2019-12-31,1
2020-01-01,4
2020-01-02,1
2020-01-03,1
2020-01-07,1
2020-01-12,2
2020-01-13,1
2020-01-14,1
2020-01-15,2
2020-01-16,1
2020-01-17,2
2020-01-18,2
2020-01-19,2
2020-01-22,1
2020-01-23,5
2020-01-24,1
2020-01-25,2
2020-01-26,1
2020-01-28,2
2020-01-30,4
2020-01-31,1
2020-02-01,4
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,2
2020-02-07,2
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,2
2020-02-15,2
2020-02-16,8
2020-02-17,1
2020-02-18,2
2020-02-19,1
2020-02-20,4
2020-02-21,2
2020-02-23,2
2020-02-24,2
2020-02-25,4
2020-02-26,4
2020-02-27,1
2020-02-28,1
2020-03-01,2
2020-03-02,1
2020-03-04,4
2020-03-05,4
2020-03-06,1
2020-03-07,1
2020-03-08,5
2020-03-09,1
2020-03-10,3
2020-03-12,1
2020-03-15,6
2020-03-16,3
2020-03-17,1
2020-03-18,1
2020-03-19,2
2020-03-21,2
2020-03-27,1
2020-03-29,1
2020-03-30,2
2020-04-01,1
2020-04-03,1
2020-04-06,1
2020-04-18,3
2020-04-19,1
