Tiempo,Cantidad
2019-03-18,1
2019-03-19,1
2019-03-20,1
2019-03-21,2
2019-03-22,4
2019-03-24,4
2019-03-25,3
2019-03-27,3
2019-03-28,3
2019-03-29,2
2019-03-30,1
2019-03-31,1
2019-04-01,3
2019-04-02,1
2019-04-03,3
2019-04-05,3
2019-04-06,5
2019-04-07,2
2019-04-09,1
2019-04-11,2
2019-04-12,2
2019-04-13,1
2019-04-14,2
2019-04-17,5
2019-04-18,1
2019-04-19,2
2019-04-21,1
2019-04-22,2
2019-04-23,1
2019-04-24,1
2019-04-25,1
2019-04-27,1
2019-04-28,7
2019-04-29,2
2019-05-01,1
2019-05-02,5
2019-05-03,1
2019-05-04,1
2019-05-05,2
2019-05-06,4
2019-05-08,1
2019-05-09,1
2019-05-11,3
2019-05-12,9
2019-05-16,2
2019-05-17,1
2019-05-18,2
2019-05-20,3
2019-05-22,2
2019-05-23,2
2019-05-24,2
2019-05-25,3
2019-05-26,1
2019-05-27,4
2019-05-28,2
2019-05-29,2
2019-05-31,4
2019-06-01,2
2019-06-02,5
2019-06-03,1
2019-06-04,2
2019-06-05,3
2019-06-06,4
2019-06-07,1
2019-06-08,8
2019-06-09,9
2019-06-10,1
2019-06-11,1
2019-06-13,2
2019-06-14,1
2019-06-15,1
2019-06-16,5
2019-06-17,3
2019-06-18,1
2019-06-19,2
2019-06-20,3
2019-06-21,2
2019-06-22,2
2019-06-23,2
2019-06-26,1
2019-06-28,4
2019-06-29,1
2019-07-01,1
2019-07-02,1
2019-07-04,3
2019-07-05,1
2019-07-06,3
2019-07-09,1
2019-07-12,1
2019-07-13,2
2019-07-14,4
2019-07-15,1
2019-07-16,2
2019-07-17,4
2019-07-19,1
2019-07-21,1
2019-07-22,1
2019-07-24,2
2019-07-26,1
2019-07-27,5
2019-07-28,8
2019-07-29,2
2019-07-30,2
2019-08-01,2
2019-08-02,2
2019-08-04,2
2019-08-07,4
2019-08-08,2
2019-08-10,2
2019-08-11,4
2019-08-12,2
2019-08-13,4
2019-08-17,3
2019-08-18,1
2019-08-19,4
2019-08-22,1
2019-08-24,5
2019-08-25,5
2019-08-26,4
2019-08-27,4
2019-08-29,3
2019-08-30,5
2019-08-31,1
2019-09-01,2
2019-09-02,3
2019-09-03,3
2019-09-06,2
2019-09-07,4
2019-09-08,1
2019-09-10,3
2019-09-12,1
2019-09-13,4
2019-09-14,1
2019-09-15,1
2019-09-16,3
2019-09-17,1
2019-09-18,1
2019-09-19,4
2019-09-20,2
2019-09-21,2
2019-09-22,7
2019-09-23,3
2019-09-25,2
2019-09-26,1
2019-09-27,2
2019-09-28,4
2019-09-29,1
2019-09-30,1
2019-10-01,1
2019-10-03,3
2019-10-04,2
2019-10-05,7
2019-10-06,2
2019-10-07,1
2019-10-12,4
2019-10-14,1
2019-10-15,2
2019-10-19,2
2019-10-20,4
2019-10-22,1
2019-10-24,1
2019-10-25,1
2019-10-26,1
2019-10-27,3
2019-10-30,4
2019-10-31,1
2019-11-01,1
2019-11-02,1
2019-11-03,2
2019-11-04,2
2019-11-05,2
2019-11-06,1
2019-11-08,1
2019-11-09,5
2019-11-12,2
2019-11-14,1
2019-11-15,3
2019-11-16,2
2019-11-17,8
2019-11-20,1
2019-11-22,1
2019-11-23,3
2019-11-24,3
2019-11-26,2
2019-11-27,3
2019-11-28,3
2019-11-30,4
2019-12-02,1
2019-12-03,1
2019-12-04,5
2019-12-05,1
2019-12-07,4
2019-12-08,2
2019-12-09,3
2019-12-10,2
2019-12-12,2
2019-12-13,2
2019-12-14,4
2019-12-15,3
2019-12-16,1
2019-12-18,1
2019-12-19,2
2019-12-21,5
2019-12-22,1
2019-12-24,2
2019-12-25,15
2019-12-26,1
2019-12-27,1
2019-12-28,2
2020-01-01,3
2020-01-04,1
2020-01-05,2
2020-01-06,3
2020-01-08,1
2020-01-09,2
2020-01-10,1
2020-01-11,1
2020-01-12,1
2020-01-14,1
2020-01-15,3
2020-01-16,6
2020-01-17,1
2020-01-18,4
2020-01-19,1
2020-01-21,2
2020-01-23,1
2020-01-24,2
2020-01-26,1
2020-01-28,2
2020-01-31,1
2020-02-01,1
2020-02-02,4
2020-02-03,1
2020-02-04,1
2020-02-05,2
2020-02-06,1
2020-02-07,1
2020-02-08,2
2020-02-09,4
2020-02-10,4
2020-02-11,3
2020-02-12,3
2020-02-13,2
2020-02-14,2
2020-02-15,2
2020-02-16,2
2020-02-18,3
2020-02-19,1
2020-02-22,2
2020-02-23,3
2020-02-24,1
2020-02-25,1
2020-02-26,3
2020-02-27,1
2020-02-28,2
2020-02-29,1
2020-03-01,7
2020-03-03,2
2020-03-04,1
2020-03-06,1
2020-03-08,1
2020-03-09,2
2020-03-10,6
2020-03-11,3
2020-03-12,1
2020-03-13,3
2020-03-14,2
2020-03-15,2
2020-03-16,3
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-24,3
2020-03-30,1
2020-03-31,2
2020-04-02,2
2020-04-04,1
2020-04-08,1
2020-04-15,1
2020-04-16,3
2020-04-18,1
2020-04-19,1
