Tiempo,Cantidad
2019-03-18,3
2019-03-19,4
2019-03-20,4
2019-03-21,4
2019-03-22,3
2019-03-24,5
2019-03-25,4
2019-03-27,2
2019-03-28,7
2019-03-29,2
2019-03-30,6
2019-03-31,8
2019-04-01,2
2019-04-02,4
2019-04-03,4
2019-04-04,4
2019-04-05,1
2019-04-06,1
2019-04-07,7
2019-04-08,5
2019-04-09,3
2019-04-10,2
2019-04-11,1
2019-04-12,4
2019-04-13,1
2019-04-14,3
2019-04-18,1
2019-04-19,3
2019-04-20,1
2019-04-21,1
2019-04-22,1
2019-04-23,3
2019-04-24,2
2019-04-26,2
2019-04-27,6
2019-04-28,11
2019-04-29,7
2019-04-30,2
2019-05-01,8
2019-05-03,1
2019-05-04,5
2019-05-05,7
2019-05-06,5
2019-05-07,2
2019-05-08,2
2019-05-09,6
2019-05-10,1
2019-05-11,6
2019-05-12,15
2019-05-13,1
2019-05-14,4
2019-05-15,2
2019-05-16,5
2019-05-17,3
2019-05-19,4
2019-05-20,3
2019-05-21,3
2019-05-22,4
2019-05-23,2
2019-05-24,1
2019-05-25,3
2019-05-26,7
2019-05-27,4
2019-05-28,4
2019-05-29,3
2019-05-30,3
2019-06-01,5
2019-06-02,14
2019-06-03,4
2019-06-04,4
2019-06-05,5
2019-06-06,2
2019-06-07,5
2019-06-08,4
2019-06-09,5
2019-06-10,4
2019-06-11,2
2019-06-12,1
2019-06-13,4
2019-06-14,3
2019-06-15,6
2019-06-16,3
2019-06-18,4
2019-06-19,2
2019-06-20,3
2019-06-22,2
2019-06-23,5
2019-06-24,5
2019-06-25,1
2019-06-26,2
2019-06-28,1
2019-06-29,3
2019-06-30,4
2019-07-01,3
2019-07-02,2
2019-07-03,5
2019-07-04,5
2019-07-05,3
2019-07-06,1
2019-07-07,6
2019-07-08,3
2019-07-09,1
2019-07-10,4
2019-07-11,9
2019-07-12,1
2019-07-13,1
2019-07-14,7
2019-07-15,3
2019-07-16,2
2019-07-17,3
2019-07-18,4
2019-07-19,1
2019-07-20,2
2019-07-21,4
2019-07-22,1
2019-07-23,2
2019-07-25,2
2019-07-26,3
2019-07-27,4
2019-07-28,11
2019-07-29,6
2019-07-30,4
2019-07-31,2
2019-08-01,2
2019-08-02,2
2019-08-03,5
2019-08-04,7
2019-08-05,3
2019-08-06,1
2019-08-07,2
2019-08-08,1
2019-08-09,3
2019-08-10,3
2019-08-11,6
2019-08-12,1
2019-08-14,1
2019-08-17,3
2019-08-18,5
2019-08-19,6
2019-08-20,4
2019-08-21,2
2019-08-22,3
2019-08-25,3
2019-08-26,2
2019-08-27,1
2019-08-28,4
2019-08-29,2
2019-08-30,2
2019-08-31,3
2019-09-01,7
2019-09-03,2
2019-09-04,3
2019-09-05,1
2019-09-06,2
2019-09-07,5
2019-09-08,8
2019-09-09,4
2019-09-10,1
2019-09-11,1
2019-09-13,3
2019-09-14,2
2019-09-15,8
2019-09-16,7
2019-09-17,2
2019-09-19,4
2019-09-20,2
2019-09-21,4
2019-09-22,7
2019-09-23,3
2019-09-24,3
2019-09-25,2
2019-09-26,5
2019-09-27,4
2019-09-28,6
2019-09-29,7
2019-09-30,4
2019-10-01,4
2019-10-02,2
2019-10-03,2
2019-10-05,4
2019-10-06,8
2019-10-07,1
2019-10-08,5
2019-10-09,3
2019-10-10,1
2019-10-11,5
2019-10-12,1
2019-10-13,6
2019-10-14,1
2019-10-15,1
2019-10-16,1
2019-10-19,2
2019-10-20,4
2019-10-21,1
2019-10-23,1
2019-10-24,3
2019-10-25,2
2019-10-26,2
2019-10-27,5
2019-10-28,2
2019-10-29,1
2019-10-30,2
2019-10-31,2
2019-11-01,1
2019-11-02,6
2019-11-03,6
2019-11-04,5
2019-11-06,8
2019-11-07,1
2019-11-08,1
2019-11-09,1
2019-11-10,4
2019-11-11,1
2019-11-12,3
2019-11-15,1
2019-11-16,1
2019-11-17,7
2019-11-18,1
2019-11-19,2
2019-11-20,4
2019-11-22,2
2019-11-23,3
2019-11-24,7
2019-11-25,2
2019-11-26,1
2019-11-29,1
2019-11-30,4
2019-12-01,9
2019-12-02,1
2019-12-03,1
2019-12-04,3
2019-12-05,3
2019-12-06,2
2019-12-07,7
2019-12-08,10
2019-12-11,2
2019-12-12,2
2019-12-13,2
2019-12-14,4
2019-12-15,2
2019-12-17,2
2019-12-18,1
2019-12-20,1
2019-12-21,1
2019-12-22,4
2019-12-23,3
2019-12-24,1
2019-12-25,18
2019-12-29,9
2019-12-30,1
2019-12-31,3
2020-01-01,15
2020-01-02,2
2020-01-03,6
2020-01-04,1
2020-01-05,5
2020-01-06,2
2020-01-08,1
2020-01-09,8
2020-01-10,5
2020-01-12,5
2020-01-13,2
2020-01-15,1
2020-01-18,1
2020-01-20,4
2020-01-21,4
2020-01-22,3
2020-01-25,1
2020-01-26,4
2020-01-27,6
2020-01-28,3
2020-01-29,3
2020-01-30,5
2020-01-31,7
2020-02-01,9
2020-02-02,15
2020-02-03,1
2020-02-05,3
2020-02-06,1
2020-02-08,3
2020-02-09,9
2020-02-10,4
2020-02-11,2
2020-02-12,2
2020-02-13,1
2020-02-14,1
2020-02-15,2
2020-02-16,7
2020-02-17,2
2020-02-18,5
2020-02-19,3
2020-02-20,9
2020-02-21,2
